Species,ID,Family2,Order2,Avibase.ID2,MODERN,HISTORICAL,BARB_H,BARB_M,BARB_EXT,BARB_NEW,POP_BARB,SAGU_H,SAGU_M,SAGU_EXT,SAGU_NEW,POP_SAGU,TOCHE_H,TOCHE_M,TOCHE_EXT,TOCHE_NEW,POP_TOCHE,HON_H,HON_M,HON_EXT,HON_NEW,POP_HON,FLOR_H,FLOR_M,FLOR_EXT,FLOR_NEW,POP_FLOR,FUSA_H,FUSA_M,FUSA_EXT,FUSA_NEW,POP_FUSA,Total.individuals,Female,Male,Unknown,Complete.measures,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand.Wing.Index,Tail.Length,Mass,Mass.Source,Mass.Refs.Other,Inference,Traits.inferred,Reference.species,Habitat,Habitat.Density,Migration,Trophic.Level,Trophic.Niche,Primary.Lifestyle,Previo_nombre
Aburria aburri,1,Cracidae,Galliformes,AVIBASE-50A42775,0,4,,,,,,4,0,1,,A,,,,,,,,,,,,,,,,,,,,,12,6,6,0,4,37.1,16.6,9.3,10.2,65.8,337.2,52.5,283.1,15.7,290.4,1405.1,Dunning,NA,NO,NA,NA,Forest,1,1,Herbivore,Frugivore,Insessorial,
Accipiter bicolor,2,Accipitridae,Accipitriformes,AVIBASE-ADBE44E1,0,1,,,,,,,,,,,,,,,,,,,,,1,0,1,,A,,,,,,11,4,5,2,8,25,13.7,8.6,12.7,58.1,229.6,56.6,174.8,24.6,186.3,287.5,Dunning,NA,NO,NA,NA,Woodland,2,2,Carnivore,Vertivore,Generalist,
Accipiter striatus,3,Accipitridae,Accipitriformes,AVIBASE-3B024163,2,0,,,,,,0,1,,1,B,0,1,,1,B,,,,,,,,,,,,,,,,20,8,10,2,16,18.3,10.1,7.3,9.4,49.9,181.6,56.6,126.8,30.7,134.3,130.6,Dunning,NA,NO,NA,NA,Forest,1,3,Carnivore,Vertivore,Aerial,
Accipiter superciliosus,4,Accipitridae,Accipitriformes,AVIBASE-F23F7695,1,0,0,1,,1,B,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,3,0,4,19.4,10.8,6.7,10.4,37.4,146.4,38.6,105.2,26.9,104.6,96.4,Updated_literature,BoW,NO,NA,NA,Forest,1,1,Carnivore,Vertivore,Aerial,
Acropternis orthonyx,5,Rhinocryptidae,Passeriformes,AVIBASE-6B6D07C9,6,2,,,,,,,,,,,2,6,,,C,,,,,,,,,,,,,,,,9,2,5,2,4,22.9,10.4,4.5,6.5,36.4,94.8,5.2,89.9,5.5,88.9,89.9,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,
Actitis macularius,6,Scolopacidae,Charadriiformes,AVIBASE-0D88C072,7,7,5,6,,,C,,,,,,,,,,,2,0,1,,A,0,1,,1,B,,,,,,5,3,2,0,4,25.7,16.2,2.7,3.3,24.2,100.4,47.6,52.6,47.5,53,40.4,Dunning,NA,NO,NA,NA,Wetland,3,3,Carnivore,Aquatic predator,Terrestrial,
Adelomyia melanogenys,7,Trochilidae,Caprimulgiformes,AVIBASE-0A1A1F0F,39,5,,,,,,0,16,,1,B,2,12,,,C,,,,,,,,,,,3,11,,,C,54,5,6,43,10,17.9,13.8,2.6,2.1,6,53.1,30.9,20.4,60.2,35.4,4.9,Dunning,NA,NO,NA,NA,Forest,1,1,Herbivore,Nectarivore,Aerial,
Aeronautes montivagus,8,Apodidae,Caprimulgiformes,AVIBASE-A3093269,6,0,,,,,,,,,,,0,6,,1,B,,,,,,,,,,,,,,,,4,3,1,0,4,6.5,3.1,2.4,2.6,8.1,115.2,79.1,36.1,68.6,46.2,20.1,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Aerial,
Aglaiocercus kingii,9,Trochilidae,Caprimulgiformes,AVIBASE-F9C6A653,25,32,,,,,,26,6,,,C,0,9,,1,B,,,,,,,,,,,6,10,,,C,24,12,10,2,9,20.6,14.3,2.5,2.2,6.3,58.7,36.7,21.6,62.9,45.8,4.8,Dunning,NA,NO,NA,NA,Forest,2,1,Herbivore,Nectarivore,Aerial,
Akletos melanoceps,10,Thamnophilidae,Passeriformes,AVIBASE-B1392808,0,6,,,,,,,,,,,,,,,,,,,,,6,0,1,,A,,,,,,8,4,4,0,4,24.4,13.9,5.7,6.6,32,85.8,7,79.8,8.1,61.7,38.5,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,
