Species;ID;Family2;Order2;Avibase.ID2;MODERN;HISTORICAL;MIR_H_corr;MIR_M;MIR_M_LOST;MIR_EXT;MIR_EXT_1_2;MIR_NEW;POP_MIR;BARB_H_corr;BARB_M;BARB_M_LOST;BARB_EXT;BARB_EXT_1_2;BARB_NEW;POP_BARB;POP_BARB_SOLO_EXT;SAGU_H_corr;SAGU_M;SAGU_M_LOST;SAGU_EXT;SAGU_EXT_1_2;SAGU_NEW;POP_SAGU;TOCHE_H_corr;TOCHE_M;TOCHE_M_LOST;TOCHE_EXT;TOCHE_EXT_1_2;TOCHE_NEW;POP_TOCHE;HON_H_corr;HON_M;HON_M_LOST;HON_EXT;HON_EXT_1_2;HON_NEW;POP_HON;FLOR_H_corr;FLOR_M;FLOR_M_LOST;FLOR_EXT;FLOR_EXT_1_2;FLOR_NEW;POP_FLOR;FUSA_H_corr;FUSA_M;FUSA_M_LOST;FUSA_EXT;FUSA_EXT_1_2;FUSA_NEW;POP_FUSA;Total.individuals;Female;Male;Unknown;Complete.measures;Beak.Length_Culmen;Beak.Length_Nares;Beak.Width;Beak.Depth;Tarsus.Length;Wing.Length;Kipps.Distance;Secondary1;Hand.Wing.Index;Tail.Length;Mass;Mass.Source;Mass.Refs.Other;Inference;Traits.inferred;Reference.species;Habitat;Habitat.Density;Migration;Trophic.Level;Trophic.Niche;Primary.Lifestyle;EXTINCT;Extinct shared
Aburria aburri;1;Cracidae;Galliformes;AVIBASE-50A42775;1;4;;;;;;;;;;;;;;;;4;1;1;3;;;C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;6;6;0;4;37.1;16.6;9.3;10.2;65.8;337.2;52.5;283.1;15.7;290.4;1405.1;Dunning;NA;NO;NA;NA;Forest;1;1;Herbivore;Frugivore;Insessorial;0;0
Accipiter bicolor;2;Accipitridae;Accipitriformes;AVIBASE-ADBE44E1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;0;;1;1;;A;;;;;;;;11;4;5;2;8;25;13.7;8.6;12.7;58.1;229.6;56.6;174.8;24.6;186.3;287.5;Dunning;NA;NO;NA;NA;Woodland;2;2;Carnivore;Vertivore;Generalist;1;1
Accipiter striatus;3;Accipitridae;Accipitriformes;AVIBASE-3B024163;2;0;;;;;;;;;;;;;;;;0;1;;;;1;B;0;1;;;;1;B;;;;;;;;;;;;;;;;;;;;;;20;8;10;2;16;18.3;10.1;7.3;9.4;49.9;181.6;56.6;126.8;30.7;134.3;130.6;Dunning;NA;NO;NA;NA;Forest;1;3;Carnivore;Vertivore;Aerial;0;0
Accipiter superciliosus;4;Accipitridae;Accipitriformes;AVIBASE-F23F7695;1;0;;;;;;;;0;1;;;;1;B;B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;2;3;0;4;19.4;10.8;6.7;10.4;37.4;146.4;38.6;105.2;26.9;104.6;96.4;Updated_literature;BoW;NO;NA;NA;Forest;1;1;Carnivore;Vertivore;Aerial;0;0
Acropternis orthonyx;5;Rhinocryptidae;Passeriformes;AVIBASE-6B6D07C9;6;2;;;;;;;;;;;;;;;;;;;;;;;2;6;6;;;;C;;;;;;;;;;;;;;;;;;;;;;9;2;5;2;4;22.9;10.4;4.5;6.5;36.4;94.8;5.2;89.9;5.5;88.9;89.9;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Insessorial;0;0
Actitis macularius;6;Scolopacidae;Charadriiformes;AVIBASE-0D88C072;8;7;;;;;;;;5;6;6;;;;C;C;;;;;;;;;;;;;;;2;1;1;3;;;C;0;1;;;;1;B;;;;;;;;5;3;2;0;4;25.7;16.2;2.7;3.3;24.2;100.4;47.6;52.6;47.5;53;40.4;Dunning;NA;NO;NA;NA;Wetland;3;3;Carnivore;Aquatic predator;Terrestrial;0;0
Adelomyia melanogenys;7;Trochilidae;Caprimulgiformes;AVIBASE-0A1A1F0F;44;16;9;5;5;;;;C;;;;;;;;;0;16;;;;1;B;2;12;12;;;;C;2;0;;1;1;;A;;;;;;;;3;11;11;;;;C;54;5;6;43;10;17.9;13.8;2.6;2.1;6;53.1;30.9;20.4;60.2;35.4;4.9;Dunning;NA;NO;NA;NA;Forest;1;1;Herbivore;Nectarivore;Aerial;1;1
Aeronautes montivagus;8;Apodidae;Caprimulgiformes;AVIBASE-A3093269;6;0;;;;;;;;;;;;;;;;;;;;;;;0;6;;;;1;B;;;;;;;;;;;;;;;;;;;;;;4;3;1;0;4;6.5;3.1;2.4;2.6;8.1;115.2;79.1;36.1;68.6;46.2;20.1;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Aerial;0;0
Aglaeactis cupripennis;9;Trochilidae;Caprimulgiformes;AVIBASE-58759895;1;0;0;1;;;;1;B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;38;2;4;32;31;22.5;16.4;2.5;1.8;7.3;81.5;50.8;30.5;62.5;49.9;7.6;Dunning;NA;NO;NA;NA;Shrubland;2;1;Herbivore;Nectarivore;Aerial;0;0
Aglaiocercus kingii;10;Trochilidae;Caprimulgiformes;AVIBASE-F9C6A653;26;33;1;1;1;3;;;C;;;;;;;;;26;6;6;;;;C;0;9;;;;1;B;;;;;;;;;;;;;;;6;10;10;;;;C;24;12;10;2;9;20.6;14.3;2.5;2.2;6.3;58.7;36.7;21.6;62.9;45.8;4.8;Dunning;NA;NO;NA;NA;Forest;2;1;Herbivore;Nectarivore;Aerial;0;0
