ID_PUNTO,SITE_NO,REP_NO,VISIT_ID,LON,LAT,OBSERVADOR,OBS_ID,HABITAT,ALT_DOSEL,COB_DOSEL,LOCALIDAD,LOCALIDAD_2,DURACION,FECHA,MES,DIA,ANO,HORA_INICIO,HORA_FIN,NUBES,VIENTO,CIGARRAS,ESPECIE,SP_CHECK,DETECTED,M30,M50,B_MIXTA,NOTAS,Time_1,ELEV,X,Y
FLO01,8,FLO01CDC44474645,2,-78.1134,1.6223,CDC,2,Potrero,,,vereda la Florida,vereda la Florida,10,10/5/2021,10,5,2021,645,655,100,0,0,Sporophila funerea,Sporophila funerea,1,1,0,,,6:45,220,153523.0393,179580.0809
FLO01,8,FLO01CDC44474645,2,-78.1134,1.6223,CDC,2,Potrero,,,vereda la Florida,vereda la Florida,10,10/5/2021,10,5,2021,645,655,100,0,0,Sporophila funerea,Sporophila funerea,1,1,0,,,6:45,220,153523.0393,179580.0809
FLO01,8,FLO01CDC44474645,2,-78.1134,1.6223,CDC,2,Potrero,,,vereda la Florida,vereda la Florida,10,10/5/2021,10,5,2021,645,655,100,0,0,Myrmotherula pacifica,Myrmotherula pacifica,1,1,0,,,6:45,220,153523.0393,179580.0809
FLO01,8,FLO01CDC44474645,2,-78.1134,1.6223,CDC,2,Potrero,,,vereda la Florida,vereda la Florida,10,10/5/2021,10,5,2021,645,655,100,0,0,Myrmotherula pacifica,Myrmotherula pacifica,1,1,0,,,6:45,220,153523.0393,179580.0809
FLO01,8,FLO01CDC44474645,2,-78.1134,1.6223,CDC,2,Potrero,,,vereda la Florida,vereda la Florida,10,10/5/2021,10,5,2021,645,655,100,0,0,Camptostoma obsoletum,Camptostoma obsoletum,1,1,0,,,6:45,220,153523.0393,179580.0809
FLO01,8,FLO01CDC44474645,2,-78.1134,1.6223,CDC,2,Potrero,,,vereda la Florida,vereda la Florida,10,10/5/2021,10,5,2021,645,655,100,0,0,Sporophila corvina,Sporophila corvina,1,1,0,,,6:45,220,153523.0393,179580.0809
FLO01,8,FLO01CDC44474645,2,-78.1134,1.6223,CDC,2,Potrero,,,vereda la Florida,vereda la Florida,10,10/5/2021,10,5,2021,645,655,100,0,0,Glaucis hirsutus,Glaucis hirsutus,1,1,0,,,6:45,220,153523.0393,179580.0809
FLO01,8,FLO01CDC44474645,2,-78.1134,1.6223,CDC,2,Potrero,,,vereda la Florida,vereda la Florida,10,10/5/2021,10,5,2021,645,655,100,0,0,Patagioenas speciosa,Patagioenas speciosa,1,0,1,,,6:45,220,153523.0393,179580.0809
FLO01,8,FLO01CDC44474645,2,-78.1134,1.6223,CDC,2,Potrero,,,vereda la Florida,vereda la Florida,10,10/5/2021,10,5,2021,645,655,100,0,0,Ramphocelus flammigerus,Ramphocelus flammigerus,1,1,0,,,6:45,220,153523.0393,179580.0809
FLO01,8,FLO01CDC44474645,2,-78.1134,1.6223,CDC,2,Potrero,,,vereda la Florida,vereda la Florida,10,10/5/2021,10,5,2021,645,655,100,0,0,Stilpnia larvata,Stilpnia larvata,1,0,1,,,6:45,220,153523.0393,179580.0809
FLO01,8,FLO01CDC44474645,2,-78.1134,1.6223,CDC,2,Potrero,,,vereda la Florida,vereda la Florida,10,10/5/2021,10,5,2021,645,655,100,0,0,Volatinia jacarina,Volatinia jacarina,1,1,0,,,6:45,220,153523.0393,179580.0809
FLO02,9,FLO02CDC44474705,2,-78.1154,1.622,CDC,2,Borde bosque,,,vereda la Florida,vereda la Florida,10,10/5/2021,10,5,2021,705,715,100,0,0,Manacus manacus,Manacus manacus,1,1,0,,,7:05,220,153300.1961,179547.2155
FLO02,9,FLO02CDC44474705,2,-78.1154,1.622,CDC,2,Borde bosque,,,vereda la Florida,vereda la Florida,10,10/5/2021,10,5,2021,705,715,100,0,0,Manacus manacus,Manacus manacus,1,1,0,,,7:05,220,153300.1961,179547.2155
FLO02,9,FLO02CDC44474705,2,-78.1154,1.622,CDC,2,Borde bosque,,,vereda la Florida,vereda la Florida,10,10/5/2021,10,5,2021,705,715,100,0,0,Manacus manacus,Manacus manacus,1,1,0,,,7:05,220,153300.1961,179547.2155
FLO02,9,FLO02CDC44474705,2,-78.1154,1.622,CDC,2,Borde bosque,,,vereda la Florida,vereda la Florida,10,10/5/2021,10,5,2021,705,715,100,0,0,Phaethornis yaruqui,Phaethornis yaruqui,1,1,0,,,7:05,220,153300.1961,179547.2155
FLO02,9,FLO02CDC44474705,2,-78.1154,1.622,CDC,2,Borde bosque,,,vereda la Florida,vereda la Florida,10,10/5/2021,10,5,2021,705,715,100,0,0,Celeus loricatus,Celeus loricatus,1,1,0,,,7:05,220,153300.1961,179547.2155
FLO03,10,FLO03CDC44474725,2,-78.1172,1.6225,CDC,2,Bosque entresacado,,,vereda la Florida,vereda la Florida,10,10/5/2021,10,5,2021,725,735,100,0,0,Poliocrania exsul,Poliocrania exsul,1,1,0,,,7:25,175,153099.7682,179602.8723
FLO03,10,FLO03CDC44474725,2,-78.1172,1.6225,CDC,2,Bosque entresacado,,,vereda la Florida,vereda la Florida,10,10/5/2021,10,5,2021,725,735,100,0,0,Poliocrania exsul,Poliocrania exsul,1,1,0,,,7:25,175,153099.7682,179602.8723
FLO03,10,FLO03CDC44474725,2,-78.1172,1.6225,CDC,2,Bosque entresacado,,,vereda la Florida,vereda la Florida,10,10/5/2021,10,5,2021,725,735,100,0,0,Ramphastos brevis,Ramphastos brevis,1,0,1,,,7:25,175,153099.7682,179602.8723
FLO03,10,FLO03CDC44474725,2,-78.1172,1.6225,CDC,2,Bosque entresacado,,,vereda la Florida,vereda la Florida,10,10/5/2021,10,5,2021,725,735,100,0,0,Ramphastos brevis,Ramphastos brevis,1,0,1,,,7:25,175,153099.7682,179602.8723
