ID_PUNTO,SITE_NO,REP_NO,VISIT_ID,LON,LAT,OBSERVADOR,OBS_ID,HABITAT,ALT_DOSEL,COB_DOSEL,LOCALIDAD,LOCALIDAD_2,DURACION,FECHA,MES,DIA,ANO,HORA_INICIO,HORA_FIN,NUBES,VIENTO,CIGARRAS,ESPECIE,SP_CHECK,DETECTED,M30,M50,B_MIXTA,NOTAS,Time_1,ELEV,X,Y
GUA07,7,GUA07DGL44167628,2,-74.6344,5.1032,DGL,1,"Relicto bosque, entre construcciones",10,10,"camino real, vereda Santa Rosa, municipio Guaduas",Vereda Santa Rosa,10,12/2/2020,12,2,2020,628,638,60,2,0,Todirostrum cinereum,Todirostrum cinereum,1,1,0,,Nido,6:28,1320,540522.2122,564083.3858
GUA07,7,GUA07DGL44167628,2,-74.6344,5.1032,DGL,1,"Relicto bosque, entre construcciones",10,10,"camino real, vereda Santa Rosa, municipio Guaduas",Vereda Santa Rosa,10,12/2/2020,12,2,2020,628,638,60,2,0,Icterus chrysater,Icterus chrysater,1,0,1,,,6:28,1320,540522.2122,564083.3858
GUA07,7,GUA07DGL44167628,2,-74.6344,5.1032,DGL,1,"Relicto bosque, entre construcciones",10,10,"camino real, vereda Santa Rosa, municipio Guaduas",Vereda Santa Rosa,10,12/2/2020,12,2,2020,628,638,60,2,0,Stilpnia vitriolina,Stilpnia vitriolina,1,1,0,,,6:28,1320,540522.2122,564083.3858
GUA07,7,GUA07DGL44167628,2,-74.6344,5.1032,DGL,1,"Relicto bosque, entre construcciones",10,10,"camino real, vereda Santa Rosa, municipio Guaduas",Vereda Santa Rosa,10,12/2/2020,12,2,2020,628,638,60,2,0,Coragyps atratus,Coragyps atratus,1,1,0,,,6:28,1320,540522.2122,564083.3858
GUA07,7,GUA07DGL44167628,2,-74.6344,5.1032,DGL,1,"Relicto bosque, entre construcciones",10,10,"camino real, vereda Santa Rosa, municipio Guaduas",Vereda Santa Rosa,10,12/2/2020,12,2,2020,628,638,60,2,0,Turdus leucomelas,Turdus leucomelas,1,0,1,,,6:28,1320,540522.2122,564083.3858
GUA07,7,GUA07DGL44167628,2,-74.6344,5.1032,DGL,1,"Relicto bosque, entre construcciones",10,10,"camino real, vereda Santa Rosa, municipio Guaduas",Vereda Santa Rosa,10,12/2/2020,12,2,2020,628,638,60,2,0,Amazilia tzacatl,Amazilia tzacatl,1,1,0,,,6:28,1320,540522.2122,564083.3858
GUA07,7,GUA07DGL44167628,2,-74.6344,5.1032,DGL,1,"Relicto bosque, entre construcciones",10,10,"camino real, vereda Santa Rosa, municipio Guaduas",Vereda Santa Rosa,10,12/2/2020,12,2,2020,628,638,60,2,0,Turdus ignobilis,Turdus ignobilis,1,0,1,,,6:28,1320,540522.2122,564083.3858
GUA06,6,GUA06DGL44167653,2,-74.6335,5.1046,DGL,1,Rastrojo y guadual,40,15,"camino real, vereda Santa Rosa, municipio Guaduas",Vereda Santa Rosa,10,12/2/2020,12,2,2020,653,703,40,2,0,Cyanocorax affinis,Cyanocorax affinis,1,0,1,,,6:53,1320,540621.8793,564238.2
GUA06,6,GUA06DGL44167653,2,-74.6335,5.1046,DGL,1,Rastrojo y guadual,40,15,"camino real, vereda Santa Rosa, municipio Guaduas",Vereda Santa Rosa,10,12/2/2020,12,2,2020,653,703,40,2,0,Myiozetetes similis,Myiozetetes similis,1,0,1,,,6:53,1320,540621.8793,564238.2
GUA06,6,GUA06DGL44167653,2,-74.6335,5.1046,DGL,1,Rastrojo y guadual,40,15,"camino real, vereda Santa Rosa, municipio Guaduas",Vereda Santa Rosa,10,12/2/2020,12,2,2020,653,703,40,2,0,Myiozetetes similis,Myiozetetes similis,1,0,1,,,6:53,1320,540621.8793,564238.2
