ID_PUNTO,SITE_NO,REP_NO,VISIT_ID,LON,LAT,OBSERVADOR,OBS_ID,HABITAT,ALT_DOSEL,COB_DOSEL,LOCALIDAD,DURACION,FECHA,MES,DIA,ANO,HORA_INICIO,HORA_FIN,NUBES,VIENTO,CIGARRAS,ESPECIE,SP_CHECK,DETECTED,M30,M50,B_MIXTA,NOTAS,Time_1,ELEV,X,Y
CAN01,1,CAN01AFS44324735,1,-76.3869,1.8518,AFS,1,Bosque,20,80,La Candela,10,5/8/2021,5,8,2021,735,745,100,0,0,Grallaria hypoleuca,Grallaria hypoleuca,1,0,1,,,7:35,2171,345737.6764,204740.5959
CAN01,1,CAN01AFS44324735,1,-76.3869,1.8518,AFS,1,Bosque,20,80,La Candela,10,5/8/2021,5,8,2021,735,745,100,0,0,Pseudotriccus ruficeps,Pseudotriccus ruficeps,1,0,1,,,7:35,2171,345737.6764,204740.5959
CAN01,1,CAN01SBT44324916,4,-76.3869,1.8518,SBT,4,Bosque,20,80,La Candela,10,5/8/2021,5,8,2021,916,926,100,0,0,Myadestes ralloides,Myadestes ralloides,1,1,0,,,9:16,2171,345737.6764,204740.5959
CAN01,1,CAN01DOR44324940,5,-76.3869,1.8518,DOR,2,Bosque,20,80,La Candela,10,5/8/2021,5,8,2021,940,950,100,0,0,Adelomyia melanogenys,Adelomyia melanogenys,1,1,0,,,9:40,2171,345737.6764,204740.5959
CAN02,2,CAN02AFS44324717,1,-76.3869,1.8518,AFS,1,Bosque,25,80,La Candela,10,5/8/2021,5,8,2021,717,727,100,0,0,Pyrrhomyias cinnamomeus,Pyrrhomyias cinnamomeus,1,0,1,,,7:17,2171,345737.6764,204740.5959
CAN02,2,CAN02AFS44324717,1,-76.3869,1.8518,AFS,1,Bosque,25,80,La Candela,10,5/8/2021,5,8,2021,717,727,100,0,0,Myadestes ralloides,Myadestes ralloides,1,0,1,,,7:17,2171,345737.6764,204740.5959
CAN02,2,CAN02AFS44324717,1,-76.3869,1.8518,AFS,1,Bosque,25,80,La Candela,10,5/8/2021,5,8,2021,717,727,100,0,0,Basileuterus tristriatus,Basileuterus tristriatus,1,1,0,,,7:17,2171,345737.6764,204740.5959
CAN02,2,CAN02SBT44324755,2,-76.3869,1.8518,SBT,4,Bosque,25,80,La Candela,10,5/8/2021,5,8,2021,755,805,100,0,0,Pyrrhomyias cinnamomeus,Pyrrhomyias cinnamomeus,1,1,0,,,7:55,2171,345737.6764,204740.5959
CAN02,2,CAN02SBT44324755,2,-76.3869,1.8518,SBT,4,Bosque,25,80,La Candela,10,5/8/2021,5,8,2021,755,805,100,0,0,Myadestes ralloides,Myadestes ralloides,1,1,0,,,7:55,2171,345737.6764,204740.5959
CAN02,2,CAN02SBT44324755,2,-76.3869,1.8518,SBT,4,Bosque,25,80,La Candela,10,5/8/2021,5,8,2021,755,805,100,0,0,Henicorhina leucophrys,Henicorhina leucophrys,1,1,0,,,7:55,2171,345737.6764,204740.5959
CAN02,2,CAN02SBT44324755,2,-76.3869,1.8518,SBT,4,Bosque,25,80,La Candela,10,5/8/2021,5,8,2021,755,805,100,0,0,Grallaria hypoleuca,Grallaria hypoleuca,1,0,1,,,7:55,2171,345737.6764,204740.5959
CAN02,2,CAN02DOR44324815,3,-76.3869,1.8518,DOR,2,Bosque,25,80,La Candela,10,5/8/2021,5,8,2021,815,825,100,0,0,Myadestes ralloides,Myadestes ralloides,1,1,0,,,8:15,2171,345737.6764,204740.5959
CAN02,2,CAN02DOR44324815,3,-76.3869,1.8518,DOR,2,Bosque,25,80,La Candela,10,5/8/2021,5,8,2021,815,825,100,0,0,Myadestes ralloides,Myadestes ralloides,1,1,0,,,8:15,2171,345737.6764,204740.5959
CAN02,2,CAN02DOR44324815,3,-76.3869,1.8518,DOR,2,Bosque,25,80,La Candela,10,5/8/2021,5,8,2021,815,825,100,0,0,Myadestes ralloides,Myadestes ralloides,1,1,0,,,8:15,2171,345737.6764,204740.5959
CAN02,2,CAN02DOR44324815,3,-76.3869,1.8518,DOR,2,Bosque,25,80,La Candela,10,5/8/2021,5,8,2021,815,825,100,0,0,Myiodynastes chrysocephalus,Myiodynastes chrysocephalus,1,1,0,,,8:15,2171,345737.6764,204740.5959
CAN02,2,CAN02DOR44324815,3,-76.3869,1.8518,DOR,2,Bosque,25,80,La Candela,10,5/8/2021,5,8,2021,815,825,100,0,0,Myiodynastes chrysocephalus,Myiodynastes chrysocephalus,1,1,0,,,8:15,2171,345737.6764,204740.5959
CAN02,2,CAN02DOR44324815,3,-76.3869,1.8518,DOR,2,Bosque,25,80,La Candela,10,5/8/2021,5,8,2021,815,825,100,0,0,Henicorhina leucophrys,Henicorhina leucophrys,1,1,0,,,8:15,2171,345737.6764,204740.5959
CAN02,2,CAN02DOR44324815,3,-76.3869,1.8518,DOR,2,Bosque,25,80,La Candela,10,5/8/2021,5,8,2021,815,825,100,0,0,Pyrrhomyias cinnamomeus,Pyrrhomyias cinnamomeus,1,1,0,,,8:15,2171,345737.6764,204740.5959
CAN02,2,CAN02AFS44324915,4,-76.3869,1.8518,AFS,1,Bosque,25,80,La Candela,10,5/8/2021,5,8,2021,915,925,100,0,0,Myadestes ralloides,Myadestes ralloides,1,0,1,,,9:15,2171,345737.6764,204740.5959
CAN02,2,CAN02AFS44324915,4,-76.3869,1.8518,AFS,1,Bosque,25,80,La Candela,10,5/8/2021,5,8,2021,915,925,100,0,0,Myadestes ralloides,Myadestes ralloides,1,0,1,,,9:15,2171,345737.6764,204740.5959
