"Species","Abundance","Period","Di"
"Actitis macularius",5,"HISTORICAL",2.58844532269958
"Amaurolimnas concolor",1,"HISTORICAL",2.67105826303971
"Amazilia tzacatl",4,"HISTORICAL",3.48023754904029
"Amblycercus holosericeus",1,"HISTORICAL",2.39037671488619
"Androdon aequatorialis",10,"HISTORICAL",3.51089710771565
"Arremon aurantiirostris",4,"HISTORICAL",1.98338099350411
"Arremonops conirostris",6,"HISTORICAL",2.08619329701584
"Atlapetes leucopis",1,"HISTORICAL",2.0632185976337
"Aulacorhynchus haematopygus",1,"HISTORICAL",6.63264886618052
"Automolus subulatus",10,"HISTORICAL",1.83669197973015
"Bangsia edwardsi",6,"HISTORICAL",1.83222151792653
"Baryphthengus martii",12,"HISTORICAL",4.95686636131074
"Boissonneaua flavescens",1,"HISTORICAL",3.30653909233706
"Butorides striata",2,"HISTORICAL",4.29848142518666
"Cacicus uropygialis",9,"HISTORICAL",2.34958678447444
"Campephilus haematogaster",1,"HISTORICAL",3.73182327726577
"Campylorhamphus pusillus",1,"HISTORICAL",2.8560488811193
"Campylorhamphus trochilirostris",1,"HISTORICAL",3.09081173608851
"Cantorchilus leucopogon",1,"HISTORICAL",2.02442589272532
"Cantorchilus nigricapillus",8,"HISTORICAL",1.99873225781278
"Capito quinticolor",1,"HISTORICAL",2.10545709126423
"Celeus loricatus",4,"HISTORICAL",2.06723282610162
"Ceratopipra mentalis",4,"HISTORICAL",2.06974764478927
"Cercomacroides tyrannina",5,"HISTORICAL",2.01088291865083
"Chalybura urochrysia",4,"HISTORICAL",3.64649180418777
"Chloroceryle americana",2,"HISTORICAL",2.38344501123356
"Chloroceryle inda",1,"HISTORICAL",2.80312499238079
"Chlorophanes spiza",1,"HISTORICAL",1.83950391069666
"Chlorospingus flavigularis",7,"HISTORICAL",1.78556773701716
"Chlorothraupis olivacea",7,"HISTORICAL",1.92602918051959
"Chlorothraupis stolzmanni",3,"HISTORICAL",1.9460677070098
"Chordeiles minor",1,"HISTORICAL",3.67792624963895
"Chrysothlypis salmoni",3,"HISTORICAL",1.95804143022903
"Coereba flaveola",1,"HISTORICAL",2.09524527176175
"Colibri delphinae",1,"HISTORICAL",3.54599712669478
"Colonia colonus",6,"HISTORICAL",2.80234218077478
"Contopus fumigatus",1,"HISTORICAL",1.94615536079544
"Contopus sordidulus",1,"HISTORICAL",2.08183702057566
"Cotinga nattererii",3,"HISTORICAL",1.96759046264747
"Crotophaga ani",2,"HISTORICAL",3.52512401641486
"Cryptoleucopteryx plumbea",1,"HISTORICAL",4.78979998416259
"Cryptopipo holochlora",2,"HISTORICAL",1.91867253318066
"Crypturellus berlepschi",1,"HISTORICAL",3.74322326282966
"Cyanerpes cyaneus",20,"HISTORICAL",2.02478968229341
"Cyanoloxia cyanoides",3,"HISTORICAL",2.20284548193591
"Cymbilaimus lineatus",6,"HISTORICAL",2.14087686863804
"Cyphorhinus phaeocephalus",1,"HISTORICAL",2.0929751476091
"Dacnis cayana",5,"HISTORICAL",1.98920351068375
"Dacnis venusta",2,"HISTORICAL",2.00139649675014
"Dendrocincla fuliginosa",1,"HISTORICAL",2.01085238936645
