"Species","Abundance","Period","Di"
"Actitis macularius",5,"HISTORICAL",2.62800552957196
"Amaurolimnas concolor",1,"HISTORICAL",2.63683998260747
"Amazilia tzacatl",4,"HISTORICAL",3.56934799895277
"Amblycercus holosericeus",1,"HISTORICAL",2.31963602545879
"Androdon aequatorialis",10,"HISTORICAL",3.57028778315607
"Arremon aurantiirostris",3,"HISTORICAL",1.96357877987824
"Arremonops conirostris",4,"HISTORICAL",2.05836178898198
"Automolus subulatus",9,"HISTORICAL",1.82844164733002
"Baryphthengus martii",12,"HISTORICAL",4.78229341697802
"Butorides striata",2,"HISTORICAL",4.19009874092304
"Cacicus uropygialis",6,"HISTORICAL",2.28185542675641
"Campephilus haematogaster",1,"HISTORICAL",3.61337180009723
"Campylorhamphus pusillus",1,"HISTORICAL",2.78470017138285
"Cantorchilus nigricapillus",8,"HISTORICAL",1.99313368005511
"Capito quinticolor",1,"HISTORICAL",2.08246010457689
"Celeus loricatus",4,"HISTORICAL",2.03663355279008
"Ceratopipra mentalis",4,"HISTORICAL",2.09302822428585
"Cercomacroides tyrannina",5,"HISTORICAL",2.00894253653262
"Chalybura urochrysia",1,"HISTORICAL",3.73624458577098
"Chloroceryle americana",2,"HISTORICAL",2.3596022919618
"Chloroceryle inda",1,"HISTORICAL",2.74668292049375
"Chlorophanes spiza",1,"HISTORICAL",1.87488789034919
"Chlorothraupis olivacea",7,"HISTORICAL",1.90220015443709
"Colonia colonus",5,"HISTORICAL",2.74833384694717
"Cotinga nattererii",3,"HISTORICAL",1.95224958897985
"Crotophaga ani",2,"HISTORICAL",3.40365865163753
"Cryptoleucopteryx plumbea",1,"HISTORICAL",4.67506601215118
"Cryptopipo holochlora",2,"HISTORICAL",1.95100779410379
"Crypturellus berlepschi",1,"HISTORICAL",3.67620763093274
"Cyanerpes cyaneus",19,"HISTORICAL",2.06201119318205
"Cymbilaimus lineatus",6,"HISTORICAL",2.09722982901965
"Cyphorhinus phaeocephalus",1,"HISTORICAL",2.09125186190291
"Dacnis cayana",4,"HISTORICAL",2.02872259912631
"Dacnis venusta",2,"HISTORICAL",2.0434503374053
"Dendrocincla fuliginosa",1,"HISTORICAL",1.96428168395407
"Discosura conversii",7,"HISTORICAL",4.16475313308952
"Dryobates kirkii",6,"HISTORICAL",1.81199409945443
"Dysithamnus puncticeps",8,"HISTORICAL",1.97375177010271
"Elaenia flavogaster",2,"HISTORICAL",1.87598893111795
"Epinecrophylla fulviventris",3,"HISTORICAL",2.19844718367262
"Euphonia fulvicrissa",2,"HISTORICAL",2.18638649467714
"Euphonia minuta",1,"HISTORICAL",2.24778312756573
"Euphonia xanthogaster",2,"HISTORICAL",2.03965784754415
"Florisuga mellivora",8,"HISTORICAL",3.6825997789895
"Galbula ruficauda",5,"HISTORICAL",2.77213077288711
"Glaucis aeneus",2,"HISTORICAL",3.62668108893604
"Glyphorynchus spirurus",4,"HISTORICAL",1.93820832540687
"Gymnopithys bicolor",11,"HISTORICAL",2.02229834901572
"Hafferia zeledoni",9,"HISTORICAL",2.32140408635868
"Heliornis fulica",1,"HISTORICAL",2.58825217329351
"Heliothryx barroti",2,"HISTORICAL",3.83652612647534
"Henicorhina leucosticta",3,"HISTORICAL",2.18290240313201
"Herpetotheres cachinnans",1,"HISTORICAL",5.64974535050543
"Hylopezus perspicillatus",1,"HISTORICAL",2.16461227592618
"Hylophylax naevioides",8,"HISTORICAL",1.95204839964833
"Laterallus albigularis",3,"HISTORICAL",2.16438990063167
"Lepidocolaptes souleyetii",5,"HISTORICAL",2.01342543436745
"Lepidothrix coronata",12,"HISTORICAL",2.28226533609067
"Leptotila pallida",1,"HISTORICAL",2.46711036513161
"Leptotrygon veraguensis",3,"HISTORICAL",2.64364623535121
"Lipaugus unirufus",2,"HISTORICAL",2.29094246796735
"Lophotriccus pileatus",1,"HISTORICAL",2.25942665127625
"Malacoptila panamensis",6,"HISTORICAL",2.08868937009674
"Manacus manacus",26,"HISTORICAL",2.04954677297722
"Melanerpes pucherani",6,"HISTORICAL",1.98107068308613
"Microbates cinereiventris",5,"HISTORICAL",2.2065419438893
"Microcerculus marginatus",7,"HISTORICAL",2.15273191707058
"Mionectes olivaceus",6,"HISTORICAL",1.91494506814803
"Mitrospingus cassinii",13,"HISTORICAL",1.91555478490216
"Molothrus bonariensis",2,"HISTORICAL",1.95472910168556
"Mustelirallus colombianus",3,"HISTORICAL",2.15317844384301
"Myiobius barbatus",5,"HISTORICAL",2.0346253705196
"Myiornis atricapillus",1,"HISTORICAL",2.60822544314968
"Myiothlypis fulvicauda",5,"HISTORICAL",1.93507582068112
"Myiozetetes cayanensis",1,"HISTORICAL",1.85714379622258
"Myiozetetes granadensis",1,"HISTORICAL",1.81965098322106
"Myrmothera dives",5,"HISTORICAL",2.36832994767633
"Myrmotherula axillaris",2,"HISTORICAL",2.23935954091867
"Myrmotherula pacifica",3,"HISTORICAL",2.27302542599713
"Notharchus pectoralis",9,"HISTORICAL",2.60215324372821
"Notharchus tectus",4,"HISTORICAL",2.05772098371829
"Nyctidromus albicollis",1,"HISTORICAL",2.70696217485039
"Nyctiphrynus rosenbergi",2,"HISTORICAL",2.24004243036444
"Nystalus radiatus",2,"HISTORICAL",2.29383224793509
"Pachyramphus cinnamomeus",11,"HISTORICAL",1.87390220303718
"Phaenostictus mcleannani",2,"HISTORICAL",2.08435456416313
"Phaethornis striigularis",7,"HISTORICAL",3.98807059470055
"Phaethornis yaruqui",4,"HISTORICAL",3.86930601904226
"Philodice mitchellii",3,"HISTORICAL",4.03088219358315
"Piaya cayana",2,"HISTORICAL",4.84092974706559
"Picumnus olivaceus",1,"HISTORICAL",2.29645357371974
"Pionus menstruus",4,"HISTORICAL",3.50690683181236
"Pittasoma rufopileatum",8,"HISTORICAL",2.98431989625935
"Poliocrania exsul",15,"HISTORICAL",2.10424294896126
"Polyerata rosenbergi",12,"HISTORICAL",3.81383735236258
"Psarocolius wagleri",5,"HISTORICAL",3.77015867588807
"Pyrilia pulchra",5,"HISTORICAL",2.84443983128666
"Querula purpurata",8,"HISTORICAL",3.0953382638487
"Ramphastos ambiguus",4,"HISTORICAL",11.5310219304347
"Ramphocelus flammigerus",6,"HISTORICAL",1.93930518816005
"Rhynchocyclus pacificus",2,"HISTORICAL",2.02953822585805
"Rhynchortyx cinctus",2,"HISTORICAL",2.63128774972762
"Saltator atripennis",1,"HISTORICAL",2.23621425167191
"Saltator grossus",10,"HISTORICAL",2.18350854985094
"Saltator maximus",5,"HISTORICAL",2.07319204160799
"Sapayoa aenigma",5,"HISTORICAL",1.92972753172402
"Schiffornis veraepacis",1,"HISTORICAL",1.78911463727047
"Setophaga petechia",2,"HISTORICAL",2.10806682970759
"Setophaga ruticilla",1,"HISTORICAL",2.1306465692981
"Sipia berlepschi",16,"HISTORICAL",2.04896653398223
"Sporophila corvina",6,"HISTORICAL",2.07723150535436
"Sporophila nigricollis",4,"HISTORICAL",2.21093888431242
"Stelgidopteryx ruficollis",3,"HISTORICAL",2.84035464640249
"Stilpnia larvata",5,"HISTORICAL",1.90315147577513
"Synallaxis brachyura",6,"HISTORICAL",2.04743960643238
"Tachyphonus delatrii",10,"HISTORICAL",1.85797430966622
"Taraba major",11,"HISTORICAL",2.3705481711787
"Thamnistes anabatinus",1,"HISTORICAL",1.83476130887295
"Thamnophilus atrinucha",12,"HISTORICAL",1.95556919606961
"Thraupis episcopus",2,"HISTORICAL",1.84933849146437
"Threnetes ruckeri",4,"HISTORICAL",3.62425421929161
"Tityra semifasciata",1,"HISTORICAL",2.33837715264462
"Todirostrum cinereum",4,"HISTORICAL",2.31074469394861
"Tringa flavipes",1,"HISTORICAL",3.67337618826373
"Trogon caligatus",1,"HISTORICAL",2.46722939651996
"Trogon chionurus",7,"HISTORICAL",3.0060620599499
"Trogon massena",2,"HISTORICAL",3.58335705268829
"Trogon rufus",10,"HISTORICAL",2.66904349504749
"Tyrannulus elatus",5,"HISTORICAL",2.37622239374879
"Volatinia jacarina",1,"HISTORICAL",2.18022985271718
"Xenops minutus",1,"HISTORICAL",2.08153373966218
"Xiphorhynchus erythropygius",4,"HISTORICAL",2.1270880919678
"Xiphorhynchus lachrymosus",4,"HISTORICAL",2.33762083571722
"Accipiter superciliosus",1,"MODERN",2.78087438652997
"Actitis macularius",6,"MODERN",2.83355755408322
"Amazilia tzacatl",16,"MODERN",3.73934150722923
"Amazona farinosa",1,"MODERN",5.29228763683075
"Androdon aequatorialis",12,"MODERN",3.75673268539143
"Arremon aurantiirostris",5,"MODERN",2.27119685645306
"Attila spadiceus",13,"MODERN",2.20179611060485
"Automolus subulatus",3,"MODERN",2.13235363214525
"Baryphthengus martii",12,"MODERN",4.86791944903463
"Butorides striata",1,"MODERN",4.34656870283451
"Cacicus uropygialis",16,"MODERN",2.54206482092656
"Campephilus gayaquilensis",2,"MODERN",3.73058949265044
"Camptostoma obsoletum",5,"MODERN",2.51042541349978
"Cantorchilus leucopogon",23,"MODERN",2.32082190040406
"Cantorchilus nigricapillus",11,"MODERN",2.31250450942219
"Capito quinticolor",10,"MODERN",2.35911415175339
"Capito squamatus",7,"MODERN",2.27699479048037
"Carpodectes hopkei",1,"MODERN",2.59637577640672
"Cathartes aura",3,"MODERN",8.20500671208772
"Catharus ustulatus",2,"MODERN",2.31424435981722
"Celeus loricatus",9,"MODERN",2.30167383999852
"Ceratopipra mentalis",46,"MODERN",2.3291380977375
"Cercomacroides tyrannina",4,"MODERN",2.30480171543537
"Chlorophanes spiza",1,"MODERN",2.10461508934595
"Chlorothraupis olivacea",3,"MODERN",2.17981384489946
"Chrysothlypis salmoni",1,"MODERN",2.21370996194709
"Coereba flaveola",22,"MODERN",2.34598016800624
"Colonia colonus",8,"MODERN",2.96827957677109
"Contopus cooperi",1,"MODERN",2.4455280828599
"Contopus sordidulus",1,"MODERN",2.30550392353531
"Contopus virens",1,"MODERN",2.2481889783169
"Coragyps atratus",51,"MODERN",7.56395009437164
"Cotinga nattererii",1,"MODERN",2.20488121233209
"Crotophaga ani",4,"MODERN",3.55432759478161
"Cryptopipo holochlora",2,"MODERN",2.17334096259602
"Crypturellus soui",4,"MODERN",2.96893736677012
"Cyanerpes caeruleus",10,"MODERN",2.3583715162871
"Cyanerpes cyaneus",2,"MODERN",2.28853860013384
"Cyanoloxia cyanoides",8,"MODERN",2.43828485947528
"Cypseloides cryptus",10,"MODERN",3.78959647705822
"Dacnis cayana",4,"MODERN",2.23971380184839
"Dacnis venusta",5,"MODERN",2.25486745606534
"Dendrocincla fuliginosa",4,"MODERN",2.27166920810261
"Dendrocolaptes sanctithomae",3,"MODERN",2.82883171774723
"Dryocopus lineatus",1,"MODERN",3.44883464836797
"Dysithamnus puncticeps",4,"MODERN",2.24509806998714
"Elaenia brachyptera",1,"MODERN",2.11348665323056
"Elaenia flavogaster",12,"MODERN",2.13998484651966
"Empidonax virescens",3,"MODERN",2.194162735324
"Epinecrophylla fulviventris",12,"MODERN",2.44794999742954
"Euphonia fulvicrissa",3,"MODERN",2.40168102572419
