"Species","Abundance","Period","Di"
"Accipiter bicolor",1,"HISTORICAL",4.44624293718917
"Akletos melanoceps",6,"HISTORICAL",2.27638913598331
"Ammodramus aurifrons",11,"HISTORICAL",2.31244455433694
"Anabacerthia ruficaudata",2,"HISTORICAL",2.06527498139144
"Anabazenops dorsalis",3,"HISTORICAL",2.04635937662622
"Ancistrops strigilatus",1,"HISTORICAL",1.98778049823174
"Anurolimnas castaneiceps",1,"HISTORICAL",3.2669054110207
"Anurolimnas fasciatus",2,"HISTORICAL",2.67293805698479
"Ara severus",2,"HISTORICAL",5.82340823498296
"Ardea alba",1,"HISTORICAL",10.7654628586231
"Atticora fasciata",4,"HISTORICAL",3.15527685744706
"Automolus infuscatus",5,"HISTORICAL",2.00050093349734
"Automolus subulatus",1,"HISTORICAL",2.02628902379597
"Baryphthengus martii",5,"HISTORICAL",4.64176182096035
"Brachygalba lugubris",17,"HISTORICAL",2.83698937196686
"Bucco capensis",2,"HISTORICAL",2.56364792805146
"Bucco macrodactylus",4,"HISTORICAL",2.29713853887451
"Butorides striata",2,"HISTORICAL",4.16235732507465
"Cacicus cela",14,"HISTORICAL",2.52124371740589
"Cacicus haemorrhous",2,"HISTORICAL",2.59391051997208
"Calochaetes coccineus",1,"HISTORICAL",2.05617695187758
"Campephilus melanoleucos",1,"HISTORICAL",3.50947826468779
"Campephilus rubricollis",1,"HISTORICAL",3.37712822510806
"Campylopterus largipennis",1,"HISTORICAL",3.86465979496241
"Campylorhamphus trochilirostris",1,"HISTORICAL",3.12760555364833
"Campylorhynchus turdinus",6,"HISTORICAL",2.17347375509851
"Capito auratus",3,"HISTORICAL",2.10770715047852
"Capito aurovirens",7,"HISTORICAL",2.21314394937538
"Cephalopterus ornatus",1,"HISTORICAL",5.49680535102327
"Ceratopipra erythrocephala",6,"HISTORICAL",2.50435956080136
"Cercomacra cinerascens",2,"HISTORICAL",2.26381378224518
"Chamaeza campanisona",2,"HISTORICAL",2.45222210197533
"Chamaeza nobilis",1,"HISTORICAL",2.56579577785679
"Charadrius collaris",2,"HISTORICAL",3.02537595321773
"Chionomesa fimbriata",1,"HISTORICAL",4.21383662420117
"Chiroxiphia pareola",2,"HISTORICAL",2.35133993964872
"Chloroceryle amazona",2,"HISTORICAL",3.84976799170811
"Chloroceryle americana",1,"HISTORICAL",2.58447602850818
"Chlorophanes spiza",4,"HISTORICAL",2.15583792356488
"Cissopis leverianus",16,"HISTORICAL",2.51427202429945
"Clibanornis rubiginosus",3,"HISTORICAL",2.15579951561222
"Cnipodectes subbrunneus",2,"HISTORICAL",2.04972455222647
"Coccyzus melacoryphus",2,"HISTORICAL",2.52699359691606
"Colaptes punctigula",1,"HISTORICAL",2.09190193642549
"Conopophaga aurita",3,"HISTORICAL",2.25288837189729
"Crotophaga ani",2,"HISTORICAL",3.3415040973151
"Cryptopipo holochlora",1,"HISTORICAL",2.24202087151996
"Cyanocorax violaceus",7,"HISTORICAL",4.04058175685859
"Cymbilaimus lineatus",2,"HISTORICAL",2.22971036046093
"Cyphorhinus arada",3,"HISTORICAL",2.32347912709511
"Dacnis cayana",5,"HISTORICAL",2.35444660294748
"Dacnis lineata",5,"HISTORICAL",2.48822416883758
"Dendrocolaptes picumnus",1,"HISTORICAL",2.64413753936127
"Dendrocolaptes sanctithomae",1,"HISTORICAL",2.584684229043
"Dichrozona cincta",3,"HISTORICAL",2.4256355195881
"Dolichonyx oryzivorus",1,"HISTORICAL",2.33046681482865
"Donacobius atricapilla",8,"HISTORICAL",2.35381836497172
