"Species","Abundance","Period","Di"
"Accipiter bicolor",1,"HISTORICAL",4.42460329433037
"Akletos melanoceps",11,"HISTORICAL",2.33651262616909
"Ammodramus aurifrons",11,"HISTORICAL",2.35730202325156
"Anabacerthia ruficaudata",2,"HISTORICAL",2.11162241926689
"Anabazenops dorsalis",3,"HISTORICAL",2.10063740361974
"Ancistrops strigilatus",3,"HISTORICAL",2.04087884280559
"Anurolimnas castaneiceps",3,"HISTORICAL",3.31072848750625
"Anurolimnas fasciatus",2,"HISTORICAL",2.72155742274249
"Ara ararauna",1,"HISTORICAL",11.1042510068808
"Ara severus",2,"HISTORICAL",5.73064344314968
"Ardea alba",1,"HISTORICAL",10.6009845727154
"Atticora fasciata",4,"HISTORICAL",3.20554418435485
"Automolus infuscatus",5,"HISTORICAL",2.05171304580401
"Automolus subulatus",1,"HISTORICAL",2.07508636443257
"Baryphthengus martii",5,"HISTORICAL",4.57568794894972
"Brachygalba lugubris",17,"HISTORICAL",2.8638913482617
"Bucco capensis",2,"HISTORICAL",2.59888974289272
"Bucco macrodactylus",4,"HISTORICAL",2.3389179105026
"Butorides striata",2,"HISTORICAL",4.14740298554032
"Cacicus cela",14,"HISTORICAL",2.56137805187056
"Cacicus haemorrhous",2,"HISTORICAL",2.63060371928161
"Campephilus melanoleucos",1,"HISTORICAL",3.51512636753789
"Campephilus rubricollis",1,"HISTORICAL",3.38812507947814
"Campylopterus largipennis",1,"HISTORICAL",3.91995751169149
"Campylorhamphus pusillus",1,"HISTORICAL",2.93108847751625
"Campylorhynchus turdinus",6,"HISTORICAL",2.22552108762286
"Capito auratus",3,"HISTORICAL",2.16274197753943
"Capito aurovirens",7,"HISTORICAL",2.27347643712658
"Cephalopterus ornatus",1,"HISTORICAL",5.4317174942902
"Ceratopipra erythrocephala",6,"HISTORICAL",2.53680268518584
"Cercomacra cinerascens",2,"HISTORICAL",2.31043574374507
"Cercomacroides tyrannina",3,"HISTORICAL",2.27174460969384
"Chamaeza nobilis",1,"HISTORICAL",2.62549895255892
"Charadrius collaris",2,"HISTORICAL",3.07989041429629
"Chionomesa fimbriata",1,"HISTORICAL",4.26710111188354
"Chiroxiphia pareola",2,"HISTORICAL",2.39062834157443
"Chloroceryle amazona",2,"HISTORICAL",3.83892129465326
"Chloroceryle americana",1,"HISTORICAL",2.61924897891956
"Chlorophanes spiza",4,"HISTORICAL",2.19971362468485
"Cissopis leverianus",16,"HISTORICAL",2.55405320706462
"Cnipodectes subbrunneus",2,"HISTORICAL",2.09496764165161
"Coccyzus americanus",2,"HISTORICAL",3.06198168870948
"Coccyzus melacoryphus",2,"HISTORICAL",2.55300422534975
"Colaptes punctigula",1,"HISTORICAL",2.14730814844499
"Conopophaga aurita",3,"HISTORICAL",2.29788003581247
"Crotophaga ani",2,"HISTORICAL",3.33674951999557
"Cryptopipo holochlora",1,"HISTORICAL",2.28045581728756
"Cyanocorax violaceus",7,"HISTORICAL",4.02851635418109
"Cymbilaimus lineatus",2,"HISTORICAL",2.28374270608666
