"Species","Abundance","Period","Di"
"Actitis macularius",2,"HISTORICAL",2.61868935651673
"Amazilia tzacatl",1,"HISTORICAL",3.52827456656812
"Amazona ochrocephala",2,"HISTORICAL",4.94612008340803
"Anthracothorax nigricollis",1,"HISTORICAL",3.60561614129124
"Arremon aurantiirostris",1,"HISTORICAL",1.82095260504871
"Arremonops conirostris",7,"HISTORICAL",1.9270190681064
"Atalotriccus pilaris",2,"HISTORICAL",2.22955687902848
"Automolus ochrolaemus",1,"HISTORICAL",1.73585459503562
"Baryphthengus martii",2,"HISTORICAL",4.86718911037555
"Brotogeris jugularis",3,"HISTORICAL",2.56851105710999
"Butorides striata",1,"HISTORICAL",4.39090476903603
"Campylorhynchus zonatus",2,"HISTORICAL",1.86283998386612
"Cantorchilus leucotis",2,"HISTORICAL",1.78564638232839
"Catharus minimus",1,"HISTORICAL",1.95439392526769
"Cercomacra nigricans",5,"HISTORICAL",1.77200957328615
"Chalybura buffonii",2,"HISTORICAL",3.69984831487645
"Chlorestes julie",1,"HISTORICAL",2.86866846691896
"Chlorophanes spiza",2,"HISTORICAL",1.65983092429037
"Chrysuronia goudoti",1,"HISTORICAL",3.71892576840621
"Coereba flaveola",4,"HISTORICAL",1.85997108774339
"Colinus cristatus",18,"HISTORICAL",2.29861889053399
"Colonia colonus",3,"HISTORICAL",2.6143100276601
"Columbina passerina",2,"HISTORICAL",1.90643090737394
"Conirostrum leucogenys",2,"HISTORICAL",2.08600946860625
"Contopus cinereus",1,"HISTORICAL",1.77362031603376
"Corapipo leucorrhoa",2,"HISTORICAL",1.90190592461297
"Crotophaga major",1,"HISTORICAL",5.21334498357396
"Cyanocorax affinis",2,"HISTORICAL",4.17868354706451
"Cyclarhis gujanensis",2,"HISTORICAL",1.65846459210549
"Dacnis lineata",1,"HISTORICAL",1.88322552372439
"Dendrocincla fuliginosa",1,"HISTORICAL",1.9214091431943
"Dendroplex picus",2,"HISTORICAL",1.8666594288252
"Donacobius atricapilla",1,"HISTORICAL",2.12917882920171
"Dryobates kirkii",2,"HISTORICAL",1.66736363250249
"Dysithamnus mentalis",2,"HISTORICAL",1.80608440314397
"Elaenia flavogaster",3,"HISTORICAL",1.66332267947884
"Empidonax traillii",4,"HISTORICAL",1.6845367576475
"Eucometis penicillata",2,"HISTORICAL",1.66522803432792
"Euphonia concinna",1,"HISTORICAL",1.95243556082731
"Euphonia laniirostris",5,"HISTORICAL",1.78826187812475
"Falco sparverius",4,"HISTORICAL",3.31097394167819
"Fluvicola pica",1,"HISTORICAL",1.68039948408038
"Formicivora grisea",5,"HISTORICAL",1.99871777292658
"Forpus conspicillatus",4,"HISTORICAL",2.45380502102068
"Galbula ruficauda",5,"HISTORICAL",2.80456881717863
"Geothlypis philadelphia",2,"HISTORICAL",1.82495687250343
"Habia cristata",2,"HISTORICAL",1.8628502853769
"Hafferia immaculata",5,"HISTORICAL",2.17910858764491
"Heliomaster longirostris",1,"HISTORICAL",3.79549802705818
"Hemitriccus margaritaceiventer",2,"HISTORICAL",2.03710020803154
"Henicorhina leucosticta",1,"HISTORICAL",1.9770582824401
"Icterus auricapillus",2,"HISTORICAL",1.76572075784919
"Icterus chrysater",3,"HISTORICAL",1.96584254861393
"Lepidocolaptes albolineatus",3,"HISTORICAL",1.77503843971293
"Manacus manacus",2,"HISTORICAL",1.821632128188
"Megaceryle torquata",1,"HISTORICAL",5.31601351868829
"Melanerpes rubricapillus",6,"HISTORICAL",1.85428819129207
"Melanospiza bicolor",3,"HISTORICAL",1.89305055303447
"Milvago chimachima",1,"HISTORICAL",5.17758084130996
"Mimus gilvus",1,"HISTORICAL",2.22309715532659
"Mionectes oleagineus",1,"HISTORICAL",1.75868788753743
"Mniotilta varia",1,"HISTORICAL",1.84522883174249
"Momotus momota",1,"HISTORICAL",4.55257240562286
