"Species","Abundance","Period","Di"
"Actitis macularius",2,"HISTORICAL",2.61414776760695
"Adelomyia melanogenys",2,"HISTORICAL",3.44823759003716
"Amazilia tzacatl",1,"HISTORICAL",3.50564239919653
"Amazona ochrocephala",2,"HISTORICAL",4.88895933704308
"Anthracothorax nigricollis",1,"HISTORICAL",3.58497816699865
"Arremon aurantiirostris",1,"HISTORICAL",1.82482921745729
"Arremonops conirostris",7,"HISTORICAL",1.93166581841455
"Atalotriccus pilaris",2,"HISTORICAL",2.23508698025459
"Automolus ochrolaemus",1,"HISTORICAL",1.73694164358598
"Baryphthengus martii",2,"HISTORICAL",4.77462316734719
"Brotogeris jugularis",3,"HISTORICAL",2.56279847325527
"Butorides striata",1,"HISTORICAL",4.34092059044646
"Campylorhynchus zonatus",2,"HISTORICAL",1.86176597203446
"Cantorchilus leucotis",2,"HISTORICAL",1.79489702738191
"Catharus minimus",1,"HISTORICAL",1.95410322279301
"Cercomacra nigricans",5,"HISTORICAL",1.78138045992997
"Chalybura buffonii",2,"HISTORICAL",3.68004966787547
"Chlorestes julie",1,"HISTORICAL",2.85068350554271
"Chlorophanes spiza",2,"HISTORICAL",1.66974993290874
"Chrysuronia goudoti",1,"HISTORICAL",3.69320956385598
"Coereba flaveola",4,"HISTORICAL",1.86501018049075
"Colinus cristatus",18,"HISTORICAL",2.29774956001374
"Colonia colonus",3,"HISTORICAL",2.57658237647458
"Columbina passerina",2,"HISTORICAL",1.91002923477759
"Conirostrum leucogenys",2,"HISTORICAL",2.08516682752108
"Contopus cinereus",1,"HISTORICAL",1.77999420843012
"Corapipo leucorrhoa",2,"HISTORICAL",1.90591544222262
"Crotophaga major",1,"HISTORICAL",5.11476634511448
"Cyanocorax affinis",2,"HISTORICAL",4.1351913646137
"Cyclarhis gujanensis",2,"HISTORICAL",1.66467608493966
"Dacnis lineata",1,"HISTORICAL",1.88761593626904
"Dendrocincla fuliginosa",1,"HISTORICAL",1.9139051521257
"Dendroplex picus",2,"HISTORICAL",1.86234057126379
"Donacobius atricapilla",1,"HISTORICAL",2.12087605716805
"Dryobates kirkii",3,"HISTORICAL",1.6755939895252
"Dysithamnus mentalis",2,"HISTORICAL",1.81759404215472
"Elaenia flavogaster",3,"HISTORICAL",1.66960416739342
"Empidonax traillii",4,"HISTORICAL",1.69229535796289
"Eucometis penicillata",2,"HISTORICAL",1.66728185249688
"Euphonia concinna",1,"HISTORICAL",1.95411870421099
"Euphonia laniirostris",5,"HISTORICAL",1.79331858230269
"Falco sparverius",4,"HISTORICAL",3.28889732970633
"Fluvicola pica",1,"HISTORICAL",1.69093178868531
"Formicivora grisea",5,"HISTORICAL",2.01009271620386
"Forpus conspicillatus",4,"HISTORICAL",2.44346879828279
"Galbula ruficauda",5,"HISTORICAL",2.77360745899557
"Geothlypis philadelphia",2,"HISTORICAL",1.82943850043402
"Habia cristata",2,"HISTORICAL",1.8595430307129
"Hafferia immaculata",5,"HISTORICAL",2.17979337133643
"Heliomaster longirostris",1,"HISTORICAL",3.77232460216644
"Hemitriccus margaritaceiventer",2,"HISTORICAL",2.04678962152395
"Henicorhina leucosticta",1,"HISTORICAL",1.98295551133753
"Icterus auricapillus",2,"HISTORICAL",1.7626317382531
"Icterus chrysater",3,"HISTORICAL",1.95653390702943
"Icterus mesomelas",1,"HISTORICAL",2.02303130793773
"Lepidocolaptes souleyetii",3,"HISTORICAL",1.92283066351045
"Manacus manacus",2,"HISTORICAL",1.82711073634429
"Megaceryle torquata",1,"HISTORICAL",5.24016089290708
"Melanerpes rubricapillus",6,"HISTORICAL",1.856693860972
"Melanospiza bicolor",3,"HISTORICAL",1.90028223425843
"Milvago chimachima",1,"HISTORICAL",5.11188159362601
"Mimus gilvus",1,"HISTORICAL",2.2057477209167
"Mionectes oleagineus",1,"HISTORICAL",1.76888971804631
"Mniotilta varia",2,"HISTORICAL",1.85009257400599
"Momotus aequatorialis",1,"HISTORICAL",5.08405082410123
"Momotus subrufescens",4,"HISTORICAL",3.80092986104197
"Myiarchus apicalis",5,"HISTORICAL",1.96814625946311
"Myiopagis viridicata",3,"HISTORICAL",1.75179797270455
"Myiozetetes cayanensis",2,"HISTORICAL",1.66726893147644
"Myrmeciza longipes",4,"HISTORICAL",2.0220241531062
"Notharchus hyperrhynchus",2,"HISTORICAL",3.71255408176942
"Nystalus radiatus",1,"HISTORICAL",2.3232561610997
"Parkesia noveboracensis",1,"HISTORICAL",1.79126962259286
"Phaeomyias murina",3,"HISTORICAL",1.81939699188422
"Pheugopedius fasciatoventris",2,"HISTORICAL",1.78443486776111
"Picumnus olivaceus",3,"HISTORICAL",2.0463775447486
"Pionus tumultuosus",2,"HISTORICAL",3.6029179197264
"Piranga rubra",4,"HISTORICAL",1.91360196229442
"Pitangus sulphuratus",1,"HISTORICAL",2.30501820205972
"Poecilotriccus sylvia",3,"HISTORICAL",2.07385318968623
"Polioptila plumbea",2,"HISTORICAL",2.13259097429663
"Psittacara wagleri",1,"HISTORICAL",4.43295787075788
"Pyrocephalus rubinus",1,"HISTORICAL",1.65463317956701
"Ramphocelus dimidiatus",1,"HISTORICAL",1.67954341996789
"Saltator striatipectus",7,"HISTORICAL",1.98459014467953
"Schiffornis stenorhyncha",1,"HISTORICAL",1.68181458688467
"Setophaga castanea",1,"HISTORICAL",1.86868825451348
"Setophaga fusca",1,"HISTORICAL",2.0038505730885
"Setophaga petechia",3,"HISTORICAL",1.83735484170107
"Setophaga ruticilla",3,"HISTORICAL",1.8520385554623
"Spinus psaltria",2,"HISTORICAL",1.95564752084769
"Sporophila crassirostris",1,"HISTORICAL",1.8323013317181
"Sporophila funerea",1,"HISTORICAL",1.82756365675736
"Sporophila minuta",1,"HISTORICAL",1.95773502117462
"Sporophila schistacea",1,"HISTORICAL",1.80319270573886
"Stilpnia cyanicollis",3,"HISTORICAL",1.68288929208654
"Stilpnia vitriolina",4,"HISTORICAL",1.65022990011038
"Streptoprocne zonaris",1,"HISTORICAL",3.96854029724839
"Tangara gyrola",2,"HISTORICAL",1.64624814845646
"Taraba major",2,"HISTORICAL",2.32907613181485
"Thalurania colombica",1,"HISTORICAL",3.90072610377779
"Thamnophilus atrinucha",3,"HISTORICAL",1.79206362062001
"Thamnophilus doliatus",5,"HISTORICAL",1.83513168164479
"Thraupis episcopus",3,"HISTORICAL",1.7167746620656
"Tiaris olivaceus",1,"HISTORICAL",1.9155378152108
"Todirostrum cinereum",2,"HISTORICAL",2.04955940041659
"Troglodytes aedon",2,"HISTORICAL",1.91819319965016
"Turdus ignobilis",4,"HISTORICAL",2.10033264776608
"Turdus leucomelas",3,"HISTORICAL",2.12016063194583
"Tyrannus melancholicus",1,"HISTORICAL",2.11183606134104
"Volatinia jacarina",1,"HISTORICAL",1.90134222977231
