"Species","Abundance","Period","Di"
"Aburria aburri",4,"HISTORICAL",7.14311218103597
"Aglaiocercus kingii",26,"HISTORICAL",3.68577036294261
"Amazona mercenarius",4,"HISTORICAL",4.18900544956331
"Anabacerthia striaticollis",12,"HISTORICAL",1.87472605606256
"Anisognathus somptuosus",16,"HISTORICAL",1.93960622975399
"Arremon brunneinucha",4,"HISTORICAL",2.19425064142865
"Atlapetes albinucha",6,"HISTORICAL",2.14109296040624
"Atlapetes fuscoolivaceus",8,"HISTORICAL",2.00127643040902
"Aulacorhynchus albivitta",3,"HISTORICAL",5.4505333782027
"Basileuterus tristriatus",11,"HISTORICAL",1.99133385846322
"Butorides striata",1,"HISTORICAL",4.46020234182528
"Campephilus melanoleucos",2,"HISTORICAL",3.80899435394927
"Campylopterus falcatus",1,"HISTORICAL",3.57307899445072
"Cardellina canadensis",2,"HISTORICAL",2.01796194696699
"Catharus maculatus",10,"HISTORICAL",2.1153043831525
"Chaetocercus heliodor",1,"HISTORICAL",4.19355712847523
"Chalcothraupis ruficervix",2,"HISTORICAL",1.90966278123423
"Chalybura buffonii",7,"HISTORICAL",3.81782530400627
"Chamaepetes goudotii",3,"HISTORICAL",5.99500381860657
"Chamaeza nobilis",1,"HISTORICAL",2.67439637786496
"Chamaeza turdina",1,"HISTORICAL",2.36279441604116
"Chlorochrysa calliparaea",3,"HISTORICAL",1.95678326383768
"Chlorophanes spiza",1,"HISTORICAL",1.8770584377617
"Chlorospingus canigularis",2,"HISTORICAL",1.83617380119424
"Chlorospingus flavigularis",2,"HISTORICAL",1.81862128070456
"Chlorospingus flavopectus",1,"HISTORICAL",1.85399491244358
"Chlorostilbon melanorhynchus",6,"HISTORICAL",4.25188098927434
"Chrysuronia goudoti",1,"HISTORICAL",3.84890518806705
"Cinclus leucocephalus",2,"HISTORICAL",2.09509290696677
"Coeligena coeligena",2,"HISTORICAL",3.73860033263965
"Coereba flaveola",6,"HISTORICAL",2.12292977634659
"Colaptes rubiginosus",1,"HISTORICAL",2.1917700283858
"Conopophaga castaneiceps",5,"HISTORICAL",2.13424034692121
"Contopus fumigatus",6,"HISTORICAL",2.02507473214294
"Contopus sordidulus",1,"HISTORICAL",2.1571040897289
"Contopus virens",1,"HISTORICAL",2.07907942628646
"Cranioleuca antisiensis",1,"HISTORICAL",2.01143421550473
"Cranioleuca hellmayri",1,"HISTORICAL",1.9194502020674
"Creurgops verticalis",12,"HISTORICAL",1.82374871026065
"Crotophaga ani",1,"HISTORICAL",3.49740570252979
"Cyanocorax yncas",7,"HISTORICAL",3.11755337714286
"Cyclarhis nigrirostris",1,"HISTORICAL",1.91696568425302
"Dacnis venusta",1,"HISTORICAL",2.0437604410281
"Dendrocolaptes picumnus",3,"HISTORICAL",2.8377315133632
"Diglossa sittoides",3,"HISTORICAL",2.14737074619673
"Dolichonyx oryzivorus",1,"HISTORICAL",2.16961984391299
"Dryobates fumigatus",3,"HISTORICAL",1.97053985031797
"Dysithamnus mentalis",6,"HISTORICAL",2.06740591423807
"Elaenia chiriquensis",12,"HISTORICAL",1.86493332141172
"Elaenia flavogaster",1,"HISTORICAL",1.86615383590023
"Eubucco bourcierii",3,"HISTORICAL",1.9714639595094
"Euphonia xanthogaster",2,"HISTORICAL",2.0408928147357
"Falco rufigularis",2,"HISTORICAL",3.42642850902837
"Grallaria hypoleuca",3,"HISTORICAL",2.91024145648266
"Haplophaedia aureliae",10,"HISTORICAL",3.72061845364235
"Heliodoxa leadbeateri",24,"HISTORICAL",3.67666208783894
"Heliomaster longirostris",1,"HISTORICAL",3.92460732603949
"Hemithraupis guira",1,"HISTORICAL",1.93306013052015
"Henicorhina leucophrys",9,"HISTORICAL",2.31778241660155
"Icterus chrysater",1,"HISTORICAL",2.14542471668756
"Ixothraupis xanthogastra",6,"HISTORICAL",1.9993988768022
"Knipolegus poecilurus",4,"HISTORICAL",1.84038951572773
"Lepidocolaptes lacrymiger",9,"HISTORICAL",2.13542655181827
