"Species","Abundance","Period","Di"
"Aburria aburri",4,"HISTORICAL",7.07267337344122
"Aglaiocercus kingii",26,"HISTORICAL",3.62128519533404
"Amazona mercenarius",4,"HISTORICAL",4.12385132326301
"Anabacerthia striaticollis",12,"HISTORICAL",1.81141052097877
"Anisognathus somptuosus",16,"HISTORICAL",1.88018601015346
"Arremon brunneinucha",4,"HISTORICAL",2.14252910387294
"Atlapetes albinucha",6,"HISTORICAL",2.08519864488888
"Atlapetes fuscoolivaceus",8,"HISTORICAL",1.94292512941863
"Aulacorhynchus albivitta",3,"HISTORICAL",5.35416592363117
"Basileuterus tristriatus",11,"HISTORICAL",1.92410603436773
"Butorides striata",1,"HISTORICAL",4.38526008236923
"Campephilus melanoleucos",2,"HISTORICAL",3.75147249617112
"Campylopterus falcatus",1,"HISTORICAL",3.50693996614075
"Cardellina canadensis",2,"HISTORICAL",1.94771225271996
"Catharus maculatus",10,"HISTORICAL",2.05858453874128
"Chaetocercus heliodor",1,"HISTORICAL",4.11502841456408
"Chalcothraupis ruficervix",2,"HISTORICAL",1.8393845585564
"Chalybura buffonii",7,"HISTORICAL",3.75405270856851
"Chamaepetes goudotii",3,"HISTORICAL",5.93371604212874
"Chamaeza turdina",2,"HISTORICAL",2.31330505001739
"Chlorochrysa calliparaea",3,"HISTORICAL",1.88630561877634
"Chlorophanes spiza",1,"HISTORICAL",1.80777478574419
"Chlorospingus canigularis",2,"HISTORICAL",1.76745501760858
"Chlorospingus flavigularis",2,"HISTORICAL",1.75366293923143
"Chlorospingus flavopectus",1,"HISTORICAL",1.78861353678072
"Chlorostilbon melanorhynchus",6,"HISTORICAL",4.18238084789173
"Chrysuronia goudoti",1,"HISTORICAL",3.77846047667805
"Cinclus leucocephalus",2,"HISTORICAL",2.03252603783159
"Coeligena coeligena",2,"HISTORICAL",3.67283398309919
"Coereba flaveola",6,"HISTORICAL",2.04455925416423
"Colaptes rubiginosus",1,"HISTORICAL",2.13282953989472
"Conopophaga castaneiceps",5,"HISTORICAL",2.07002467679507
"Contopus fumigatus",6,"HISTORICAL",1.95772392664663
"Contopus sordidulus",1,"HISTORICAL",2.08908767592311
"Contopus virens",1,"HISTORICAL",2.01015426429108
"Cranioleuca curtata",2,"HISTORICAL",1.87313809246477
"Creurgops verticalis",12,"HISTORICAL",1.75838822467978
"Crotophaga ani",1,"HISTORICAL",3.43630039632118
"Cyanocorax yncas",7,"HISTORICAL",3.06807667398612
"Cyclarhis nigrirostris",1,"HISTORICAL",1.85599666957882
"Dendrocolaptes picumnus",3,"HISTORICAL",2.77964266225111
"Diglossa sittoides",3,"HISTORICAL",2.07270722413382
