"Species","Abundance","Period","Di"
"Acropternis orthonyx",2,"HISTORICAL",2.62045851989705
"Adelomyia melanogenys",2,"HISTORICAL",3.63267056566096
"Amazona mercenarius",2,"HISTORICAL",4.13314280181146
"Amblycercus holosericeus",1,"HISTORICAL",2.45786388633838
"Ampelion rubrocristatus",6,"HISTORICAL",2.1675199259172
"Andigena hypoglauca",2,"HISTORICAL",7.28648545105426
"Andigena nigrirostris",3,"HISTORICAL",7.56974919259159
"Anisognathus lacrymosus",14,"HISTORICAL",1.98515855641664
"Anisognathus somptuosus",1,"HISTORICAL",2.01211885439104
"Anthocephala berlepschi",1,"HISTORICAL",3.97110195227557
"Arremon assimilis",8,"HISTORICAL",2.20196159753116
"Asio stygius",1,"HISTORICAL",5.36835291869355
"Atlapetes albinucha",1,"HISTORICAL",2.18888510313484
"Atlapetes flaviceps",2,"HISTORICAL",2.10334927170206
"Atlapetes pallidinucha",2,"HISTORICAL",2.1053521963897
"Atlapetes schistaceus",11,"HISTORICAL",2.06651015130277
"Boissonneaua flavescens",4,"HISTORICAL",3.49067974330346
"Buteo platypterus",1,"HISTORICAL",5.02494575397402
"Buthraupis montana",2,"HISTORICAL",2.4114378784303
"Cacicus chrysonotus",9,"HISTORICAL",2.65442706700326
"Campephilus pollens",1,"HISTORICAL",3.70585395708141
"Catamenia homochroa",1,"HISTORICAL",2.08742640651219
"Catharus ustulatus",1,"HISTORICAL",2.19586768179136
"Chamaepetes goudotii",7,"HISTORICAL",5.97933124132367
"Chamaeza mollissima",2,"HISTORICAL",2.37990422187807
"Chlorornis riefferii",10,"HISTORICAL",2.14893049750661
"Chlorospingus flavopectus",9,"HISTORICAL",1.97095433302755
"Chlorostilbon melanorhynchus",3,"HISTORICAL",4.27330398732131
"Cinclus leucocephalus",2,"HISTORICAL",2.15273159212599
"Cinnycerthia olivascens",2,"HISTORICAL",2.1193104684091
"Cinnycerthia unirufa",2,"HISTORICAL",2.06537332953642
"Cnemoscopus rubrirostris",3,"HISTORICAL",1.95276496620616
"Coeligena coeligena",12,"HISTORICAL",3.7313054317258
"Coeligena lutetiae",5,"HISTORICAL",3.82447078879086
"Coeligena torquata",2,"HISTORICAL",3.80835693362272
"Colaptes rivolii",1,"HISTORICAL",2.60767240146687
"Colibri cyanotus",9,"HISTORICAL",3.63841285030183
"Conirostrum albifrons",1,"HISTORICAL",2.06954677651155
"Conirostrum sitticolor",8,"HISTORICAL",2.12416191938372
"Contopus fumigatus",1,"HISTORICAL",2.14988176824445
"Cyanolyca armillata",11,"HISTORICAL",3.5684006421892
"Cyclarhis nigrirostris",1,"HISTORICAL",2.01025703628034
"Dendrocincla tyrannina",3,"HISTORICAL",2.5592267505284
"Diglossa albilatera",5,"HISTORICAL",2.23678792718634
"Diglossa cyanea",10,"HISTORICAL",1.98292167317727
"Diglossa humeralis",2,"HISTORICAL",2.13901244860656
"Diglossa sittoides",1,"HISTORICAL",2.28970430236399
"Elaenia chiriquensis",2,"HISTORICAL",2.02660949774147
"Elaenia frantzii",1,"HISTORICAL",2.00625297739201
"Elanoides forficatus",1,"HISTORICAL",6.98178049665801
"Ensifera ensifera",2,"HISTORICAL",5.62158097013545
"Eriocnemis derbyi",19,"HISTORICAL",3.7154394082675
"Falco sparverius",2,"HISTORICAL",3.29879771847588
"Grallaria milleri",10,"HISTORICAL",2.6285449011998
"Grallaria nuchalis",10,"HISTORICAL",3.42883167672775
"Grallaria ruficapilla",2,"HISTORICAL",3.12660276772374
"Grallaria rufocinerea",4,"HISTORICAL",2.6372642673299
"Grallaria rufula",4,"HISTORICAL",2.5945805764835
"Grallaria squamigera",2,"HISTORICAL",3.47401078470112
"Grallaricula nana",1,"HISTORICAL",2.25879954531543
"Hapalopsittaca fuertesi",6,"HISTORICAL",3.10214861016699
"Haplophaedia aureliae",3,"HISTORICAL",3.73250038035808
"Heliangelus exortis",33,"HISTORICAL",3.82909608523192
"Hellmayrea gularis",2,"HISTORICAL",2.20682946252218
"Hemitriccus granadensis",3,"HISTORICAL",2.52497510636429
"Henicorhina leucophrys",6,"HISTORICAL",2.40337000186521
"Kleinothraupis atropileus",3,"HISTORICAL",1.9920946298727
"Lafresnaya lafresnayi",3,"HISTORICAL",3.71756788344849
"Lepidocolaptes lacrymiger",6,"HISTORICAL",2.18140832093843
"Lipaugus fuscocinereus",1,"HISTORICAL",3.37388923660856
"Margarornis squamiger",5,"HISTORICAL",2.00558309225022
"Mecocerculus leucophrys",3,"HISTORICAL",2.06203951662054
"Mecocerculus stictopterus",5,"HISTORICAL",2.23558728216612
"Melanerpes formicivorus",2,"HISTORICAL",2.46355542082981
"Metallura tyrianthina",11,"HISTORICAL",3.70994978093814
"Mionectes striaticollis",2,"HISTORICAL",2.03978920549333
"Momotus momota",2,"HISTORICAL",4.5533463907711
"Myiarchus cephalotes",3,"HISTORICAL",2.03875070670804
"Myioborus miniatus",1,"HISTORICAL",2.16793458092307
"Myioborus ornatus",17,"HISTORICAL",2.08744361459939
"Myiodynastes chrysocephalus",1,"HISTORICAL",2.56567680372124
"Myiophobus flavicans",2,"HISTORICAL",2.0465440154398
"Myiotheretes fumigatus",4,"HISTORICAL",2.08456595009644
"Myiothlypis coronata",3,"HISTORICAL",1.99929575931166
"Myiothlypis luteoviridis",2,"HISTORICAL",2.0611531209651
"Myornis senilis",3,"HISTORICAL",2.07793373298423
"Ochthoeca cinnamomeiventris",2,"HISTORICAL",2.05405544368321
"Ochthoeca diadema",4,"HISTORICAL",2.08157571438611
"Ochthoeca rufipectoralis",16,"HISTORICAL",2.10036078709608
"Ognorhynchus icterotis",23,"HISTORICAL",6.30829557165327
"Parkesia noveboracensis",2,"HISTORICAL",2.11300213789311
