"Species","Abundance","Period","Di"
"Acropternis orthonyx",2,"HISTORICAL",2.60868235932665
"Adelomyia melanogenys",2,"HISTORICAL",3.62572252416016
"Amazona mercenarius",2,"HISTORICAL",4.07947595024878
"Amblycercus holosericeus",1,"HISTORICAL",2.43872050953294
"Ampelion rubrocristatus",6,"HISTORICAL",2.15263229836721
"Andigena hypoglauca",2,"HISTORICAL",7.15037379076392
"Andigena nigrirostris",3,"HISTORICAL",7.42654432736919
"Anisognathus lacrymosus",14,"HISTORICAL",1.97619176446096
"Anisognathus somptuosus",1,"HISTORICAL",2.00080564671132
"Anthocephala berlepschi",1,"HISTORICAL",3.96283478677302
"Arremon assimilis",8,"HISTORICAL",2.19326012002735
"Asio stygius",1,"HISTORICAL",5.29725617191323
"Atlapetes albinucha",1,"HISTORICAL",2.18011532796796
"Atlapetes flaviceps",2,"HISTORICAL",2.09903748232209
"Atlapetes pallidinucha",2,"HISTORICAL",2.09710540005949
"Atlapetes schistaceus",11,"HISTORICAL",2.05859001398088
"Boissonneaua flavescens",4,"HISTORICAL",3.48587277874199
"Buteo platypterus",1,"HISTORICAL",4.95597886390638
"Buthraupis montana",2,"HISTORICAL",2.39000318377736
"Cacicus chrysonotus",9,"HISTORICAL",2.62200834327518
"Campephilus pollens",1,"HISTORICAL",3.65180288209235
"Catamenia homochroa",1,"HISTORICAL",2.08406989733624
"Catharus ustulatus",1,"HISTORICAL",2.18583884488109
"Chamaepetes goudotii",7,"HISTORICAL",5.8839439930021
"Chamaeza mollissima",2,"HISTORICAL",2.36662115318294
"Chlorornis riefferii",10,"HISTORICAL",2.13306810340396
"Chlorospingus flavopectus",9,"HISTORICAL",1.9667574218707
"Chlorostilbon melanorhynchus",3,"HISTORICAL",4.26618717109958
"Cinclus leucocephalus",2,"HISTORICAL",2.14082349265655
"Cinnycerthia olivascens",2,"HISTORICAL",2.11712705573131
"Cinnycerthia unirufa",2,"HISTORICAL",2.0595690671007
"Cnemoscopus rubrirostris",3,"HISTORICAL",1.94744163718212
"Coeligena coeligena",12,"HISTORICAL",3.72062822186454
"Coeligena lutetiae",5,"HISTORICAL",3.81063405164784
"Coeligena torquata",2,"HISTORICAL",3.79470850890293
"Colaptes rivolii",1,"HISTORICAL",2.57909190897709
"Colibri cyanotus",9,"HISTORICAL",3.63173536096005
"Conirostrum albifrons",1,"HISTORICAL",2.06430428471356
"Conirostrum sitticolor",8,"HISTORICAL",2.1194518885963
"Contopus fumigatus",1,"HISTORICAL",2.13733398707901
"Cyanolyca armillata",11,"HISTORICAL",3.52144184746748
"Cyclarhis nigrirostris",1,"HISTORICAL",2.00422210756276
"Dendrocincla tyrannina",3,"HISTORICAL",2.52705197276353
"Diglossa albilatera",5,"HISTORICAL",2.23304933048767
"Diglossa cyanea",10,"HISTORICAL",1.97764508246294
"Diglossa humeralis",2,"HISTORICAL",2.13417238096962
"Diglossa sittoides",1,"HISTORICAL",2.28373301633978
"Elaenia chiriquensis",2,"HISTORICAL",2.02145374787824
"Elaenia frantzii",1,"HISTORICAL",2.00046547426247
"Elanoides forficatus",1,"HISTORICAL",6.86439404438518
"Ensifera ensifera",2,"HISTORICAL",5.54166689022612
"Eriocnemis derbyi",19,"HISTORICAL",3.70705106181233
"Falco sparverius",2,"HISTORICAL",3.2670329181872
"Grallaria alvarezi",4,"HISTORICAL",2.65308981491519
"Grallaria milleri",10,"HISTORICAL",2.61115902899026
"Grallaria nuchalis",10,"HISTORICAL",3.40408027423884
"Grallaria ruficapilla",2,"HISTORICAL",3.10514601269421
"Grallaria rufocinerea",4,"HISTORICAL",2.62317183215811
"Grallaria squamigera",2,"HISTORICAL",3.4382972483718
"Grallaricula nana",1,"HISTORICAL",2.25141638187618
"Hapalopsittaca fuertesi",6,"HISTORICAL",3.07240132054048
"Haplophaedia aureliae",3,"HISTORICAL",3.72635071648687
"Heliangelus exortis",33,"HISTORICAL",3.82299717884048
"Hellmayrea gularis",2,"HISTORICAL",2.20597848158604
"Hemitriccus granadensis",3,"HISTORICAL",2.52542257652606
"Henicorhina leucophrys",6,"HISTORICAL",2.39790360347752
"Kleinothraupis atropileus",3,"HISTORICAL",1.98737815178044
"Lafresnaya lafresnayi",3,"HISTORICAL",3.70915137671826
"Lepidocolaptes lacrymiger",6,"HISTORICAL",2.16279584060412
"Lipaugus fuscocinereus",1,"HISTORICAL",3.32340683617776
"Margarornis squamiger",5,"HISTORICAL",1.99908820651041
"Mecocerculus leucophrys",3,"HISTORICAL",2.05930292440209
"Mecocerculus stictopterus",5,"HISTORICAL",2.23393424180807
"Melanerpes formicivorus",2,"HISTORICAL",2.44105833432276
"Metallura tyrianthina",11,"HISTORICAL",3.70253132808033
"Mionectes striaticollis",2,"HISTORICAL",2.03656386618155
"Momotus aequatorialis",2,"HISTORICAL",5.05441159157964
"Myiarchus cephalotes",3,"HISTORICAL",2.02636223325021
"Myioborus miniatus",1,"HISTORICAL",2.16507183899385
"Myioborus ornatus",17,"HISTORICAL",2.08439896593122
"Myiodynastes chrysocephalus",1,"HISTORICAL",2.53647402811109
"Myiophobus flavicans",2,"HISTORICAL",2.04345763379276
"Myiotheretes fumigatus",4,"HISTORICAL",2.06835967350776
"Myiothlypis coronata",3,"HISTORICAL",1.99663751218498
"Myiothlypis luteoviridis",2,"HISTORICAL",2.05964110705133
"Myornis senilis",3,"HISTORICAL",2.07566043696654
"Ochthoeca cinnamomeiventris",2,"HISTORICAL",2.05030193565275
"Ochthoeca diadema",4,"HISTORICAL",2.07869067587227
"Ochthoeca rufipectoralis",16,"HISTORICAL",2.09701826657672
"Ognorhynchus icterotis",23,"HISTORICAL",6.20418138898961
"Parkesia noveboracensis",2,"HISTORICAL",2.10587375541899
"Patagioenas fasciata",3,"HISTORICAL",3.57649590361953
"Phylloscartes ophthalmicus",1,"HISTORICAL",2.24344125450496
"Picumnus olivaceus",2,"HISTORICAL",2.4860537929028
"Pionus chalcopterus",2,"HISTORICAL",3.73464554064092
"Pionus tumultuosus",1,"HISTORICAL",3.64709755934464
"Pipreola arcuata",1,"HISTORICAL",2.4181454783409
"Piranga rubriceps",2,"HISTORICAL",2.09157044944316
"Poecilotriccus ruficeps",1,"HISTORICAL",2.48190904734239
"Psarocolius angustifrons",1,"HISTORICAL",4.42859568456769
"Pseudocolaptes boissonneautii",4,"HISTORICAL",2.14755818686088
"Pseudospingus verticalis",1,"HISTORICAL",2.05619369653322
"Pygochelidon cyanoleuca",2,"HISTORICAL",2.92279757233786
"Pyrrhomyias cinnamomeus",2,"HISTORICAL",2.18695468658295
"Ramphomicron microrhynchum",3,"HISTORICAL",3.87704391759447
"Saltator striatipectus",1,"HISTORICAL",2.22488295581898
"Sayornis nigricans",4,"HISTORICAL",1.99214961876334
"Scytalopus atratus",1,"HISTORICAL",2.28635743063389
"Scytalopus latrans",1,"HISTORICAL",2.24722112056575
"Scytalopus micropterus",1,"HISTORICAL",2.27766847311266
"Serpophaga cinerea",4,"HISTORICAL",2.32153953862938
"Setophaga fusca",1,"HISTORICAL",2.35966374281947
"Sphenopsis frontalis",2,"HISTORICAL",1.97371365121173
"Spinus psaltria",1,"HISTORICAL",2.38633231847005
"Stelgidopteryx ruficollis",2,"HISTORICAL",2.95281555016295
"Streptoprocne zonaris",1,"HISTORICAL",3.97439490603466
"Synallaxis azarae",4,"HISTORICAL",2.17153204863343
"Systellura longirostris",10,"HISTORICAL",2.98961555210593
"Tangara vassorii",4,"HISTORICAL",2.04082845154145
"Thlypopsis superciliaris",3,"HISTORICAL",2.00281373435718
"Thripadectes flammulatus",2,"HISTORICAL",2.30402470032727
"Tiaris olivaceus",1,"HISTORICAL",2.34489692102686
"Troglodytes aedon",3,"HISTORICAL",2.28287799346498
"Troglodytes solstitialis",18,"HISTORICAL",2.29593243452915
"Trogon personatus",10,"HISTORICAL",3.03498544070982
"Turdus fuscater",16,"HISTORICAL",3.1377904256107
"Turdus ignobilis",2,"HISTORICAL",2.22862395678503
"Xenops rutilans",2,"HISTORICAL",2.22542209388538
"Xiphocolaptes promeropirhynchus",2,"HISTORICAL",3.14469051584536
"Xiphorhynchus triangularis",1,"HISTORICAL",2.24894136967616
"Zentrygon frenata",1,"HISTORICAL",3.16997410680003
"Zonotrichia capensis",9,"HISTORICAL",1.99652259021004
"Accipiter striatus",1,"MODERN",3.50782831942187
"Acropternis orthonyx",6,"MODERN",2.80474668512862
"Adelomyia melanogenys",12,"MODERN",3.64424126089531
"Aeronautes montivagus",6,"MODERN",3.90435257984614
"Aglaiocercus kingii",9,"MODERN",3.70879974632614
"Amazona mercenarius",2,"MODERN",4.21884398560124
"Amblycercus holosericeus",1,"MODERN",2.63466495551137
"Ampelion rubrocristatus",11,"MODERN",2.30500394770193
"Anabacerthia striaticollis",4,"MODERN",2.09903281682972
"Andigena hypoglauca",5,"MODERN",7.22401016076284
