"Species","Ui"
"Accipiter superciliosus",0.94383349969842
"Actitis macularius",0.676705506398272
"Amaurolimnas concolor",0.520556780105616
"Amazilia tzacatl",0.353816777251769
"Amazona farinosa",2.27014285625995
"Amblycercus holosericeus",0.456252935856754
"Androdon aequatorialis",0.440502858880683
"Arremon aurantiirostris",0.300467019950792
"Arremonops conirostris",0.300467019950792
"Atlapetes leucopis",0.458024365998072
"Attila spadiceus",0.312061885819265
"Aulacorhynchus haematopygus",0.674702518393661
"Automolus subulatus",0.337924827460867
"Bangsia edwardsi",0.272300133296934
"Baryphthengus martii",1.47379639881306
"Boissonneaua flavescens",0.395190166542931
"Butorides striata",1.59481454347844
"Cacicus uropygialis",0.707652676592618
"Campephilus gayaquilensis",0.530973930570647
"Campephilus haematogaster",0.541432239088388
"Camptostoma obsoletum",0.151998776910008
"Campylorhamphus pusillus",0.350550319277928
"Campylorhamphus trochilirostris",0.350550319277928
"Cantorchilus leucopogon",0.320652659094087
"Cantorchilus nigricapillus",0.239265685096061
"Capito quinticolor",0.33833770063179
"Capito squamatus",0.33833770063179
"Carpodectes hopkei",0.574727925727144
"Cathartes aura",2.53451331095777
"Catharus ustulatus",0.791656879843381
"Celeus loricatus",0.353883472473596
"Ceratopipra mentalis",0.35738560368401
"Cercomacroides tyrannina",0.334640220781872
"Chalybura urochrysia",0.218410591496188
"Chloroceryle americana",0.966599439521245
"Chloroceryle inda",0.966599439521245
"Chlorophanes spiza",0.241212092298107
"Chlorospingus flavigularis",0.298282552323242
"Chlorothraupis olivacea",0.103456875264102
"Chlorothraupis stolzmanni",0.103456875264102
"Chordeiles minor",1.03714460345853
"Chrysothlypis salmoni",0.210616912695946
"Coereba flaveola",0.309542301994209
"Colibri delphinae",0.385757165020392
"Colonia colonus",1.67897046915307
"Contopus cooperi",0.592575206928015
"Contopus fumigatus",0.507436981601229
"Contopus sordidulus",0.216791929436486
"Contopus virens",0.216791929436486
"Coragyps atratus",2.53451331095777
"Cotinga nattererii",0.395957338400987
"Crotophaga ani",1.58151459279889
"Cryptoleucopteryx plumbea",0.733037605299467
"Cryptopipo holochlora",0.256023003662191
"Crypturellus berlepschi",1.40716102003104
"Crypturellus soui",0.520556780105616
"Cyanerpes caeruleus",0.174446972512949
"Cyanerpes cyaneus",0.174446972512949
"Cyanoloxia cyanoides",0.369219931231905
"Cymbilaimus lineatus",0.476519746098594
"Cyphorhinus phaeocephalus",0.297680784371531
"Cypseloides cryptus",0.721269546241074
"Dacnis cayana",0.22870469358105
"Dacnis venusta",0.22870469358105
"Dendrocincla fuliginosa",0.484120993010269
"Dendrocolaptes sanctithomae",0.756794805389
"Discosura conversii",0.47443500900946
"Discosura popelairii",0.241141239212481
"Dryobates kirkii",0.285435447121678
"Dryocopus lineatus",0.530973930570647
"Dysithamnus puncticeps",0.204834929868184
"Elaenia brachyptera",0.235343559142702
"Elaenia flavogaster",0.193726565574947
"Empidonax virescens",0.348529422534541
"Epinecrophylla fulviventris",0.179037729519533
"Euphonia fulvicrissa",0.27289131953928
"Euphonia minuta",0.27289131953928
"Euphonia xanthogaster",0.327116994472866
"Eutoxeres aquila",0.498062918346565
"Florisuga mellivora",0.218410591496188
"Galbula ruficauda",0.844334960144271
"Geothlypis semiflava",0.320652659094087
"Geotrygon purpurata",0.231405718890588
"Glaucis aeneus",0.264621902489421
"Glaucis hirsutus",0.271554578352201
"Glyphorynchus spirurus",0.300359417459427
"Gymnopithys bicolor",0.215792939100431
"Gymnopithys leucaspis",0.161339847532435
"Hafferia immaculata",0.512925999158181
"Heliornis fulica",0.994738190000193
"Heliothryx barroti",0.453758294829916
"Henicorhina leucosticta",0.254650574806978
"Herpetotheres cachinnans",1.7615381560509
"Heterospingus xanthopygius",0.359427799510856
"Hylopezus perspicillatus",0.549152842684445
"Hylophylax naevioides",0.204834929868184
"Ictinia plumbea",2.00426053327335
"Ixothraupis rufigula",0.249171678288656
"Laterallus albigularis",0.6118239292834
"Legatus leucophaius",0.430569175497093
"Lepidocolaptes albolineatus",0.552877828720405
"Lepidothrix coronata",0.279535042412354
"Leptotila pallida",0.267280200263799
"Leptotila rufaxilla",0.267280200263799
"Leptotrygon veraguensis",0.231405718890588
"Lipaugus unirufus",0.574727925727144
"Lophotriccus pileatus",0.156580766300279
"Loriotus luctuosus",0.229082538759466
"Machaeropterus deliciosus",0.309751067748904
"Malacoptila panamensis",0.415581817021215
"Manacus manacus",0.393965598793698
"Masius chrysopterus",0.246844934719903
"Megaceryle torquata",2.23417172171266
"Megascops centralis",0.689927895624613
"Melanerpes pucherani",0.353883472473596
"Microbates cinereiventris",0.254650574806978
"Microcerculus marginatus",0.292303896129086
"Micromonacha lanceolata",0.656946303375288
"Microrhopias quixensis",0.331641599243194
"Mionectes oleagineus",0.160805553696037
"Mionectes olivaceus",0.210616912695946
"Mitrospingus cassinii",0.416042697235109
"Mniotilta varia",0.287460565061754
"Molothrus bonariensis",0.395957338400987
"Mustelirallus colombianus",0.6118239292834
"Myiobius barbatus",0.160805553696037
"Myiopagis caniceps",0.205800216896898
"Myiophobus fasciatus",0.198815979062958
"Myiornis atricapillus",0.400254092600105
"Myiothlypis bivittata",0.249566374696636
"Myiothlypis fulvicauda",0.249566374696636
"Myiotriccus ornatus",0.198815979062958
"Myiozetetes cayanensis",0.193726565574947
"Myiozetetes granadensis",0.285435447121678
"Myrmothera dives",0.549152842684445
"Myrmotherula axillaris",0.156580766300279
"Myrmotherula pacifica",0.179037729519533
"Myrmotherula surinamensis",0.203241859014465
"Nannopterum brasilianum",2.17475835351106
"Notharchus pectoralis",0.601913160612228
"Notharchus tectus",0.706797860195265
"Nyctidromus albicollis",0.980249986055514
"Nyctiphrynus rosenbergi",0.79883450877385
"Nystalus radiatus",0.415581817021215
"Ornithion brunneicapillus",0.365847845289748
"Pachyramphus cinnamomeus",0.328934109210741
"Pachyramphus homochrous",0.262136449968013
"Pachyramphus marginatus",0.328934109210741
"Pachysylvia decurtata",0.164932336473713
"Panyptila cayennensis",0.721269546241074
"Patagioenas cayennensis",0.321323825383421
"Patagioenas goodsoni",0.755413575563852
"Patagioenas speciosa",0.321323825383421
"Phaenostictus mcleannani",0.467040509168806
"Phaethornis longuemareus",0.287520915203037
"Phaethornis striigularis",0.287520915203037
"Phaethornis yaruqui",0.524463196922566
"Philodice mitchellii",0.241141239212481
"Piaya cayana",1.47379639881306
"Piculus litae",0.697592675906329
"Picumnus olivaceus",0.279535042412354
"Pionus chalcopterus",0.458156212797446
"Pionus menstruus",0.458156212797446
"Pipreola jucunda",0.371404739941835
