"Species","Ui"
"Accipiter superciliosus",0.928864743048182
"Actitis macularius",1.37914553841016
"Amaurolimnas concolor",0.515687015126434
"Amazilia tzacatl",0.34933827410552
"Amazona farinosa",2.23103768153776
"Amblycercus holosericeus",0.558711287301534
"Androdon aequatorialis",0.432415719271918
"Arremon aurantiirostris",0.298800491040266
"Arremonops conirostris",0.298800491040266
"Attila spadiceus",0.306700618791612
"Automolus subulatus",0.331956749161433
"Baryphthengus martii",1.44602389747573
"Butorides striata",1.56039402420886
"Cacicus uropygialis",0.69639043570024
"Campephilus gayaquilensis",0.522951321298727
"Campephilus haematogaster",0.539605269645962
"Camptostoma obsoletum",0.149888016684124
"Campylorhamphus pusillus",0.837348610828839
"Cantorchilus leucopogon",0.316395188847394
"Cantorchilus nigricapillus",0.341685009504998
"Capito quinticolor",0.330603554141194
"Capito squamatus",0.330603554141194
"Carpodectes hopkei",0.565238246872681
"Cathartes aura",2.49992990471108
"Catharus ustulatus",0.780466266711168
"Celeus loricatus",0.347905713503914
"Ceratopipra mentalis",0.377165309712697
"Cercomacroides tyrannina",0.331977688065337
"Chalybura urochrysia",0.215346167818405
"Chloroceryle americana",0.950583892827221
"Chloroceryle inda",0.950583892827221
"Chlorophanes spiza",0.237060897478245
"Chlorothraupis olivacea",0.259375431062126
"Chrysothlypis salmoni",0.207877630362439
"Coereba flaveola",0.305346056616193
"Colonia colonus",1.68282431442106
"Contopus cooperi",0.584846713169154
"Contopus sordidulus",0.215601442830522
"Contopus virens",0.215601442830522
"Coragyps atratus",2.49992990471108
"Cotinga nattererii",0.39290294933771
"Crotophaga ani",1.54583211164322
"Cryptoleucopteryx plumbea",0.72440216537626
"Cryptopipo holochlora",0.255506872466687
"Crypturellus berlepschi",1.39424642924178
"Crypturellus soui",0.515687015126434
"Cyanerpes caeruleus",0.17256425322677
"Cyanerpes cyaneus",0.17256425322677
"Cyanoloxia cyanoides",0.365582023944632
"Cymbilaimus lineatus",0.472680517202287
