"Species","Ui"
"Adelomyia melanogenys",0.251711865968063
"Aglaiocercus kingii",0.177833620350709
"Amblycercus holosericeus",0.71805311273946
"Ampelion rubrocristatus",0.559734735777127
"Anabacerthia striaticollis",0.298824687557115
"Anisognathus igniventris",0.224037364573517
"Anisognathus somptuosus",0.377105778520527
"Arremon assimilis",0.138596929755687
"Arremon brunneinucha",0.138596929755687
"Arremon torquatus",0.221756746026789
"Asthenes fuliginosa",0.118840125813525
"Atlapetes albinucha",0.225213153761024
"Atlapetes albofrenatus",0.205527103112209
"Atlapetes pallidinucha",0.246469982138213
"Atlapetes schistaceus",0.205527103112209
"Aulacorhynchus albivitta",2.62103685953417
"Basileuterus tristriatus",0.247896933605231
"Boissonneaua flavescens",0.395440774122206
"Bubulcus ibis",1.75152901321057
"Buteo platypterus",1.26704136683078
"Buthraupis montana",0.429419564270371
"Cacicus uropygialis",0.676692803261693
"Campephilus pollens",1.15741309470574
"Campylorhamphus pusillus",1.3830692755191
"Cardellina canadensis",0.335144119242227
"Catamblyrhynchus diadema",0.296273255711119
"Catharus fuscater",0.572501337432713
"Catharus ustulatus",0.83185797941108
"Chaetocercus heliodor",0.657994721694336
"Chaetocercus mulsant",0.49327422544815
"Chalcothraupis ruficervix",0.171320884415238
"Chlorophanes spiza",0.228865840904884
"Chlorophonia cyanocephala",0.137076697459163
"Chlorornis riefferii",0.238683735843768
"Chlorospingus canigularis",0.265667783678814
"Chlorospingus flavopectus",0.188952397388467
"Chrysomus icterocephalus",0.381436937533133
"Cinclus leucocephalus",0.68144822702785
"Cinnycerthia olivascens",0.30171869611677
"Cinnycerthia unirufa",0.30171869611677
"Cnemathraupis eximia",0.238683735843768
"Cnemoscopus rubrirostris",0.222331598188974
"Coccyzus melacoryphus",0.957191253527093
"Coeligena bonapartei",0.200502506491369
"Coeligena coeligena",0.200502506491369
"Coeligena torquata",0.215628290774518
"Colaptes rivolii",0.676692803261693
"Colibri cyanotus",0.201546439535175
"Colinus cristatus",0.923646350813206
"Conirostrum albifrons",0.230902777577634
"Conirostrum rufum",0.274149890316532
"Conirostrum sitticolor",0.230902777577634
"Conopias cinchoneti",0.368648979173684
"Contopus fumigatus",0.544145758541335
"Cranioleuca curtata",0.238873685742438
"Crotophaga ani",0.937862255656005
"Cyanocorax yncas",1.16038614057297
"Cyclarhis nigrirostris",0.321143951013729
"Dacnis venusta",0.298484561095446
"Dendrocolaptes picumnus",0.665509367679222
"Diglossa albilatera",0.264349074868667
"Diglossa caerulescens",0.2882947418958
"Diglossa cyanea",0.306373780865639
"Diglossa humeralis",0.2882947418958
"Doryfera ludovicae",0.341929511627978
"Dryobates dignus",0.340623588474133
"Dryobates fumigatus",0.340623588474133
"Dubusia taeniata",0.280508139973416
"Elaenia chiriquensis",0.221707884158237
"Elaenia flavogaster",0.193726565574947
"Elaenia frantzii",0.221707884158237
"Elaenia obscura",0.298824687557115
"Ensifera ensifera",3.39124147798798
"Eriocnemis vestita",0.187768495337786
"Eubucco bourcierii",0.321143951013729
"Euchrepomis callinota",0.299700164253424
"Eutoxeres aquila",0.461401283186597
"Falco sparverius",1.69299217787165
"Grallaria hypoleuca",0.526127170874644
"Grallaria nuchalis",0.485072571417067
"Grallaria ruficapilla",0.485072571417067
"Grallaria rufula",0.775639438092909
"Grallaricula nana",0.532247910047409
"Hafferia immaculata",0.410766166219785
"Hapalopsittaca amazonina",0.937233155540507
"Haplophaedia aureliae",0.119159505903098
"Heliangelus exortis",0.185439088017485
"Heliodoxa rubinoides",0.339527367422441
"Hellmayrea gularis",0.297675418432648
"Hemitriccus granadensis",0.216213343372751
"Henicorhina leucophrys",0.405800977974157
"Icterus chrysater",0.46065223204445
"Iridosornis rufivertex",0.297607052669703
"Kleinothraupis atropileus",0.345667571500766
"Lafresnaya lafresnayi",0.339527367422441
"Legatus leucophaius",0.398016298532688
"Leiothlypis peregrina",0.266256001594241
"Lepidocolaptes lacrymiger",0.452214274537795
"Leptopogon rufipectus",0.207414757272612
"Lipaugus fuscocinereus",0.937862255656005
"Lophotriccus pileatus",0.213515694757721
"Lurocalis rufiventris",0.508009117874812
"Lurocalis semitorquatus",0.508009117874812
"Margarornis squamiger",0.252838860630619
"Masius chrysopterus",0.152506468727254
"Mecocerculus leucophrys",0.251686103603152
"Mecocerculus poecilocercus",0.266941790762654
"Melanerpes formicivorus",0.75963748146516
"Metallura tyrianthina",0.251711865968063
"Mionectes olivaceus",0.102386536441802
"Mionectes striaticollis",0.102386536441802
"Mniotilta varia",0.237240320846139
"Myadestes ralloides",0.439003842376273
"Myiarchus cephalotes",0.36072199576581
"Myioborus miniatus",0.259312536608744
"Myioborus ornatus",0.267835635966493
"Myiodynastes chrysocephalus",0.418940806157287
"Myiophobus flavicans",0.145734352556253
"Myiotheretes fumigatus",0.542667406337136
"Myiothlypis coronata",0.144865064971774
"Myiothlypis luteoviridis",0.204139441646285
"Myiothlypis nigrocristata",0.334909130003739
"Myiotriccus ornatus",0.344724950168679
"Myiozetetes cayanensis",0.193726565574947
"Myornis senilis",0.251616235742015
"Myrmotherula schisticolor",0.25219164447371
"Nephelomyias pulcher",0.198322465807974
"Ochthoeca cinnamomeiventris",0.174378220334496
"Ochthoeca diadema",0.158330974518995
"Ochthoeca fumicolor",0.222331598188974
"Ocreatus underwoodii",0.515952673253451
"Orochelidon murina",0.464352379026607
"Ortalis columbiana",2.45429803937704
"Pachyramphus polychopterus",0.247338090230779
"Pachyramphus versicolor",0.185624123347408
"Phaeomyias murina",0.22864066477917
"Phylloscartes ophthalmicus",0.245050577832497
"Phylloscartes poecilotis",0.153407806702965
"Piaya cayana",2.1568139994885
"Pionus chalcopterus",0.493952564293087
"Pionus tumultuosus",0.493952564293087
"Pipraeidea melanonota",0.262808393514823
"Pipreola riefferii",0.355495526290487
"Piranga leucoptera",0.247338090230779
"Piranga rubra",0.499985828612049
"Poecilotriccus ruficeps",0.216213343372751
"Premnoplex brunnescens",0.231430250855055
"Premnornis guttuliger",0.231430250855055
"Psarocolius angustifrons",1.63225109676985
"Pseudocolaptes boissonneautii",0.497144612277788
"Pseudotriccus ruficeps",0.35010201151633
"Pygochelidon cyanoleuca",0.464352379026607
"Pyrrhomyias cinnamomeus",0.399254416806585
"Pyrrhura calliptera",0.937233155540507
"Ramphastos ambiguus",6.85320318800115
"Ramphomicron microrhynchum",0.412237931708866
"Rhynchocyclus fulvipectus",0.537786845286499
"Rupornis magnirostris",1.26704136683078
"Saltator atripennis",0.495297998350095
"Saltator striatipectus",0.495297998350095
"Saucerottia cyanifrons",0.119159505903098
"Schistes geoffroyi",0.27984847267275
"Scytalopus griseicollis",0.223527136931235
"Scytalopus latrans",0.223527136931235
"Scytalopus speluncae",0.323644812391874
"Scytalopus spillmanni",0.441653472402179
"Serpophaga cinerea",0.153407806702965
"Setophaga fusca",0.464807893013821
"Sicalis luteola",0.192653270740227
"Siptornis striaticollis",0.222258923484497
"Sphenopsis frontalis",0.123087608662781
"Sphenopsis melanotis",0.123087608662781
"Spinus psaltria",0.24795090779483
"Spinus spinescens",0.24795090779483
"Spinus xanthogastrus",0.137076697459163
"Sporathraupis cyanocephala",0.193222086231755
"Stilpnia cyanicollis",0.123401315357824
"Stilpnia heinei",0.1929491094739
"Stilpnia vitriolina",0.298098317119368
"Streptoprocne rutila",1.4735046102774
"Sturnella magna",0.951699842327641
"Synallaxis albescens",0.339086295943869
"Synallaxis brachyura",0.258483272305579
"Synallaxis subpudica",0.118840125813525
"Synallaxis unirufa",0.258483272305579
"Syndactyla subalaris",0.362096945128162
"Tachyphonus rufus",0.193222086231755
"Tangara arthus",0.158864171073541
"Tangara gyrola",0.158864171073541
"Tangara labradorides",0.123401315357824
"Tangara nigroviridis",0.171320884415238
"Tangara parzudakii",0.335112181639388
"Tangara vassorii",0.172200924189571
"Thamnophilus multistriatus",0.339564593017244
"Thamnophilus unicolor",0.339564593017244
"Thlypopsis superciliaris",0.179997825236883
"Thraupis episcopus",0.240451384545427
"Thraupis palmarum",0.240451384545427
"Thripadectes holostictus",0.280508139973416
"Tiaris olivaceus",0.359875013560814
"Todirostrum cinereum",0.438175575162455
"Troglodytes aedon",0.121302245320269
"Troglodytes solstitialis",0.121302245320269
"Trogon personatus",1.19575590545785
"Turdus fuscater",1.16038614057297
"Turdus ignobilis",0.39442396075501
"Tyrannus melancholicus",0.418940806157287
"Uranomitra franciae",0.268834075868793
"Uromyias agilis",0.339086295943869
"Vanellus chilensis",1.75152901321057
"Vireo leucophrys",0.192374591452676
"Xenops rutilans",0.222258923484497
"Xiphocolaptes promeropirhynchus",0.665509367679222
"Xiphorhynchus triangularis",0.452214274537795
"Zenaida auriculata",0.910718305250223
"Zimmerius chrysops",0.152506468727254
"Zonotrichia capensis",0.237577373317849
