"Species","Ui"
"Adelomyia melanogenys",0.249345027479417
"Aglaiocercus kingii",0.173945497001897
"Amazilia tzacatl",0.210656255461913
"Amblycercus holosericeus",0.715203148361989
"Ampelion rubrocristatus",0.554146240851273
"Anabacerthia striaticollis",0.341134819082879
"Anisognathus igniventris",0.219748082178004
"Anisognathus somptuosus",0.374041763928379
"Ara severus",3.22359822424787
"Arremon assimilis",0.137298238151278
"Arremon brunneinucha",0.137298238151278
"Asthenes fuliginosa",0.117657160297948
"Atlapetes albinucha",0.222768124669376
"Atlapetes albofrenatus",0.20187247160834
"Atlapetes pallidinucha",0.244495478368168
"Atlapetes schistaceus",0.20187247160834
"Aulacorhynchus albivitta",2.57348920242442
"Basileuterus rufifrons",0.209067705276361
"Basileuterus tristriatus",0.243722551514252
"Boissonneaua flavescens",0.390737028346586
"Bubulcus ibis",1.71567396682012
"Buteo platypterus",1.25614306936769
"Buthraupis montana",0.427160502610385
"Cacicus uropygialis",0.666765375235814
"Campephilus pollens",1.14185810018499
"Campylorhamphus pusillus",1.35809515724944
"Cardellina canadensis",0.329296020746649
"Catamblyrhynchus diadema",0.294286575363983
"Catharus fuscater",0.563423613625078
"Catharus ustulatus",0.828355516364145
"Chaetocercus heliodor",0.654331534227775
"Chaetocercus mulsant",0.484302422677605
"Chalcothraupis ruficervix",0.168803770834908
"Chlorophanes spiza",0.225445785061373
"Chlorophonia cyanocephala",0.13516499455281
"Chlorornis riefferii",0.235751666181172
"Chlorospingus canigularis",0.261956493098333
"Chlorospingus flavopectus",0.187147284256475
"Chrysomus icterocephalus",0.374277220620926
"Cinclus leucocephalus",0.67046678158532
"Cinnycerthia olivascens",0.300062302068996
"Cinnycerthia unirufa",0.300062302068996
"Cnemathraupis eximia",0.235751666181172
"Cnemoscopus rubrirostris",0.220429527111394
"Coccyzus melacoryphus",0.939162271777125
"Coeligena bonapartei",0.197101612355974
"Coeligena coeligena",0.197101612355974
"Coeligena torquata",0.211272314548558
"Colaptes rivolii",0.669212664731466
"Colibri cyanotus",0.199422470689125
"Colinus cristatus",0.908094901919177
"Conirostrum albifrons",0.229214642279128
"Conirostrum leucogenys",0.458248834924019
"Conirostrum rufum",0.26823387774127
"Conirostrum sitticolor",0.229214642279128
"Conopias cinchoneti",0.365440056352809
"Contopus fumigatus",0.537180248228427
"Cranioleuca curtata",0.238467727359684
"Crotophaga ani",0.92720879377788
"Cyanocorax yncas",1.14541998106048
"Cyclarhis nigrirostris",0.315434158269651
"Dendrocolaptes picumnus",0.653995404656165
"Diglossa albilatera",0.261953840075702
"Diglossa caerulescens",0.283429543976679
"Diglossa cyanea",0.301621835823204
"Diglossa humeralis",0.283429543976679
"Doryfera ludovicae",0.336082978803302
"Dryobates dignus",0.339822472096009
"Dryobates fumigatus",0.339822472096009
"Dubusia taeniata",0.275691024087957
"Elaenia chiriquensis",0.220782654891091
"Elaenia flavogaster",0.191131911890665
"Elaenia frantzii",0.220782654891091
"Ensifera ensifera",3.32128424188241
"Eriocnemis vestita",0.186666690091347
"Eubucco bourcierii",0.315434158269651
"Euchrepomis callinota",0.297656902371989
"Eutoxeres aquila",0.455777544454956
"Falco sparverius",1.67378838419067
"Formicivora grisea",0.392341317389634
"Grallaria hypoleuca",0.518554312879293
"Grallaria nuchalis",0.480867419012392
"Grallaria ruficapilla",0.480867419012392
"Grallaria rufula",0.768725618678637
"Grallaricula nana",0.524735065327128
"Hapalopsittaca amazonina",0.915815992624432
"Haplophaedia aureliae",0.116572558467761
"Heliangelus exortis",0.182383722150548
"Heliodoxa rubinoides",0.337523564679641
"Hellmayrea gularis",0.291127569216222
"Hemitriccus granadensis",0.21266560420403
"Henicorhina leucophrys",0.40138043141323
"Icterus chrysater",0.451737846340553
"Iridosornis rufivertex",0.294868711663174
"Kleinothraupis atropileus",0.340943803129455
"Lafresnaya lafresnayi",0.337523564679641
"Legatus leucophaius",0.395372117443443
"Leiothlypis peregrina",0.262577777946569
"Lepidocolaptes lacrymiger",0.44816131008638
"Leptopogon rufipectus",0.204084554621415
"Lipaugus fuscocinereus",0.92720879377788
"Lophotriccus pileatus",0.211919247239881
"Lurocalis rufiventris",0.505355591981733
"Lurocalis semitorquatus",0.505355591981733
"Margarornis squamiger",0.250549363325533
"Masius chrysopterus",0.15032485247449
"Mecocerculus leucophrys",0.248304877151443
"Mecocerculus poecilocercus",0.261977932410873
"Melanerpes formicivorus",0.752500401855873
"Metallura tyrianthina",0.249345027479417
"Mionectes oleagineus",0.239554999594666
