"Species","Ui"
"Actitis macularius",0.667670897969619
"Adelomyia melanogenys",0.287976565205469
"Amazilia tzacatl",0.210656255461913
"Amazona amazonica",0.51800200407022
"Amazona farinosa",0.723328872964909
"Amazona ochrocephala",0.51800200407022
"Anthracothorax nigricollis",0.158676596796832
"Aramides cajaneus",1.81198443147781
"Ardea alba",3.70575162704989
"Ardea cocoi",3.70575162704989
"Arremon aurantiirostris",0.298800491040266
"Arremonops conirostris",0.298800491040266
"Atalotriccus pilaris",0.286868113453117
"Automolus ochrolaemus",0.403032292609232
"Baryphthengus martii",0.702648351090014
"Basileuterus rufifrons",0.349367646458148
"Brotogeris jugularis",1.09729790495242
"Buteo nitidus",0.747187826842896
"Buteo platypterus",0.717247752407867
"Butorides striata",2.11121350329447
"Campephilus melanoleucos",0.520721611556985
"Camptostoma obsoletum",0.201095950823002
"Campylorhamphus trochilirostris",0.984589166394457
"Campylorhynchus zonatus",0.313826751637401
"Cantorchilus leucotis",0.195743487404491
"Cantorchilus nigricapillus",0.187835727217713
"Capsiempis flaveola",0.249277443807041
"Cardellina canadensis",0.222312696536572
"Catharus minimus",0.156108293737693
"Catharus ustulatus",0.156108293737693
"Cercomacra nigricans",0.140300816593088
"Cercomacroides tyrannina",0.140300816593088
"Certhiaxis cinnamomeus",0.333220445442244
"Chalybura buffonii",0.158676596796832
"Chiroxiphia lanceolata",0.327658094652175
"Chlorestes julie",1.14208918537809
"Chloroceryle americana",1.14926498578297
"Chlorophanes spiza",0.236689775516271
"Chlorophonia cyanocephala",0.343882682368391
"Chlorostilbon gibsoni",0.346993435851362
"Chrysolampis mosquitus",0.166070836764282
"Chrysuronia goudoti",0.150036065588951
"Ciccaba virgata",1.41560443113981
"Claravis pretiosa",0.67804626868574
"Clibanornis rubiginosus",0.313826751637401
"Cnemotriccus fuscatus",0.185128171346697
"Coccycua minuta",0.631952795731229
"Coereba flaveola",0.26451414373658
"Colaptes punctigula",0.539843916503638
"Colinus cristatus",0.951972284740863
"Colonia colonus",1.15372284263977
"Columbina passerina",0.460738581085777
"Columbina talpacoti",0.460738581085777
"Conirostrum leucogenys",0.311563845544969
"Contopus cinereus",0.36390051496072
"Contopus virens",0.346902982855819
"Coragyps atratus",2.98172391075437
"Corapipo leucorrhoa",0.26451414373658
"Coryphospingus pileatus",0.203782566131612
"Crotophaga ani",0.637169713991137
"Crotophaga major",1.06212870662169
"Crotophaga sulcirostris",0.637169713991137
"Crypturellus soui",0.943275885174682
"Cyanocorax affinis",1.59456667492991
"Cyanoloxia cyanoides",0.682906545748237
"Cyclarhis gujanensis",0.267681073875243
"Dacnis lineata",0.289298963966099
"Dendrocincla fuliginosa",0.31479752319192
"Dendrocygna autumnalis",2.16716385005584
"Dendroplex picus",0.444032784279347
"Donacobius atricapilla",0.518410998585184
"Dryobates kirkii",0.352153762668349
"Dryocopus lineatus",0.520721611556985
"Dysithamnus mentalis",0.238103168544889
"Elaenia flavogaster",0.191131911890665
"Empidonax traillii",0.22668216759086
"Empidonax virescens",0.287661441514402
"Eucometis penicillata",0.274927484072055
"Euphonia concinna",0.26386073416821
"Euphonia laniirostris",0.307501393725373
"Euscarthmus meloryphus",0.286868113453117
"Falco sparverius",1.38359746904614
"Fluvicola pica",0.243862173481427
"Formicivora grisea",0.232275811783153
"Forpus conspicillatus",1.09547602649829
"Furnarius leucopus",0.468623169440545
"Galbula ruficauda",0.984589166394457
"Geothlypis philadelphia",0.22314737539873
"Geotrygon montana",0.596617664053796
"Glaucis hirsutus",0.270749556732764
"Habia cristata",0.264695124302304
"Habia gutturalis",0.236911503108393
"Hafferia immaculata",0.520855348800164
"Heliomaster longirostris",0.326784510472973
"Hemithraupis flavicollis",0.211659175052354
"Hemitriccus margaritaceiventer",0.232275811783153
"Henicorhina leucosticta",0.28930109805975
"Herpetotheres cachinnans",1.1937338742345
"Hylophilus flavipes",0.209412178286119
"Hypnelus ruficollis",0.38472642113114
"Icterus auricapillus",0.456463707077968
"Icterus chrysater",0.34700004443049
"Icterus galbula",0.524937912178044
"Icterus mesomelas",0.407201340922503
"Icterus nigrogularis",0.31479752319192
"Jacana jacana",1.37027011184746
"Laterallus albigularis",0.82470201897877
"Legatus leucophaius",0.462454589232979
"Leistes militaris",0.468623169440545
"Lepidocolaptes souleyetii",0.517843536771352
"Leptopogon amaurocephalus",0.190878158051204
"Leptotila verreauxi",0.596617664053796
"Loriotus luctuosus",0.203782566131612
"Machaeropterus striolatus",0.335583996380862
"Machetornis rixosa",0.473469147089827
"Manacus manacus",0.416294042811412
"Megaceryle torquata",2.48587674545825
"Megarynchus pitangua",0.827534078539603
"Megascops choliba",0.931586112632437
"Melanerpes rubricapillus",0.565398367673834
"Melanospiza bicolor",0.121842692516505
