"Species","Ui"
"Aburria aburri",1.59041893051615
"Accipiter striatus",1.19037030623431
"Adelomyia melanogenys",0.268346439982191
"Aglaiocercus kingii",0.173945497001897
"Amazilia tzacatl",0.210656255461913
"Amazona mercenarius",0.754810369340186
"Anabacerthia striaticollis",0.355256229532856
"Anisognathus somptuosus",0.355450512372752
"Anthocephala berlepschi",0.242451792468242
"Anthracothorax nigricollis",0.158676596796832
"Arremon brunneinucha",0.308359685249036
"Atlapetes albinucha",0.308359685249036
"Atlapetes fuscoolivaceus",0.446756303796278
"Aulacorhynchus albivitta",2.57348920242442
"Basileuterus tristriatus",0.23020920837997
"Boissonneaua flavescens",0.390578596110529
"Bubulcus ibis",1.71567396682012
"Butorides striata",2.13977333295635
"Campephilus melanoleucos",0.548755587578123
"Campephilus pollens",0.548755587578123
"Camptostoma obsoletum",0.201095950823002
"Campylopterus falcatus",0.233786929883667
"Campylorhamphus pusillus",1.35809515724944
"Cardellina canadensis",0.288978499224716
"Catharus aurantiirostris",0.462532257495731
"Catharus fuscater",0.348102189909326
"Catharus maculatus",0.348102189909326
"Chaetocercus heliodor",0.566996543276271
"Chalcothraupis ruficervix",0.105194651247251
"Chalybura buffonii",0.158676596796832
"Chamaepetes goudotii",0.591304913316872
"Chamaeza turdina",0.74428417580803
"Chlorochrysa calliparaea",0.218825712515402
"Chlorophanes spiza",0.2094825345499
"Chlorophonia cyanocephala",0.436404924149915
"Chloropipo flavicapilla",0.308566189973552
"Chlorospingus canigularis",0.261956493098333
"Chlorospingus flavigularis",0.2602904996819
"Chlorospingus flavopectus",0.187147284256475
"Chlorostilbon gibsoni",0.224932496194996
"Chlorostilbon melanorhynchus",0.224932496194996
"Chrysuronia goudoti",0.229833568910603
"Cinclus leucocephalus",0.55198784446014
"Coeligena coeligena",0.211272314548558
"Coeligena torquata",0.211272314548558
"Coereba flaveola",0.303978163604827
"Colaptes punctigula",0.460234487528618
"Colaptes rubiginosus",0.460234487528618
"Colibri coruscans",0.207561321155857
"Colibri cyanotus",0.199422470689125
"Colibri delphinae",0.304171184338904
"Columbina minuta",0.450996127142567
"Columbina talpacoti",0.450996127142567
"Conopophaga castaneiceps",0.549432995402096
"Contopus fumigatus",0.505266923890117
"Contopus sordidulus",0.215601442830522
"Contopus virens",0.215601442830522
"Coragyps atratus",3.05301031034471
"Cranioleuca curtata",0.238467727359684
"Creurgops verticalis",0.265529328795271
"Crotophaga ani",1.19664873102745
"Cyanocorax yncas",1.1543211029826
"Cyclarhis gujanensis",0.170514692915692
"Cyclarhis nigrirostris",0.170514692915692
"Dendrocincla tyrannina",0.465182064427061
"Dendrocolaptes picumnus",0.465182064427061
"Diglossa albilatera",0.261953840075702
"Diglossa cyanea",0.309301706538222
"Diglossa sittoides",0.286034119760209
"Dolichonyx oryzivorus",0.788821888255022
"Doryfera ludovicae",0.319089156322461
"Dryobates fumigatus",0.534435320971766
"Dysithamnus mentalis",0.281012830078332
"Elaenia chiriquensis",0.220782654891091
"Elaenia flavogaster",0.191131911890665
"Elaenia frantzii",0.220782654891091
"Elanoides forficatus",2.82140132682058
"Emberizoides herbicola",0.457825844662911
"Eubucco bourcierii",0.315434158269651
"Euchrepomis callinota",0.297656902371989
"Euphonia laniirostris",0.2363901635068
"Euphonia xanthogaster",0.2363901635068
"Eutoxeres aquila",0.426379212994684
"Falco rufigularis",1.32377793764046
"Forpus conspicillatus",1.09692024386376
"Grallaria hypoleuca",0.518554312879293
"Grallaria ruficapilla",0.518554312879293
"Grallaricula cucullata",0.450418806103917
"Haplophaedia aureliae",0.116572558467761
"Heliodoxa leadbeateri",0.207561321155857
"Heliomaster longirostris",0.319089156322461
"Hemithraupis guira",0.21178839341289
"Henicorhina leucophrys",0.40138043141323
"Icterus chrysater",0.488809141206395
"Ixothraupis xanthogastra",0.294100095176377
"Knipolegus poecilurus",0.22526967749885
"Legatus leucophaius",0.403756158964038
"Lepidocolaptes lacrymiger",0.44816131008638
"Leptopogon rufipectus",0.139734693131975
"Leptopogon superciliaris",0.139734693131975
"Leptotila verreauxi",0.848935936384209
"Lophotriccus pileatus",0.211919247239881
"Machetornis rixosa",0.511506592541567
"Margarornis squamiger",0.250549363325533
"Masius chrysopterus",0.15032485247449
"Mecocerculus leucophrys",0.263969661105625
"Megarynchus pitangua",0.914213222519257
"Melanerpes formicivorus",0.554455054323821
"Milvago chimachima",1.45078854039
"Mimus gilvus",0.509237096503964
"Mionectes striaticollis",0.145072942695717
"Molothrus bonariensis",0.51501889931821
"Molothrus oryzivorus",1.14339579177975
"Momotus aequatorialis",1.18235602417495
"Myadestes ralloides",0.43278860908161
"Myiarchus apicalis",0.497514217537221
"Myiarchus cephalotes",0.354736834114758
"Myioborus miniatus",0.291946321675101
"Myioborus ornatus",0.263969661105625
"Myiodynastes chrysocephalus",0.178724732503433
"Myiodynastes maculatus",0.178724732503433
"Myiophobus flavicans",0.145072942695717
"Myiothlypis coronata",0.176311078262859
"Myiozetetes cayanensis",0.191131911890665
"Myiozetetes similis",0.207412977440931
"Myrmotherula schisticolor",0.248771661660353
"Nephelomyias pulcher",0.195209369801258
"Nothocercus bonapartei",1.57133291167477
"Nyctidromus albicollis",0.951643513691069
"Ochthoeca cinnamomeiventris",0.171685592349756
