"Species","Ui"
"Accipiter striatus",1.19037030623431
"Acropternis orthonyx",0.725027115656346
"Adelomyia melanogenys",0.249345027479417
"Aeronautes montivagus",0.470912066621744
"Aglaiocercus kingii",0.173945497001897
"Amazona mercenarius",0.754810369340186
"Amblycercus holosericeus",0.535999298589679
"Ampelion rubrocristatus",0.257585512913829
"Anabacerthia striaticollis",0.341134819082879
"Andigena hypoglauca",0.554394117222691
"Andigena nigrirostris",0.554394117222691
"Anisognathus igniventris",0.0832139059716338
"Anisognathus lacrymosus",0.0832139059716338
"Anisognathus somptuosus",0.374041763928379
"Anthocephala berlepschi",0.278402354138141
"Arremon assimilis",0.137298238151278
"Arremon brunneinucha",0.137298238151278
"Asio stygius",1.31569496530773
"Atlapetes albinucha",0.222768124669376
"Atlapetes flaviceps",0.380244361704714
"Atlapetes pallidinucha",0.374731673815095
"Atlapetes schistaceus",0.342684722765646
"Aulacorhynchus albivitta",2.19873694684733
"Boissonneaua flavescens",0.390737028346586
"Bubulcus ibis",1.71567396682012
"Buteo platypterus",0.717247752407867
"Buthraupis montana",0.510729884162014
"Butorides striata",2.18245122923497
"Cacicus chrysonotus",0.497198174444112
"Campephilus pollens",1.14185810018499
"Camptostoma obsoletum",0.238123346598877
"Caracara plancus",1.05870632412592
"Catamblyrhynchus diadema",0.294286575363983
"Catamenia homochroa",0.210691614872317
"Catharus ustulatus",0.828355516364145
"Chaetocercus mulsant",0.308727127340468
"Chamaepetes goudotii",0.591304913316872
"Chamaeza mollissima",0.633887778580311
"Chlorophonia cyanocephala",0.266508043386865
"Chlorophonia pyrrhophrys",0.188057316502205
"Chlorornis riefferii",0.394845854168578
"Chlorospingus canigularis",0.234667130226032
"Chlorospingus flavopectus",0.187147284256475
"Chlorostilbon melanorhynchus",0.450389519825789
"Cinclus leucocephalus",0.788803306692614
"Cinnycerthia olivascens",0.218380564739699
"Cinnycerthia unirufa",0.300062302068996
"Cistothorus platensis",0.26936195980647
"Cnemoscopus rubrirostris",0.220429527111394
"Coeligena coeligena",0.211272314548558
"Coeligena lutetiae",0.149148178693629
"Coeligena torquata",0.149148178693629
"Coereba flaveola",0.324268678917969
"Colaptes rivolii",0.63412455152982
"Colaptes rubiginosus",0.513930948929069
"Colibri coruscans",0.255903788084034
"Colibri cyanotus",0.199422470689125
"Conirostrum albifrons",0.229214642279128
"Conirostrum sitticolor",0.229214642279128
"Contopus fumigatus",0.505266923890117
"Coragyps atratus",1.46338403346889
"Creurgops verticalis",0.398041658905919
"Cyanocorax yncas",0.894477165208003
"Cyanolyca armillata",0.894477165208003
"Cyclarhis nigrirostris",0.402144168606611
"Dendrocincla tyrannina",0.716211338052956
"Diglossa albilatera",0.261953840075702
"Diglossa caerulescens",0.283429543976679
"Diglossa cyanea",0.284103326405062
"Diglossa humeralis",0.283429543976679
"Diglossa lafresnayii",0.284103326405062
"Diglossa sittoides",0.328348056058643
"Drymophila striaticeps",0.473979882974522
"Dryobates fumigatus",0.318009257110589
"Dryobates nigriceps",0.318009257110589
"Dubusia taeniata",0.275691024087957
