"Species","BARB_H","BARB_M","BARB_EXT","BARB_NEW","weight_z","T_cul_z","Bill_w_z","Wing_l_z","Tail_l_z","Tars_z","HWI_z","Comp.1","Comp.2","Comp.3","Comp.4","Comp.5","Comp.6","Comp.7"
"Accipiter superciliosus",0,1,NA,1,0.825636052020149,-0.250293797845451,0.138530073331181,0.634244686402878,0.540836828814193,0.8534049906934,0.161755201822531,1.35599407437487,0.106009909949667,1.05057531658897,0.0847211243259131,-0.0154389282908895,-0.245621932471623,0.264424263627242
"Actitis macularius",5,6,NA,NA,0.166529278175978,0.113194008659327,-0.818545216625056,-0.0315337803754876,-0.47216531646941,0.0364609453633336,1.49474547131756,-0.479085559880892,-1.18730158823004,0.637461546070885,0.799164738227912,-0.171991921912849,0.19249948499107,0.30098963898678
"Amaurolimnas concolor",1,0,1,NA,1.06955304111895,0.28051379260597,-0.627130158633809,0.307144830985681,-0.57425080397861,0.958617481379848,0.174696854924425,0.761988507475348,0.227458818421155,0.904949519018645,1.42221927540771,0.0219149373551129,0.334252348683752,0.316308669573406
"Amazilia tzacatl",4,16,NA,NA,-1.44790841684734,-0.0945133093434032,-0.722837687629432,-0.668365357293924,-0.841243617464211,-1.10849851210684,2.41360284155199,-2.37224062984497,-2.21323895485622,-0.254199831906013,0.175433704260011,-0.323339947605962,-0.313075297416346,-0.0390605566921625
"Amazona farinosa",0,1,NA,1,2.24350371096418,1.12865200778378,3.41651294143129,2.01645867721448,1.1180124697316,0.203563136453574,0.271759253188626,4.2946047423208,-0.885606468906262,-0.895822459857618,-0.689080028139437,1.74136109232064,-0.339936821957319,-0.0821858806573956
"Amblycercus holosericeus",1,0,1,NA,0.587425859269311,0.378597803885037,0.210310720077898,-0.115479760969282,0.401450874715093,0.488255758311022,-0.892989525981787,1.01115861628136,0.981992875863466,-0.0512169701788844,0.00492562945989697,-0.348667380122674,0.225603730587335,0.319401327920371
"Androdon aequatorialis",10,12,NA,NA,-1.13016256784821,0.93248398522565,-0.722837687629432,-0.500473396106336,-0.699894480913011,-1.10849851210684,2.37477788224631,-1.71852342232519,-2.44104520634325,-0.734689289518362,0.487545606757718,-0.64189872132916,0.243056367567791,-0.13717671312545
"Arremon aurantiirostris",4,5,NA,NA,0.046883064714639,-0.446461820403585,0.114603191082274,-0.432448204935503,-0.209098867888009,0.116917555888264,-0.847693740125159,-0.172279765356811,1.11856013150234,0.0110802380186687,-0.104341093485584,0.0970923484719002,-0.134593901480851,0.215189054783959
"Arremonops conirostris",6,0,1,NA,0.0770298295746604,-0.331068865957624,0.018895662086651,-0.417974760005539,-0.185540678462809,0.277830776938126,-1.04828936320451,-0.0370932656267154,1.32405106694623,0.0449693877049256,0.0146139109706401,-0.0545579876208125,-0.0799092374417199,0.185337474004708
"Atlapetes leucopis",1,0,1,NA,0.213798247049585,-0.417613581792094,-0.124665631406785,-0.329686745932756,0.159979433106792,0.352098417422678,-0.718277209106225,0.140961730198823,1.01873747562316,0.382126397592933,-0.14896782629943,-0.194451989702034,-0.0487130565254396,0.351046581805955
"Attila spadiceus",0,13,NA,1,0.141741190998486,-0.0829740138988072,0.282091366824616,-0.245740765338962,-0.181614313558609,0.0797837356459886,-0.621214810842024,0.120357147960752,0.778868037625691,-0.184706023943837,-0.00112185262869903,0.105084549397701,-0.0628700114061745,0.127084132848406
"Aulacorhynchus haematopygus",1,0,1,NA,1.35721904950298,4.0538634029889,3.99075811540503,0.4620106917363,1.5302807846726,0.748192500006952,-0.60827315774013,4.94716972225925,-0.271647516543979,-3.54490010623328,0.0478567747028746,-0.576431695054763,-0.231145526864711,0.433560692220253
"Automolus subulatus",10,3,NA,NA,-0.0899771441821138,0.107424360937029,-0.363934453895844,-0.321002678974777,-0.152166576777109,-0.217286826292217,-0.349440095702261,-0.354324669390124,0.414481534146099,-0.113096292932175,-0.00576498118918688,-0.261404003495749,0.359514144780517,0.00026191246085959
"Bangsia edwardsi",6,0,1,NA,0.0999029911569828,-0.394534990902902,0.018895662086651,-0.182057607647118,-0.45057030949631,-0.000672874878941999,-0.0970778602153385,-0.29134414810254,0.363201254812001,0.160412878968635,0.166338931096892,0.307368941373071,-0.129655551665942,0.128421918043546
"Baryphthengus martii",12,12,NA,NA,1.2329483099023,1.47483087112167,1.33487418577648,0.696480499601725,3.4110095737844,0.556334428755194,-0.537094065679716,3.84798883081078,-0.0533391865673304,-0.249647658364996,-2.00462670471087,-1.44181888558874,0.460474121474199,0.651210261199074
"Boissonneaua flavescens",1,0,1,NA,-1.04205206574675,-0.16374908201098,-0.818545216625056,-0.396264592610592,-0.56247170926601,-1.06517572182418,2.38771953534821,-1.96961953108813,-2.23736155044487,0.0821875354623734,0.0308564453069066,-0.226308504697499,-0.0682723372194533,-0.00260096357588135
"Butorides striata",2,1,NA,NA,1.38440518583218,2.68645689280426,0.736702129553828,1.0322644219769,-0.262104794094709,1.44754611456981,0.278230079739572,2.97174259548527,-0.434887815114532,-0.655748843682666,2.16376212986328,-0.49442161984036,0.343497631179862,-0.129898906073176
"Cacicus uropygialis",9,16,NA,NA,0.481288318888722,0.401676394774229,0.210310720077898,0.482273514638251,0.540836828814193,0.364476357503436,-0.129431992970072,1.17547754479152,0.093719939660578,0.230830468877085,-0.0833619347624775,-0.274517328126061,0.122627629735268,-0.0441027259781998
"Campephilus gayaquilensis",0,2,NA,1,1.52069937253404,1.30174143945273,1.47843547926991,1.09450023517575,0.886356940383795,0.531578548593677,-0.155315299173859,2.96838538444766,-0.186286613984957,-0.425366632814626,-0.0190398582797029,0.269102895842371,0.243706032961738,0.0566169445745229
