"Species","FLOR_H","FLOR_M","FLOR_EXT","FLOR_NEW","weight_z","T_cul_z","Bill_w_z","Wing_l_z","Tail_l_z","Tars_z","HWI_z","Comp.1","Comp.2","Comp.3","Comp.4","Comp.5","Comp.6","Comp.7"
"Accipiter bicolor",1,0,1,NA,1.65377964405199,0.0728064746032402,0.593140836060393,1.83843530457592,2.1447568921799,2.13452178905191,0.0129261911507562,2.74496667659491,-0.0372165461868702,1.52555472329306,0.217896231461302,-0.0338112853989609,-0.44197010417216,0.312760968198601
"Actitis macularius",0,1,NA,1,0.166529278175978,0.113194008659327,-0.818545216625056,-0.0315337803754876,-0.47216531646941,0.0364609453633336,1.49474547131756,-0.742886053928311,-1.76163372528649,0.386534753480826,-0.870098347242721,-0.00780939167349118,0.244742600029267,0.38765500084749
"Akletos melanoceps",6,0,1,NA,0.130021227441465,0.0381885882694518,-0.100738749157879,-0.242846076352969,-0.301368443136709,0.519200608512918,-1.05476018975545,-0.382778799907849,1.24188730957888,0.142248700142778,-0.276619251198885,-0.0257003483008696,0.0182244428651441,0.0382576954520288
"Amazona amazonica",0,4,NA,1,1.84497667958933,0.770933849001305,2.93797529645317,1.44186291349489,0.434824976400793,-0.136830215767287,0.245875946984838,2.36530581483203,-0.442418196814085,-1.24632320569296,0.904914919954224,1.62005471897412,0.318990950271021,0.0371829465641244
"Ammodramus aurifrons",11,47,NA,NA,-0.454649530147808,-0.561854774849546,-0.459641982891467,-0.640865811926992,-0.58995626359541,-0.118263305646149,-0.951226964940307,-1.42166023057177,1.04957408532143,0.184699314363809,-0.0403877476849649,-0.0290110928556251,-0.028905497597572,-0.0786552841549459
"Anabacerthia ruficaudata",2,0,1,NA,-0.0565170876081359,-0.325299218235325,-0.507495747389279,-0.179162918661125,-0.0579338190763086,-0.266798586615252,-0.401206708109835,-0.880472602926058,0.303538032652236,0.337306158898522,0.12451819645751,-0.193185297903159,0.221417184829895,-0.0249172597519838
"Anabazenops dorsalis",3,0,1,NA,0.0664002601905051,-0.0195078889535287,-0.26822692490022,-0.142979306336214,-0.0010015279654083,-0.00686184491932138,-0.679452249800544,-0.524063776263855,0.66681642214349,0.173792460076654,0.0458673560994929,-0.218888951246831,0.176478883050521,-0.0193132349822832
"Ancistrops strigilatus",1,0,1,NA,0.0770298295746604,-0.0368168321204227,-0.220373160402408,-0.141531961843218,-0.0893447383099086,-0.0316177250808385,-0.407677534660781,-0.545632474392277,0.367565702312476,0.133947036155533,-0.0220744879006687,-0.108713611394829,0.154152789224891,0.0324207278988178
"Anhima cornuta",0,6,NA,1,3.46808512571685,1.22673601906285,1.31094730352757,6.52059473941943,3.462052317539,5.24138474932232,0.550004794879335,7.41914619644074,-0.692146064744139,3.30638320851977,-0.907999245581465,0.514575089815443,-0.536855266435649,-1.0737510975747
"Anthracothorax nigricollis",0,1,NA,1,-1.16196622189195,0.113194008659327,-0.890325863371774,-0.525078252487276,-0.782348143901211,-1.18276615259139,2.56890267877472,-2.05767231091154,-3.18052415860886,-0.358063506737946,-0.689432721616592,-0.24837201110101,-0.120479432126942,0.0375423323940648
"Anurolimnas castaneiceps",1,0,1,NA,1.02857679857639,0.159351190437711,-0.363934453895844,0.11609535791015,-0.990445483823812,1.7508056465484,-0.996522750796934,0.261837174142197,1.46103314992316,0.718837734657559,-1.37611912746124,0.502335897739575,0.289751804838165,0.373929556132872
"Anurolimnas fasciatus",2,0,1,NA,0.572202589576756,-0.244524150123153,-0.579276394135997,-0.156005406773182,-0.992408666275912,0.909105721056814,-0.724748035657171,-0.528920283092337,1.00470368199958,0.629970964326508,-0.937815850066789,0.402804250269191,0.336247297607575,0.26767173304907
"Ara severus",2,15,NA,NA,1.7875504856573,0.920944689781054,3.4404398236802,1.98027506488957,3.2500286127122,-0.180153006049942,0.744129591407737,3.75705237928345,-1.31923901805657,-0.924409242050704,2.40821875040988,0.484277791555273,-0.447567862566502,0.152835352046081
"Ardea alba",1,0,1,NA,2.49408474167257,5.91745961729117,1.40665483252319,3.99787328812662,1.2456193291181,7.30231177276862,0.498238182471761,7.45195298178146,0.165268115422668,0.312467423403814,-4.77515020245261,-0.886627920787194,-1.1558852865932,-0.218125596711058
"Arremonops conirostris",0,11,NA,1,0.0770298295746604,-0.331068865957624,0.018895662086651,-0.417974760005539,-0.185540678462809,0.277830776938126,-1.04828936320451,-0.58190278953383,1.21194029307863,0.153044025029347,0.0693966172929063,0.0851712248633231,-0.0629830987297916,0.130042430286734
"Atticora fasciata",4,29,NA,NA,-0.692811341151788,-0.81571927463066,-0.603203276384903,-0.0706120816863917,-0.254252064286309,-0.817616920209009,1.59180786958176,-1.55576668945543,-2.06375054338618,0.35643069753982,0.0239340950411859,0.122411119120165,-0.192448799559495,-0.0417223528041035
"Attila cinnamomeus",0,7,NA,1,0.13590386401444,-0.059895423009615,0.162456955580086,-0.222583253451019,0.081452135022792,-0.0563736052423558,-0.996522750796934,-0.367467347525174,1.0401454568817,-0.0543040218326168,0.323547180892115,-0.0620613868447757,0.0955751463087364,0.00235142607684818
"Attila spadiceus",0,25,NA,1,0.141741190998486,-0.0829740138988072,0.282091366824616,-0.245740765338962,-0.181614313558609,0.0797837356459886,-0.621214810842024,-0.382635092743069,0.678565274395588,-0.121247364796788,0.0827146351683238,0.189572345692209,-0.0147474976691904,0.0962626464130146
"Automolus infuscatus",5,0,1,NA,0.0108940660434146,0.0151099973802597,-0.316080689398032,-0.170478851703147,-0.0697129137889085,-0.0687515453231143,-0.323556789498474,-0.609604347776496,0.259309502262285,0.135225670844858,-0.0585223058098698,-0.202675206263743,0.155248701148721,0.0297057293776916
"Automolus subulatus",1,0,1,NA,-0.0899771441821138,0.107424360937029,-0.363934453895844,-0.321002678974777,-0.152166576777109,-0.217286826292217,-0.349440095702261,-0.778760086209327,0.2778364293405,-0.00314774888926837,-0.0704472465597885,-0.283060635383771,0.198691330724883,0.0270040430914255
"Baryphthengus martii",5,1,NA,NA,1.2329483099023,1.47483087112167,1.33487418577648,0.696480499601725,3.4110095737844,0.556334428755194,-0.537094065679716,2.74808042155713,0.292105232101256,-0.200917284668021,1.52638216526389,-1.3334827253856,-0.309219723919653,0.522869541779859
"Berlepschia rikeri",0,1,NA,1,0.0999029911569828,0.0728064746032402,-0.316080689398032,-0.093769593574335,0.0127407491992918,-0.161586095928804,0.472354876267974,-0.523799858039402,-0.667495823229914,0.130877278826451,-0.1444644444902,-0.145036180938649,0.143480946204028,0.198392880755744
"Brachygalba lugubris",17,0,1,NA,-0.540198064656668,1.3825165075649,-0.292153807149126,-0.49468401813435,-0.53106079003241,-0.898073530733939,0.0129261911507562,-0.989027310602714,-0.253996192342977,-1.08582932146461,-0.429684216866241,-0.743158298525093,0.466048170264865,-0.268989940887973
"Bubulcus ibis",0,2,NA,1,1.8367388172492,2.28258155224339,0.593140836060393,2.0526422895394,0.271880832876493,3.29185918660284,0.355879998350933,3.31368773851794,-0.0980188491455105,0.504925426434206,-2.1972718544945,0.134985931607856,-0.0836387169668169,0.116887376582169
"Bucco capensis",2,0,1,NA,0.386430192604875,0.620923008221555,1.23916665678085,-0.229819975916001,-0.39363801838541,-0.384389017382458,-0.29120265674374,0.0621270397496577,0.271489778065717,-1.14559814212682,0.193439887716986,0.553851163141054,0.142943556259776,0.123765946301562
"Bucco macrodactylus",4,0,1,NA,-0.197216248526114,0.159351190437711,0.640994600558205,-0.54389373089623,-0.40934347800221,-0.687648549361043,-0.440031667415515,-0.779345283676709,0.378780698366827,-0.859580497130935,0.332599784561398,0.230112713738914,0.0394385185033455,-0.0197190359923635
"Buteo nitidus",0,3,NA,1,2.10144254020514,0.378597803885037,1.21523977453195,2.09461527983629,1.8365372472002,2.53680484167657,0.200580161128211,3.38492945486086,-0.133532122333228,1.23478777607307,-0.0945013790381203,0.497781337530572,-0.451548870836072,0.418925806268965
"Butorides striata",2,5,NA,NA,1.38440518583218,2.68645689280426,0.736702129553828,1.0322644219769,-0.262104794094709,1.44754611456981,0.278230079739572,2.09350529371358,-0.212670605520601,-0.803227546060578,-1.62748855279798,-0.0562168767646776,0.522323875338191,0.110723219502923
"Cacicus cela",14,28,NA,NA,0.734698658088429,0.568996178720873,0.521360189313675,0.61687655248692,0.423045881688193,0.376854297584195,0.200580161128211,0.803484862578217,-0.333271125986697,-0.0428469096644371,-0.0496262669704004,0.112233238677922,0.119541104402121,0.106549128426224
"Cacicus haemorrhous",2,0,1,NA,0.718573031156497,0.592074769610065,0.569213953811487,0.857135738324331,0.472125442990693,0.383043267624574,0.038809497354543,0.928551599235213,-0.18689331777337,-0.00997951525877084,0.0122955086793936,0.112012157400422,0.141604520269128,-0.0896419221301742
"Cacicus solitarius",0,4,NA,1,0.682410625351832,0.482451462886402,0.210310720077898,0.224646194884883,0.654701411035994,0.33353150730154,-0.867106219778,0.559497185059942,0.875383000551262,0.0894584280008831,0.244260269071794,-0.319720341386807,0.251926774507622,0.121021623130777
"Calochaetes coccineus",1,0,1,NA,0.271472103499158,-0.302220627346133,-0.00503122016225508,-0.106795694011303,-0.35830073424761,-0.180153006049942,-0.0258987681549243,-0.595714597305425,-0.045938026580741,0.0893284711026334,-0.000801137712130381,0.346955619314135,0.224024399770498,0.151232607944755
"Campephilus melanoleucos",1,2,NA,NA,1.56583162323036,1.26135390539664,1.45450859702101,1.17844621576954,0.831387831724995,0.568712368835953,-0.161786125724806,2.13741079615393,0.0639605474980293,-0.485043128505837,0.207948794544992,0.339837384212172,0.375588871886317,0.113360561898113
"Campephilus rubricollis",1,0,1,NA,1.41824126616649,1.30174143945273,1.09560536328742,1.10752633561272,0.909915129808995,0.704869709724297,-0.420619187762675,2.00179829358303,0.359996315012262,-0.291538456187176,0.104760924160972,0.0295863792962287,0.367887755466127,0.0569601860651351
"Camptostoma obsoletum",0,8,NA,1,-1.05135127288648,-0.804179979186064,-0.698910805380527,-0.727706481506779,-0.709710393173511,-0.601002968795733,-0.511210759475929,-2.08320287991072,0.448868728095336,0.144982062119339,0.0491010761842216,-0.127197917944813,-0.172941262812746,-0.302664368381364
"Campylopterus largipennis",1,0,1,NA,-1.03286557904649,0.372828156162739,-0.818545216625056,-0.438237582907489,-0.58995626359541,-1.11468748214721,2.37477788224631,-1.7720436340777,-2.97478800006855,-0.425402985736152,-0.648137573980685,-0.395532871196707,-0.0517410986758827,0.0202885077867582
"Campylorhamphus trochilirostris",1,0,1,NA,0.173996095947729,2.13257071146365,-0.411788218393655,-0.0590333257424202,0.291512657397493,-0.130641245726907,-0.601802331189184,0.225154618385363,0.466354689349014,-0.763791050871751,-0.53889873854938,-1.32728217448476,0.696590671627579,-0.145358567939926
"Campylorhynchus turdinus",6,0,1,NA,0.00395164308472871,0.0785761223255384,-0.483568865140373,-0.248635454324955,0.187463987436192,0.191185196372816,-0.744160515310012,-0.504104475470558,0.761296255602005,0.305865732021527,-0.044943856029325,-0.495359768927625,0.0934247481672927,0.0571367558434629
"Cantorchilus leucotis",0,38,NA,1,-0.389415660847677,-0.284911684179239,-0.627130158633809,-0.585866721193127,-0.56836125662231,-0.0996963955250108,-0.789456301166639,-1.33391135600557,0.851372493379687,0.174531758473404,-0.215092181553091,-0.197376244251616,0.0949580765410965,-0.0601300656670137
"Capito auratus",3,24,NA,NA,0.432706288027877,0.142042247270817,0.210310720077898,-0.264556243747916,-0.45253349194841,-0.0625625752827349,-0.388265055007941,-0.363073183977241,0.421271456589683,-0.249592842662685,-0.123340464322976,0.293313777780955,0.321676515449417,0.226459735173828
"Capito aurovirens",7,5,NA,NA,0.416694230327553,-0.106052604788,0.114603191082274,-0.286266411142862,-0.154129759229209,-0.0935074254846314,-1.04181853665356,-0.396046833858726,1.12588865504532,-0.0346342651857788,0.238846431520363,0.115837648988965,0.341840563595486,0.136710749571963
"Caracara plancus",0,2,NA,1,2.65584033689949,1.20365742817366,2.00482688874584,4.01524142204258,2.5256142878873,3.60749665866219,0.148813548720637,5.48933443410351,-0.145392438674985,1.44919628735709,-0.298849144474895,0.646056679856015,-0.615175773487427,-0.345995218580204
"Cathartes aura",0,3,NA,1,2.91492893395085,1.60176312101222,1.95697312424803,5.87507909554301,3.2775131670416,1.88077401739636,0.161755201822531,6.07154097160132,-0.822005708480644,1.40421051574541,0.849609866835374,0.329466293858596,0.569552087419661,-1.66150221118919
"Celeus elegans",0,2,NA,1,1.08086483131299,0.534378292387084,0.664921482807111,0.849899015859348,0.448567253565493,0.00551609516143716,-0.427090014313622,0.962679699507037,0.287737763658854,-0.103705835267634,0.349848651245867,0.224098518970652,0.569861514336773,-0.0774102300991423
"Celeus grammicus",0,2,NA,1,0.521090469990578,0.0612671791586442,0.186383837828992,0.292671386055716,-0.118792475091409,-0.186341976090321,-0.122961166419125,-0.0746070615389103,-0.00210887066687186,-0.0091389493634779,0.0889854357791326,0.275845164048459,0.399764866205541,-0.0020537788625984
"Cephalopterus ornatus",1,0,1,NA,1.86518790063879,1.93063304118321,3.24902476568895,2.27263865247486,1.6323662721818,1.45992405465057,-0.582389851536343,4.11956792197569,0.57031171958174,-1.04033460277576,0.571984859293269,0.756130376586933,-0.343174531167067,-0.321499976301218
"Ceratopipra erythrocephala",6,0,1,NA,-0.669843647934301,-0.683017377017805,-0.531422629638185,-0.630734400476017,-1.09842051868931,-0.532924298351561,-0.284731830192794,-1.89598764870377,0.252603237963352,0.024226048500326,-0.215324069378001,0.24986112315231,0.0552209505648177,-0.175168502403505
"Cercomacra cinerascens",2,0,1,NA,-0.620578055388605,-0.250293797845451,-0.26822692490022,-0.575735309742152,-0.214988415244309,-0.223475796332597,-1.02240605700072,-1.20788281481561,1.05963203639468,-0.0460505149433446,0.169281738781617,-0.31018627801412,-0.151736707433352,-0.208301689077506
"Chaetura brachyura",0,1,NA,1,-0.433654396045257,-0.902263990465131,-0.842472098873962,0.230435572856869,-0.935476375165011,-0.755727219805216,2.7889107815069,-1.66120751226054,-3.3720796232843,0.541994004622921,-0.639919190109326,0.646715831593627,0.0244033621984573,0.0862617397624638
"Chamaeza campanisona",2,0,1,NA,0.778608346988253,0.0151099973802597,-0.100738749157879,-0.0706120816863917,-0.260141611642609,0.902916751016435,-0.660039770147704,0.105892481593555,0.879137969058607,0.433974250973566,-0.50183419600062,0.229427700965142,0.186871834388589,0.414884499611675
"Chamaeza nobilis",1,0,1,NA,1.01031384562659,0.0785761223255384,0.186383837828992,0.0495175112323133,-0.346521639535009,0.958617481379848,-0.56944819843445,0.364562443184214,0.802288845550359,0.313022797653889,-0.52238679785654,0.481952082934472,0.233062489906713,0.466783172016371
"Charadrius collaris",2,3,NA,NA,-0.103250265810151,-0.37145640001371,-0.674983923131621,-0.101006316039317,-0.63314627754161,0.141673436049782,1.65004530854028,-1.0043320587604,-1.88661708095453,0.490002920597387,-0.838722178597959,0.294108812334284,-0.111988377838959,0.36759859912187
"Chionomesa fimbriata",1,15,NA,NA,-1.43228155654967,-0.0887436616211053,-0.91425274562068,-0.727706481506779,-0.919770915548211,-1.18276615259139,2.53007771946904,-2.37094580396697,-3.10633355178187,-0.367386854021179,-0.700953268475907,-0.210410081506838,-0.309800661082812,0.0223121073294326
"Chiroxiphia pareola",2,0,1,NA,-0.498469587934832,-0.711865615629295,-0.411788218393655,-0.480210573204386,-0.837317252560011,-0.359633137220941,-0.789456301166639,-1.5802649463287,0.82385474958759,0.143427807961734,-0.0131952654538685,0.205317305313922,0.0673477432468473,-0.23458169957378
"Chlorestes notata",0,1,NA,1,-1.54910863765906,-0.250293797845451,-1.03388715686521,-0.789942294705626,-0.923697280452411,-1.19514409267215,2.75655664875217,-2.54311003847798,-3.36141693788992,-0.259284048736618,-0.726098085638141,-0.212531414232401,-0.403448295252796,0.0659526003048713
"Chloroceryle aenea",0,2,NA,1,-0.647551573993473,0.418985337941123,-0.26822692490022,-0.675602079758906,-0.845169982368411,-0.972341171218491,-0.0129571150530309,-1.52756055197455,-0.168524510112946,-0.767652118790733,-0.213816529387807,-0.214749220268902,0.290721814230472,-0.195142334536854
"Chloroceryle amazona",2,2,NA,NA,1.0309789428169,2.63453006330358,1.31094730352757,0.404116912016443,-0.00492789286960837,-0.681459579320664,0.355879998350933,1.26306084281931,-0.647655106591418,-1.93718150165564,-0.233185546379041,-0.151448814580487,0.948058802864459,0.0306160880345727
"Chloroceryle americana",1,4,NA,NA,0.0291021700065139,1.05364658739391,0.018895662086651,-0.373107080722649,-0.37793255876861,-0.97853014125887,0.0776344566602235,-0.654858783961809,-0.323825683657052,-0.965317102090022,-0.0933622499431959,-0.346633665608015,0.65415639663584,-0.016634789668615
"Chlorophanes spiza",4,5,NA,NA,-0.405205312655675,-0.452231468125883,-0.38786133614475,-0.496131362627347,-0.56639807417021,-0.291554466776769,0.0193970177017028,-1.33385590363144,-0.0932270513214067,0.0897272337582766,-0.148802515135854,0.0874601637724397,-0.0453341395682918,0.0400066215691768
"Chrysuronia oenone",0,11,NA,1,-1.41697041209634,0.055497531436346,-0.842472098873962,-0.743627270929739,-0.911918185739811,-1.13944336230873,2.52360689291809,-2.28208433332175,-3.08841539703186,-0.465556818352448,-0.746146541029388,-0.238426576082099,-0.323091876000785,0.0371974619576413
