"Species","FUSA_H","FUSA_M","FUSA_EXT","FUSA_NEW","weight_z","T_cul_z","Bill_w_z","Wing_l_z","Tail_l_z","Tars_z","HWI_z","Comp.1","Comp.2","Comp.3","Comp.4","Comp.5","Comp.6","Comp.7"
"Adelomyia melanogenys",3,11,NA,NA,-1.43228155654967,-0.336838513679922,-0.842472098873962,-0.716127725562807,-0.817685428039011,-1.0899316019857,2.31654044328779,-2.67628052207776,-2.03182442934736,0.273447445488704,0.142257030897664,-0.0832263401213071,-0.424054216935562,0.162283862620991
"Aglaiocercus kingii",6,10,NA,NA,-1.44790841684734,-0.181058025177874,-0.866398981122868,-0.635076433955006,-0.61351445302061,-1.07136469186456,2.49125276016335,-2.47017772058725,-2.26386184512122,0.390285311189953,0.0636432346142347,-0.322155553288088,-0.446502110672837,0.120605490335137
"Amblycercus holosericeus",1,5,NA,NA,0.587425859269311,0.378597803885037,0.210310720077898,-0.115479760969282,0.401450874715093,0.488255758311022,-0.892989525981787,1.83169990342904,0.621223214526038,-0.370066929255093,0.0283313283965435,-0.328569732628699,0.214391549943869,0.375683552426187
"Ampelion rubrocristatus",2,0,1,NA,0.541950755876162,-0.186827672900172,-0.124665631406785,0.155173659221054,0.179611257627792,0.0797837356459886,0.00645536459980937,1.12754696915489,0.00258283546177435,0.56876353360137,0.0293665516202961,0.217333731958067,0.370630251545879,0.241398191766839
"Anabacerthia striaticollis",3,1,NA,NA,-0.203303637666482,-0.296450979623835,-0.555349511887091,-0.221135908958022,-0.0186701700343085,-0.223475796332597,-0.414148361211728,-0.076976228285552,0.363180080020954,0.171634469542487,-0.15545051408573,-0.205320957804239,0.359019240963149,-0.0986133356763298
"Anisognathus igniventris",4,39,NA,NA,0.035818986852731,-0.515697593071161,-0.148592513655691,-0.212451842000043,-0.0343756296511085,0.0921616757267474,-0.491798279823089,0.368107966629538,0.645493589838614,0.171337380107869,-0.0508283498496525,0.194410219132442,-0.0111696257772804,0.122297860292936
"Anisognathus somptuosus",4,0,1,NA,0.239785108560305,-0.215675911511662,-0.0528849846600667,-0.154558062280186,-0.0814920085015085,0.0550278554844715,-0.220023564683326,0.608425893367787,0.23887792064616,0.0611617905759579,0.0883716926499472,0.236037442291721,0.154293136487142,0.27541036727264
"Arremon assimilis",1,10,NA,NA,0.139800406651322,-0.296450979623835,0.0428225443355568,-0.274687655198891,0.154089885750492,0.259263866816988,-1.00946440389883,0.843160825309775,1.00143942015162,-0.19517723503891,-0.173318353766507,-0.012112651876855,-0.0176933868693815,0.154204524692218
"Arremon brunneinucha",4,11,NA,NA,0.23122144825319,-0.244524150123153,-0.00503122016225508,-0.315213301002791,0.150163520846292,0.321153567220781,-0.990051924245988,0.894014056453656,1.02334367158247,-0.196442876216997,-0.0778423345753292,-0.0735012723884709,0.0240665753109058,0.284019975173545
"Arremon torquatus",1,0,1,NA,0.19596505077328,-0.279142036456941,-0.00503122016225508,-0.319555334481781,0.169795345367292,0.531578548593677,-0.94475613838936,0.98213155570046,1.11163616552139,-0.120318362508551,0.0877720760507198,-0.150077356044233,-0.18793959692914,0.304405812415631
"Asthenes fuliginosa",1,0,1,NA,-0.433654396045257,-0.567624422571844,-0.770691452127244,-0.645207845405981,0.572247748047794,0.0117050652018165,-0.763572994962852,-0.207375423015984,1.07323213715892,0.326550626531975,-0.669032908423432,-0.997727937758783,-0.121189936467525,0.221052737962083
"Atlapetes albinucha",6,0,1,NA,0.0313477297927664,-0.377226047736008,0.114603191082274,-0.423764137977525,0.130531696325292,0.209752106493954,-0.964168618042201,0.62421832034772,1.01445464901607,-0.306474883172623,-0.278375379661199,0.0123956056915727,-0.183578220825488,0.260173902669491
