"","Species","Comp.1","Comp.2","Comp.3","Comp.4","Comp.5","Comp.6","Comp.7"
"1","Adelomyia melanogenys",-2.67628052207776,-2.03182442934736,0.273447445488704,0.142257030897664,-0.0832263401213071,-0.424054216935562,0.162283862620991
"2","Aglaiocercus kingii",-2.47017772058725,-2.26386184512122,0.390285311189953,0.0636432346142347,-0.322155553288088,-0.446502110672837,0.120605490335137
"3","Amblycercus holosericeus",1.83169990342904,0.621223214526038,-0.370066929255093,0.0283313283965435,-0.328569732628699,0.214391549943869,0.375683552426187
"4","Ampelion rubrocristatus",1.12754696915489,0.00258283546177435,0.56876353360137,0.0293665516202961,0.217333731958067,0.370630251545879,0.241398191766839
"5","Anabacerthia striaticollis",-0.076976228285552,0.363180080020954,0.171634469542487,-0.15545051408573,-0.205320957804239,0.359019240963149,-0.0986133356763298
"6","Anisognathus igniventris",0.368107966629538,0.645493589838614,0.171337380107869,-0.0508283498496525,0.194410219132442,-0.0111696257772804,0.122297860292936
"7","Anisognathus somptuosus",0.608425893367787,0.23887792064616,0.0611617905759579,0.0883716926499472,0.236037442291721,0.154293136487142,0.27541036727264
"8","Arremon assimilis",0.843160825309775,1.00143942015162,-0.19517723503891,-0.173318353766507,-0.012112651876855,-0.0176933868693815,0.154204524692218
"9","Arremon brunneinucha",0.894014056453656,1.02334367158247,-0.196442876216997,-0.0778423345753292,-0.0735012723884709,0.0240665753109058,0.284019975173545
"10","Arremon torquatus",0.98213155570046,1.11163616552139,-0.120318362508551,0.0877720760507198,-0.150077356044233,-0.18793959692914,0.304405812415631
"11","Asthenes fuliginosa",-0.207375423015984,1.07323213715892,0.326550626531975,-0.669032908423432,-0.997727937758783,-0.121189936467525,0.221052737962083
"12","Atlapetes albinucha",0.62421832034772,1.01445464901607,-0.306474883172623,-0.278375379661199,0.0123956056915727,-0.183578220825488,0.260173902669491
"13","Atlapetes albofrenatus",0.249452078666658,0.921853383550705,-0.0689020074588026,-0.092960221310253,-0.0769720786168176,-0.110308249078423,0.259774110371857
"14","Atlapetes pallidinucha",0.528580162096911,1.021910082169,-0.0243099833851,0.0803226197899868,-0.0864800669428627,-0.130283987961566,0.2484086337869
"15","Atlapetes schistaceus",0.213294045563101,0.940995014956248,0.0750711675750434,-0.303390950345856,-0.105007533133881,-0.0739572602735615,0.146681130280127
"16","Aulacorhynchus albivitta",5.3638215477193,-1.3778134215604,-3.14987169267621,-0.834077945443415,0.770113363963264,-0.515487334521677,0.565832826845025
"17","Basileuterus tristriatus",-0.934856398592363,0.789615080170467,-0.325988262137128,-0.025851715464668,-0.135579393814767,-0.0838067179363424,-0.197103087439604
"18","Boissonneaua flavescens",-1.97567286644415,-2.24197152295565,0.588176583942447,0.0801014444316251,-0.0871171972190145,-0.10492185991462,0.132413482859916
"19","Bubulcus ibis",6.4591717049818,-0.685106710328824,0.699661519917112,3.87481286959126,-0.571978772673026,-0.171792100960431,-0.632154862456668
"20","Buteo platypterus",6.54169352117625,-0.895471773487631,2.87678572010783,0.334334338239399,0.439938420491282,-0.420430865854377,-0.778526974456464
"21","Buthraupis montana",2.02688907065588,0.173394732087792,0.475510260400091,0.262543775723333,0.431748909303108,0.0208175293910401,0.158613155661326
"22","Cacicus uropygialis",2.1244912794271,-0.258855743100874,0.329672155130041,0.0323654647083868,-0.171806172065497,0.203429353715299,-0.1928879689328
"23","Campephilus pollens",4.38091382140773,-0.852057730777494,-0.460454276949411,-0.313797837725015,0.124536214908539,0.633881171735565,-0.275319212324879
"24","Campylorhamphus pusillus",1.36233276100419,-0.690610792151943,-1.08566004866972,0.143321214425257,-1.50968713409348,1.25698121662675,-0.0605215588820275
"25","Cardellina canadensis",-1.22168334631435,0.166198752936362,-0.0469484175861492,0.0694721168469086,-0.0145346715063252,-0.369039347372768,-0.0929979974111042
"26","Catamblyrhynchus diadema",-0.613916914015793,0.956275337437938,-0.122451305100529,-0.360638208014186,-0.00731518817892092,-0.269882449725639,-0.131234308817273
"27","Catharus fuscater",0.541316860814081,0.888974602173511,0.437163942845069,0.554939612175592,-0.420033591261155,-0.0807476838140858,0.151170348023682
"28","Catharus ustulatus",0.233935290616327,0.0498112539279533,0.733256322933309,0.580831543030703,0.133980067968533,-0.364235181646264,0.213455425744097
"29","Chaetocercus heliodor",-3.8077975086407,-2.01734346681305,0.00828738113712391,0.305845887220772,-0.315551406586546,-0.686628281864787,-0.0120250073759895
"30","Chaetocercus mulsant",-3.26968708385365,-2.35393833083929,0.131059062020476,0.469539139064149,-0.276512985213068,-0.343387837945626,0.316892947607417
"31","Chalcothraupis ruficervix",-0.913922362203947,0.108927787169342,0.0273829319295491,0.109906127653194,0.371798956680188,0.181503718686541,0.0192042963626884
"32","Chlorophanes spiza",-0.800147922704209,0.123073785094795,-0.143774642866828,0.192251647363637,0.257855761775491,0.0252926324304357,0.152873201345289
"33","Chlorophonia cyanocephala",-1.48870139326042,-0.00264595829328668,0.050180038933014,0.0768560391112602,0.558327580857856,-0.0540532118366785,0.0881378614186639
"34","Chlorornis riefferii",1.31176232272101,0.415802064712757,0.22348640825037,0.0576431518669718,0.174056081067873,-0.0214767791609652,0.135689396160096
"35","Chlorospingus canigularis",-0.76333054637565,0.418905235603268,-0.0845677530949744,0.0118818080938532,0.113025481360597,0.0890598700610007,0.0235557457046045
"36","Chlorospingus flavopectus",-0.42769286859354,0.685122840891045,-0.19245447437983,-0.100279664317773,0.0524613323044707,-0.0372770408976399,0.077878696616322
"37","Chrysomus icterocephalus",0.366877512027602,0.533350296617273,-0.0423501618645575,0.31272140235235,-0.0371103295944023,-0.000972315688975267,0.0975591008446288
"38","Cinclus leucocephalus",0.0715342986387409,0.549050325593845,0.246773573532437,0.937421297139983,0.140990710512629,0.343022981690525,0.347380433312875
"39","Cinnycerthia olivascens",-0.161789570313718,1.07158070338678,-0.266153675590644,0.154494775032817,-0.265526467626251,0.178188749689704,0.100096921181827
"40","Cinnycerthia unirufa",0.101047807042016,0.935772807258369,-0.0503918704721544,0.227989467595616,-0.3280295118302,0.185493173867566,0.169180091688971
"41","Cnemathraupis eximia",1.62001169710029,0.393760665444067,0.354410700353303,0.0372686967762822,0.266853437296117,-0.0168310869934384,0.0898557981443987
"42","Cnemoscopus rubrirostris",-0.28583887869691,0.528615899700574,0.0998687574341563,-0.0283157206004393,-0.13938624333839,0.0640884740692982,-0.248382760486432
"43","Coccyzus melacoryphus",1.77464273963156,-0.351761303099458,0.827488340279025,-0.933280203761863,-0.700515155169849,-0.0241787300108313,0.175703495755867
"44","Coeligena bonapartei",-1.92753176771669,-2.736413890136,-0.0523544637624372,0.405076557978787,-0.644289253264309,0.199578989646352,-0.0413301470753963
"45","Coeligena coeligena",-1.78076525057623,-2.83036715851819,-0.0907635329729183,0.287001584473243,-0.648152435092977,0.0949633660510889,0.0457984325250943
"46","Coeligena torquata",-1.78217281551639,-2.92960790398817,-0.180726053223521,0.382862398173135,-0.776031146858775,0.254917043855767,-0.0194405158860731
"47","Colaptes rivolii",2.3628139305709,-0.379031249750993,-0.0914268222307034,-0.312289748742201,0.278498702664686,0.472670153610618,0.159428314481541
"48","Colibri cyanotus",-2.36516664291472,-2.32274731555703,0.306074768886768,0.180442399537758,-0.320527062176041,-0.143006491732599,0.129590142094482
"49","Colinus cristatus",0.990212477468952,0.316092579902288,0.516720743080839,0.635073551020281,1.04407245516359,0.422312221455116,0.896749378259493
"50","Conirostrum albifrons",-1.00912432949036,0.243933639783247,0.0379316025426467,-0.0415701178968947,-0.092218120390241,0.232708892987349,-0.110244222346272
"51","Conirostrum rufum",-1.2304051194009,0.660637639980469,-0.0730485111981258,0.0408988461550092,-0.229888265607336,0.0548773033361242,-0.242115250997185
"52","Conirostrum sitticolor",-1.18400556022643,0.384225124801289,0.0235981374645002,0.0236913482404648,-0.188252948133412,0.0885317714670865,-0.188284723147936
"53","Conopias cinchoneti",0.0482749664869211,0.0542760735519389,-0.396473535765778,-0.352398980635727,0.371248354089711,0.0964683335138023,-0.0158241347562762
"54","Contopus fumigatus",0.0916635032754328,-0.505451205613368,-0.0877137318593468,-0.621363441189685,0.256233416164746,-0.138255082561727,-0.127581041343709
"55","Cranioleuca curtata",-0.780959989892438,0.56969017150175,0.0600591542920588,-0.311072585563496,-0.318197122446783,0.221232131938793,0.0689845918769436
"56","Crotophaga ani",3.89411399287587,-0.282736786631365,0.921591197571189,-1.18084079233176,-0.770998076859984,-0.55424248898537,0.306341924442775
"57","Cyanocorax yncas",3.18872505924858,0.778211055738913,0.0112115770465087,-0.493802195532007,-0.528375039630369,-0.403511563435083,0.0830007590534751
"58","Cyclarhis nigrirostris",0.0763557898065053,0.668453604153848,-0.300375992831626,0.0500024029700243,0.180792263310426,0.241874994292788,0.151652410153109
"59","Dacnis venusta",-1.32819084407376,0.0408689594347946,-0.0853723794285326,0.14484384645969,0.401302925148891,0.167152675307182,0.102307522947197
"60","Dendrocolaptes picumnus",2.73705423782214,-0.372593222142462,-0.249298135509432,-0.344950586774284,-0.528833108758125,0.359755294730954,-0.0348893696336193
"61","Diglossa albilatera",-1.39831562338716,0.700408326577141,-0.289348666663915,0.233922229179434,-0.0884792900865808,-0.0933335466159754,-0.212463177373789
"62","Diglossa caerulescens",-0.940614980949947,0.536593799908495,-0.108480316330734,0.211013964683696,-0.269400061629661,0.230071047661149,-0.157843282133543
"63","Diglossa cyanea",-0.533395884796172,0.490003478998779,-0.00992330761783954,0.198607110273172,-0.307801290511067,0.0919544415804387,-0.088793837731959
"64","Diglossa humeralis",-0.958922211317115,0.755644247027426,0.114703413922188,0.225849117174667,-0.380041689468987,0.0409214118935188,-0.176049526834986
"65","Doryfera ludovicae",-2.09889122272117,-2.73996731960559,-0.466358596707034,0.492047192058731,-0.628668471590783,0.0678239009779966,0.165346123940844
"66","Dryobates dignus",0.483145010163218,-0.191244916980559,-0.254459297139571,-0.015767967836376,0.699064023764079,0.0773017431246956,0.108214975202202
"67","Dryobates fumigatus",0.364520635094653,-0.060812484103926,-0.353723962103461,-0.139798336123126,0.580446447742206,0.337086844724049,0.00465945647097363
"68","Dubusia taeniata",0.952827080375533,0.653574497698916,-0.0193783735880325,-0.0975487999235319,-0.305049199240187,0.0124281575493102,0.0979225245565667
"69","Elaenia chiriquensis",-0.837053550878168,0.308644128777503,0.0192223943640937,-0.283145412010797,0.132246862350016,0.0323949910850109,-0.103415279059851
"70","Elaenia flavogaster",-0.17354966435193,0.66689866540641,0.0788587019312776,-0.221694186463604,0.176240239029552,0.00560188036990614,0.0717341758564261
"71","Elaenia frantzii",-0.638438970822736,0.399794030555708,0.0716165671106986,-0.338841979999276,0.180117072082125,0.148614279738057,-0.0153728305460657
"72","Elaenia obscura",-0.0175669810710285,0.587688422652368,0.229148979467947,-0.404825476130278,-0.226897131565109,0.223711062338176,-0.0949340921952388
"73","Ensifera ensifera",-0.0163068837875439,-4.55111575122793,-2.44665092500002,1.03667883332667,-2.81428589096309,1.74304448639303,-0.00750348264921563
"74","Eriocnemis vestita",-2.55904329681901,-2.23758877902551,0.306508818959185,0.171316299903651,-0.420913438077654,-0.321298699794476,0.0370227924966234
"75","Eubucco bourcierii",0.00646914218939579,0.49978301991402,-0.550998086081942,0.14468387804332,0.394402725587451,0.362425954429388,0.312285527803082
"76","Euchrepomis callinota",-1.73605103969408,0.667829346875714,-0.660101268010759,-0.0645358182314821,-0.197589182502149,0.158647817235194,-0.496028327600351
"77","Eutoxeres aquila",-1.57175300124466,-2.40254084041468,0.228820365231331,0.0280633475709208,-0.223365191192242,-0.0240992795198555,0.357489692874771
"78","Falco sparverius",2.96960336355717,-0.992335595860851,2.02401463567617,-0.0651886119249222,0.607923224336975,-0.420409233782853,-0.0574415078134355
"79","Grallaria hypoleuca",1.60052110821563,1.58154303552339,-0.443472897484722,1.53043344912124,0.187232234019997,-0.191188572602832,0.408266092199754
"80","Grallaria nuchalis",2.73119908037824,1.74088508933661,-0.221093391716598,2.12628181179909,0.0166190078732643,-0.430051041366522,0.411487807666334
"81","Grallaria ruficapilla",2.18664633621869,1.56977319181037,-0.495891250045275,1.84889074298238,-0.0574613086299293,-0.356360034918936,0.384058215992231
"82","Grallaria rufula",0.65043217441364,1.35344657015685,-0.674054702103287,1.53191573629983,0.00857477039139803,-0.224593281707198,0.195184335390215
"83","Grallaricula nana",-0.43293651834686,1.0687514574864,-0.616984672996654,0.769964777256908,0.265675133936121,-0.0568340914137537,-0.0618201586697003
"84","Hafferia immaculata",1.03485822531419,1.25776928291927,-0.244802087763305,0.372018772433594,-0.33802869733989,0.0990891565386883,0.276400581475797
"85","Hapalopsittaca amazonina",1.603628751254,-1.49556948208733,0.529344287786347,-0.364460822187912,1.62000139731969,0.438164613499379,0.157412176541886
"86","Haplophaedia aureliae",-2.55516041002527,-2.31123165050962,0.301753715144567,0.198264540127198,-0.266245713787077,-0.309991090317155,0.182867288962831
"87","Heliangelus exortis",-2.6866517395691,-2.34051827598918,0.48548722838255,0.129661348199844,-0.271260219385378,-0.314568775163185,0.0583572645788131
"88","Heliodoxa rubinoides",-2.05397488648047,-2.57259835483955,0.266240571603598,0.239793276288257,-0.298910040277484,0.0453347999533449,0.205418332664007
"89","Hellmayrea gularis",-1.07166096550516,0.913834036509122,-0.292615653522444,0.167088657229271,-0.350219657184911,0.113679647227185,-0.154885093390409
"90","Hemitriccus granadensis",-1.63495155961841,1.00374781670115,-0.737010537437363,-0.0623521073816805,-0.144069218960588,0.0311980157327513,-0.330274980653417
"91","Henicorhina leucophrys",-1.04317212079301,1.16904702252264,-0.680278418751094,0.719989664882372,0.0338759476944203,0.219230130876854,-0.0285936546924334
"92","Icterus chrysater",1.26462911826128,0.235672283938199,0.0499840573821029,-0.188725162568222,-0.266990756357176,0.206824099172438,0.307737328676534
"93","Iridosornis rufivertex",-0.0806860788524389,0.641965514054666,0.211851361297128,0.0788588980977513,-0.00651012393689974,-0.0601717255719328,-0.0414981329150051
"94","Kleinothraupis atropileus",-0.0687663884644141,0.800441546251429,-0.0707809446842667,-0.0857518790964298,-0.176379376642643,0.0231944276033187,-0.0308288651481505
"95","Lafresnaya lafresnayi",-2.25189537159526,-2.56171890999978,0.0155050790072564,0.298071504123555,-0.476776216160268,-0.12293417145987,0.0369471044607383
"96","Legatus leucophaius",-0.534780605681781,-0.0640132808461676,-0.101871095686519,-0.302157687616918,0.718863731756658,-0.0315127429393869,0.0988831866200003
"97","Leiothlypis peregrina",-1.59378710450208,0.23793695242158,0.0525691191986364,0.258357914230787,0.0469504435968683,-0.239607989560027,-0.194571427862617
"98","Lepidocolaptes lacrymiger",0.729720030988464,-0.419979360853021,0.0964076869831642,-0.27232263233978,-0.58734902482122,0.514959821509561,-0.170473384026738
"99","Leptopogon rufipectus",-0.99000642058864,0.459017115954189,-0.161064366721606,-0.317033620732454,-0.0463749196229295,0.154622475306406,-0.18808105031861
"100","Lipaugus fuscocinereus",3.95629517051393,-0.341397334614804,0.936700390239671,-1.12288751037304,0.075468127782951,0.230067205222726,-0.440773151101948
"101","Lophotriccus pileatus",-1.74584359790159,0.594450383459229,-0.595512218781329,-0.04691578152175,0.0159085674203814,-0.0797427476868808,-0.298141946560429
"102","Lurocalis rufiventris",1.25819836490643,-2.27825991901869,2.63350008675381,0.0761065710720813,1.39225554834842,1.1920973125589,-0.322069454629945
"103","Lurocalis semitorquatus",0.927867602395657,-2.10572241295357,2.34058112902193,0.00378297306318376,0.996827103380131,0.87063075788329,-0.375040949610826
