"","Species","Comp.1","Comp.2","Comp.3","Comp.4","Comp.5","Comp.6","Comp.7"
"1","Actitis macularius",-0.403396471483276,-1.77386397568126,-0.401298559902469,-0.489926049760661,0.493709442592849,0.435185401377454,0.380653899290417
"2","Amazilia tzacatl",-2.05139560004948,-2.89975004126951,0.118910487031751,-0.136411322388708,-0.195180547940395,-0.31521153983543,0.0387347308039665
"3","Amazona amazonica",3.37116458117868,-0.315010556064715,1.76092799429432,2.17293811247138,0.350926187394703,0.0767470978492693,-0.113158085822467
"4","Amazona farinosa",4.58006063216662,-0.32483458443552,2.07608408941787,2.05537870978749,0.26107227865878,-0.0350143706898187,-0.241631789894247
"5","Amazona ochrocephala",3.84994479648747,-0.272710051413233,2.07142346255593,2.18847988752695,0.294720640779558,0.00217505198009794,-0.097866296805036
"6","Anthracothorax nigricollis",-1.8497321617124,-3.11932984613769,0.0833674561708421,-0.285179720683593,-0.1752002389053,0.0309106269296996,0.0521247351954547
"7","Aramides cajaneus",2.75894018958802,0.571797087556756,-2.0956011991023,0.00182914153984326,0.538946838537649,0.962976898660451,0.35147814238298
"8","Ardea alba",9.16481337938073,-1.60664263823674,-4.60894247241772,-0.176204970279728,-0.635909287810305,-0.67085327835644,-0.0881982836689487
"9","Ardea cocoi",12.4868793791255,-1.59306311212612,-5.34392384976821,0.296935123190734,-0.60224493866375,-2.09319184525728,-0.00682913304950097
"10","Arremon aurantiirostris",-0.285861619118196,1.0018411948317,-0.0402929383679543,0.273963972329374,0.13362821859778,-0.0583692966192283,0.223659629270695
"11","Arremonops conirostris",-0.194827138902372,1.1953302973805,-0.242776407430064,0.195669407116473,0.0669607150041226,-0.00692083847264763,0.211176681184145
"12","Atalotriccus pilaris",-1.94684905713979,0.962634938350065,-0.560830947936049,0.175783490473573,-0.282494993393157,-0.136888902245903,-0.290602614073625
"13","Automolus ochrolaemus",-0.158477140270949,0.446934627514235,-0.170171244331255,-0.178646729938384,0.00486832160556075,0.32783123313357,0.124315774471807
"14","Baryphthengus martii",3.68847173941888,0.746393609307881,1.64338151816899,-1.11391174341899,-1.63966618454507,-0.1267571538339,0.270693571198341
"15","Basileuterus rufifrons",-1.37983922799222,0.926958503787663,-0.27103928412841,-0.189060001344282,-0.183787642959997,-0.248473565143324,-0.0861531623986339
"16","Brotogeris jugularis",0.274080071470858,-1.24072586678391,1.00884219921962,0.715189179283385,0.427733713756206,0.173043434384637,0.260640247771272
"17","Buteo nitidus",4.35151883150577,0.0711516886059207,0.357118493653884,-0.740049787651277,1.19537438350338,-0.4630437383749,0.197420696848387
"18","Buteo platypterus",4.27571811792829,-0.651353028403563,0.932795971914619,-0.89508171197779,1.31414966298631,-0.313673705118265,-0.256981157986616
"19","Butorides striata",2.99185735504233,-0.945881606181548,-1.39387203741785,0.939979775852283,-0.593220614206484,0.786070164906679,0.168142440454833
"20","Campephilus melanoleucos",3.03843836129815,0.0167168639916938,0.533544158533319,0.704363425874624,-0.156805409675519,0.410579241303971,-0.0312427480092531
"21","Camptostoma obsoletum",-1.8975215452492,0.49229048903223,-0.264102337627339,-0.0514325346884625,0.00765960025627349,-0.132290865465881,-0.249672778307678
"22","Campylorhamphus trochilirostris",0.837252019414859,0.0427402276222448,-0.910511259152332,-0.105921053420005,-1.69246110098476,1.07010590450085,-0.178301761388754
"23","Campylorhynchus zonatus",-0.247293931956357,0.78000566704478,-0.368727605037246,-0.408199490864845,-0.216675863146217,0.350350208160993,0.117383040832955
"24","Cantorchilus leucotis",-1.05261598812638,0.761501729701146,-0.598632359361376,-0.0340149103715711,-0.0552272679376882,0.214605950653152,0.0101464822686915
"25","Cantorchilus nigricapillus",-0.755907446310225,0.970251296990653,-0.563996065489849,0.0136011110933603,-0.0364523324655347,0.163157507839427,0.0729348625850683
"26","Capsiempis flaveola",-1.72146529195942,0.770674708924314,-0.228598317704916,0.0171450516195022,-0.15126669703939,-0.293409341931782,-0.226638063333727
"27","Cardellina canadensis",-1.39522448436194,-0.134150819561929,-0.167415727134652,-0.151977375238948,0.0676896229764093,-0.335202722880179,-0.0342594339944354
"28","Catharus minimus",-0.236134087769134,-0.407033850797523,-0.213955889381454,-0.393678879481488,0.552863901527725,-0.134081370568394,0.203979367329525
"29","Catharus ustulatus",-0.333799610935184,-0.441315369355715,-0.139217924236669,-0.381186863493628,0.614461482631338,-0.201555476371303,0.255680672728099
"30","Cercomacra nigricans",-0.78447538536583,0.96664575041253,-0.321190971660727,-0.0405262217128761,-0.237547289066663,-0.0938262166104977,-0.0546482622428065
"31","Cercomacroides tyrannina",-0.864147801807083,1.01225519124144,-0.354086148401329,0.0736069025007665,-0.221535424953611,-0.076968717145503,-0.0567307822535658
