"","Species","Comp.1","Comp.2","Comp.3","Comp.4","Comp.5","Comp.6","Comp.7"
"1","Aburria aburri",6.90211873214148,0.354014653432551,2.53799779587472,-0.144199769878883,-0.47556808084148,-0.159566583296712,-0.444613922727096
"2","Accipiter striatus",2.48606041506447,0.134469507460061,1.33273274657471,0.41959018561627,0.544779603864575,-0.819410600292057,0.207103232683663
"3","Adelomyia melanogenys",-2.43700439704864,-1.99518176936702,0.273605333520468,0.154037689644998,-0.0483779670983633,-0.290431905978479,0.071953217465911
"4","Aglaiocercus kingii",-2.28339663627275,-2.22306655225656,0.347982928744886,0.171291743414797,-0.221840456381774,-0.307923555670422,0.0513136220732064
"5","Amazilia tzacatl",-2.29857572818464,-2.21306884056153,0.0710344327430811,0.207782281175668,-0.0901420532665912,-0.275048905676138,0.0265591730797635
"6","Amazona mercenarius",3.09332606403881,-1.17594384175115,-0.733144040659032,-1.18286749532515,1.69219013606061,0.491873377990396,-0.0764806549001258
"7","Anabacerthia striaticollis",-0.404478174362581,0.502262808513037,0.143232433046891,0.0143041103880211,-0.24520737986871,0.263652481723704,-0.0941722701733193
"8","Anisognathus somptuosus",0.181356367528597,0.359761830886575,-0.0629914863882124,0.0272542237021978,0.191856495845108,0.0973433419166257,0.224757367790722
"9","Anthocephala berlepschi",-2.74183307082568,-2.26046796893852,0.434873118294387,0.344750775489175,-0.225123184358354,-0.2173397633457,0.0173533053284533
"10","Anthracothorax nigricollis",-2.11572398041727,-2.44041267710886,0.202258068846448,0.347642601910019,-0.153885454645885,0.0674032266883217,0.0835933472771665
"11","Arremon brunneinucha",0.420827612019998,1.12114270036589,-0.217374964720965,-0.0190791000084893,-0.0799633368673103,-0.026289977146786,0.226325689914609
"12","Atlapetes albinucha",0.207062516628171,1.10854084827911,-0.307989580841478,-0.225143760380466,-0.0437915045202476,-0.177344805405984,0.203487987953003
"13","Atlapetes fuscoolivaceus",-0.0906474924295233,1.00763232295275,0.00458244662857613,0.00077209919842304,-0.0712352708271594,-0.103489764858688,0.247011305188736
"14","Aulacorhynchus albivitta",4.32379998682101,-0.738129631609244,-3.62431816613498,-0.959743890506982,0.227573087798036,-0.288453651232498,0.478915986897315
"15","Basileuterus tristriatus",-1.04101387562769,0.888485018002863,-0.168736372651226,0.0392019860660816,-0.217007112067947,-0.113783161936392,-0.195938624648036
"16","Boissonneaua flavescens",-1.91076049372561,-2.16167935577268,0.452392344736609,0.14071417128387,-0.0402734966790288,-0.0296049109830359,0.071629188748105
"17","Bubulcus ibis",4.99078709858425,-0.514460102655832,-0.0555340424477175,3.0926851688874,0.392752758089187,-0.641474868542092,-0.148345233016951
"18","Butorides striata",3.39437818915849,-1.07936645065146,-1.44903924755901,2.11957425175072,-0.0375949986628864,0.404763633823815,0.0259348102365229
