"Species","FUSA_H","FUSA_M","FUSA_EXT","FUSA_NEW","weight_z","T_cul_z","Bill_w_z","Wing_l_z","Tail_l_z","Tars_z","HWI_z","Comp.1","Comp.2","Comp.3","Comp.4","Comp.5","Comp.6","Comp.7"
"Adelomyia melanogenys",3,11,NA,NA,-1.4338410962146,-0.342439530728058,-0.840621196600222,-0.718063330893838,-0.809655329807057,-1.08713283076169,2.33275319281148,-2.56710250186925,-2.05230983714918,0.251982407332082,0.193600549722758,-0.0407308214820105,-0.401148406300548,0.15923151212223
"Aglaiocercus kingii",6,10,NA,NA,-1.44941827200097,-0.189926134645016,-0.864105455169076,-0.637936951224943,-0.611247803181388,-1.06874954166001,2.50841977281044,-2.36438691590246,-2.28471426410056,0.346778376210846,0.191377350331038,-0.281857983131491,-0.420598802764069,0.118343269110129
"Amazilia tzacatl",1,0,1,NA,-1.44941827200097,-0.105196470154438,-0.723199903755952,-0.670846000017525,-0.832548505956172,-1.10551611986337,2.43034573725535,-2.42469277075835,-2.29837526412629,0.0545826479512368,0.25668801494465,-0.0469785094660188,-0.3888575534619,0.104309189074204
"Amblycercus holosericeus",1,5,NA,NA,0.579444800884616,0.357992362394059,0.192686180429359,-0.124269624418997,0.375066535909678,0.475446742881357,-0.894306943465744,1.78945320684426,0.684407999172527,-0.377394860044672,0.134266174668734,-0.307450447374,0.216213029655289,0.375696995107731
"Ampelion rubrocristatus",2,0,1,NA,0.534114282407794,-0.195574778944388,-0.136093439534599,0.143295250546775,0.159489127172172,0.0710143826443331,0.0100506350474299,1.10975787760651,0.0399205195872187,0.555137932940191,0.0439665659705673,0.191393403981241,0.380378514168141,0.237772350337037
"Anabacerthia striaticollis",3,1,NA,NA,-0.208770626821609,-0.302899020632454,-0.558810093773973,-0.228720083630234,-0.0331951054162179,-0.229246006016487,-0.412850390875997,-0.0697849321422623,0.372254996583829,0.165487907322779,-0.0971190254315604,-0.242634513550965,0.357873621876762,-0.0904048128711318
"Anisognathus igniventris",4,39,NA,NA,0.0295917240076421,-0.517547504008587,-0.159577698103453,-0.220135114379995,-0.0484572228489616,0.0832699087121219,-0.490924426431091,0.360511066476484,0.667658629706058,0.200650453271785,-0.0830362876616074,0.154619060098704,-0.00345419185455098,0.131652569207057
"Anisognathus somptuosus",4,0,1,NA,0.23290934967144,-0.223818000441248,-0.0656406638280362,-0.162901986045071,-0.0942435751471927,0.046503330508756,-0.217665301988261,0.602371504994906,0.276118077391753,0.0763120872740061,0.0578734963811243,0.229756732851877,0.16088284492946,0.275456633958818
"Ara severus",1,0,1,NA,1.77575371481147,0.888964926535018,3.36306108722467,1.94756962130527,3.14323308527358,-0.186351664779227,0.751753972820824,6.78623162748798,-2.39820108466168,0.891021481556842,-3.18492408146745,0.10002702143906,-0.48047399256719,-0.285109758443509
"Arremon assimilis",2,10,NA,NA,0.133242542141599,-0.302899020632454,0.0282963704473801,-0.281660727340039,0.134688186343964,0.248719510627268,-1.01141799679839,0.818083053131001,1.03272358101943,-0.160804753502484,-0.165359892568458,-0.0607864776234557,-0.0121358191471937,0.167127524874431
"Arremon brunneinucha",4,11,NA,NA,0.224372916924387,-0.252061221938107,-0.0186721466903282,-0.321723917174486,0.130872656985778,0.309997140966211,-0.991899487909612,0.868776883516093,1.05733002795405,-0.167156324449203,-0.0571310833379185,-0.0976969402947419,0.0284565425243489,0.291511580951831
"Asthenes fuliginosa",1,0,1,NA,-0.438389001046394,-0.568385302702934,-0.77016842089366,-0.647952748683555,0.541042062990766,0.00360898927149601,-0.76418355087392,-0.211295884191007,1.04125541868246,0.322480038250659,-0.411757435830676,-1.09982743160104,-0.105763650369824,0.235338969519647
"Atlapetes albinucha",6,0,1,NA,0.0251346829973323,-0.381980040823661,0.0987491461539424,-0.429036032802469,0.111795010194848,0.199697406356113,-0.965874809391247,0.603861531280374,1.0384410308285,-0.257316674709336,-0.277354989327859,-0.0562968235806866,-0.172430570309155,0.274632529686049
"Atlapetes albofrenatus",6,14,NA,NA,-0.0649648074863443,-0.46670970531424,-0.206546215241161,-0.44763679951132,0.00305242348654869,0.162930828152748,-0.731652702725964,0.241713325343841,0.939214481870186,-0.0352704990431466,-0.0774622403121123,-0.105535666613833,-0.103108803725593,0.268604379439956
"Atlapetes pallidinucha",5,16,NA,NA,0.0428072142396448,-0.421520550919265,-0.183061956672307,-0.367510419842426,0.0183145409192924,0.346763719169576,-0.803220568651468,0.513708029750128,1.05048196834706,0.00384547724086248,0.0941234621140304,-0.0802443065722246,-0.126390546594326,0.255859261798836
"Atlapetes schistaceus",8,11,NA,NA,-0.117086594073421,-0.562736658403562,-0.253514732378869,-0.394696155801515,0.115610539553034,0.0648866196104389,-0.770689720503512,0.203623901952979,0.947038215319065,0.107410916759625,-0.269793052986102,-0.179801952577889,-0.0639199967955645,0.160395034456976
"Aulacorhynchus albivitta",6,14,NA,NA,1.34911858250768,2.45363939746104,3.5509351557755,0.294963040634325,0.804313588705596,0.463191216813568,-0.76418355087392,5.25121448303474,-1.18160421032245,-3.07781705421599,-0.883919780066984,0.621944650045727,-0.475667333268261,0.59345569514155
"Basileuterus rufifrons",1,0,1,NA,-0.865299398887922,-0.641817678594769,-0.535325835205119,-0.7466798950613,-0.306005454526513,-0.223118242982593,-0.848763756058606,-1.05299186893725,0.984444665700261,-0.34125150628899,-0.226583006394276,-0.302376834255382,-0.211452510986809,-0.114473232665588
"Basileuterus tristriatus",3,5,NA,NA,-0.757191539743656,-0.540142081206075,-0.535325835205119,-0.600735417807243,-0.40711698251844,-0.20473495388091,-0.699121854578009,-0.909842265004599,0.794038955428752,-0.289661995818635,-0.0441474572059569,-0.144282350148356,-0.0890588850414305,-0.178868842660616
"Boissonneaua flavescens",4,4,NA,NA,-1.04485231283324,-0.172980201746901,-0.817136938031368,-0.40185029684338,-0.561645921524971,-1.06262177862611,2.40432105873698,-1.88273810400756,-2.25444794314918,0.539358472142609,0.168841216599517,-0.0625018315978489,-0.0818299162509214,0.125067028310776
"Bubulcus ibis",0,16,NA,1,1.82478565553723,2.22204498118679,0.568434317531025,2.01911103172392,0.249154067089542,3.25132339723547,0.361383795045353,6.34455197256438,-0.372353000309569,0.478890406932537,4.02182698281026,0.249371613316283,-0.235279840814827,-0.659628089736035
"Buteo platypterus",1,1,NA,NA,1.98706196372765,0.24501947640662,1.15554078175238,2.49557682511217,1.92607922001226,1.81742684730421,0.816815669116736,6.38679303704526,-0.753314475975387,2.74687072795351,0.510943623590905,0.420307285575081,-0.383474432076149,-0.752525921167181
"Buthraupis montana",3,1,NA,NA,0.740256084295069,-0.105196470154438,0.333591731842484,0.363642794636234,0.239615243694077,0.530596610186405,-0.172122114581123,1.98452941078884,0.243812258137584,0.474216389862212,0.227587560616867,0.441637025181555,0.0316320476707057,0.161730905024159
"Cacicus uropygialis",1,0,1,NA,0.473644717403519,0.380586939591546,0.192686180429359,0.466662425639098,0.510517828125279,0.352891482203471,-0.126578927173985,2.08301917477117,-0.189461437070004,0.282077648984779,0.152623380408692,-0.169561977990133,0.209230723165683,-0.182924732641134
"Campephilus pollens",1,0,1,NA,1.32109860171849,1.43688342357409,1.31993059173436,1.02039294227949,0.947395939637569,0.408041349508519,-0.516949104949456,4.28689594830376,-0.719996971824696,-0.516040763728178,-0.205260725493387,0.0561508911116295,0.641441235831498,-0.260951040319739
"Campylorhamphus pusillus",1,1,NA,NA,0.161754086572972,1.75320750433892,-0.464873059498556,-0.109961342335266,0.327372418932354,-0.180223901745333,-0.529961444208638,1.35417370293858,-0.613026097469661,-1.20856901380575,0.510825504868403,-1.37214764950484,1.22704409875814,-0.073311761300615
"Cardellina canadensis",3,2,NA,NA,-0.894929324367323,-0.619223101397281,-0.511841576636265,-0.583565479306765,-0.479612040323973,-0.278268110287642,0.101137009861706,-1.18083181856404,0.167292120031798,-0.01702562870379,0.047803261969785,-0.00864525969423597,-0.363256488090896,-0.0778152793813969
"Catamblyrhynchus diadema",0,2,NA,1,-0.635358895426366,-0.766087853180951,-0.323967508085432,-0.547794774097437,-0.153384280199075,-0.155712849609756,-0.777195890133103,-0.60355986755273,0.949779857241943,-0.0684612793407631,-0.380060887948799,-0.0982077449771821,-0.261984379453729,-0.106373063939807
"Catharus fuscater",0,1,NA,1,0.0228962628116431,-0.353736819326802,-0.605778610911681,-0.212980973338129,0.0202223055983855,0.585746477491454,-0.4844182568015,0.53157186510658,0.925348342835163,0.418698593382391,0.642922075990277,-0.30332167013178,-0.0864882855822594,0.15049934337441
"Catharus ustulatus",0,10,NA,1,-0.0574476682512031,-0.545790725505446,-0.37093602522314,-0.0956530602515346,-0.182000750385469,0.359019245237365,0.485001018007586,0.242380621203542,0.085052847596601,0.727611212611885,0.574440165854069,0.225826000983483,-0.354410443579073,0.212174267371288
"Chaetocercus heliodor",1,0,1,NA,-2.1108053647334,-0.444115128116752,-1.14591655799533,-1.04429216240291,-1.14160638396923,-1.22194361750736,2.43034573725535,-3.66793045074864,-2.05085638057327,-0.00748392555114641,0.363301122816849,-0.220640189466042,-0.670521915904217,-0.00989134855081886
"Chaetocercus mulsant",0,1,NA,1,-1.60628280633325,-0.167331557447529,-1.12243229942647,-0.9169484518577,-1.07674238488007,-1.185177039304,2.70360486169818,-3.1363391307112,-2.37268188001472,0.0914145211052328,0.544573356170447,-0.146977654379872,-0.327575744368859,0.301877024704499
"Chalcothraupis ruficervix",4,0,1,NA,-0.410030369531234,-0.574033947002306,-0.488357318067411,-0.404711953260126,-0.588354627032272,-0.431462186134999,0.0165568046770212,-0.878768536338807,0.118254972323748,0.0579851045971345,0.00739891886730932,0.361364148898822,0.181724818360219,0.0235178599689362
"Chlorophanes spiza",4,0,1,NA,-0.410030369531234,-0.455412416715496,-0.394420283791994,-0.500577443221125,-0.565461450883156,-0.296651399389325,0.0230629743066122,-0.766880451725932,0.139728955305412,-0.112411558380892,0.112061912526211,0.276276914348126,0.026833248347825,0.155322532661733
"Chlorophonia cyanocephala",0,2,NA,1,-0.640735902182191,-0.82257429617467,-0.488357318067411,-0.559241399764422,-0.763868977508825,-0.566272972880673,0.296322098749442,-1.43774180274068,-0.00598518601386017,0.101430732436676,-0.0735467214554963,0.531418580948714,-0.0470406186091961,0.0941230163145243
"Chlorornis riefferii",1,7,NA,NA,0.364966910091915,-0.20122342324376,0.122233404722797,0.051722245210896,0.178566773963102,0.340635956135682,-0.399838051616814,1.28343108388448,0.463974367644051,0.232915877771954,0.0577269752371401,0.159448480433627,-0.0121125023207117,0.143224660626092
"Chlorospingus canigularis",9,3,NA,NA,-0.450876330971447,-0.534493436906703,-0.488357318067411,-0.487699989345767,-0.424286864630277,-0.296651399389325,-0.295739337543355,-0.737063005554768,0.42576347504883,-0.0541745371066517,-0.0361022885661922,0.0973855104990562,0.0891349542433276,0.031547584796199
"Chlorospingus flavopectus",3,11,NA,NA,-0.371280016258554,-0.523196148307959,-0.323967508085432,-0.514885725304856,-0.267850160944653,-0.143457323541967,-0.568998461986185,-0.414760101684596,0.694517068700205,-0.152474901745718,-0.131888317807091,0.0174543773505163,-0.033998733407375,0.0895812066517444
"Chrysomus icterocephalus",1,0,1,NA,-0.0475397720098978,-0.223818000441248,-0.253514732378869,-0.253044163172577,-0.172461926990005,0.22420845849169,-0.438875069394361,0.36490167227056,0.573568185715758,-0.0333336334041634,0.311697483397089,0.0180141162763848,-0.00359290690238069,0.101773537405838
"Cinclus leucocephalus",1,0,1,NA,0.224372916924387,-0.31984495353057,-0.652747128049389,-0.253044163172577,-0.550199333450413,0.303869377932316,-0.198146793099488,0.0840982396095408,0.598204561652934,0.24118673782264,0.870724434449147,0.310982105601547,0.327333757076339,0.33011997675701
"Cinnycerthia olivascens",2,6,NA,NA,-0.221054901709833,-0.342439530728058,-0.535325835205119,-0.524901522763468,-0.227787102683701,0.0955254347799104,-0.972380979020838,-0.157627789460193,1.09198165562544,-0.246318719915264,0.173767488441641,-0.230660969066883,0.168311240286581,0.105357157341644
"Cinnycerthia unirufa",8,17,NA,NA,-0.0802272712248492,-0.291601732033711,-0.558810093773973,-0.42474354817735,-0.119044515975402,0.193569643322219,-0.783702059762694,0.100653043309027,0.960075172708254,-0.046182134436742,0.278965608708432,-0.276390249478807,0.177703771397131,0.170320348405792
"Cnemathraupis eximia",2,0,1,NA,0.491937772423916,-0.212520711842504,0.216170438998213,0.191943409631461,0.262508419843193,0.401913586474625,-0.393331881987223,1.58322282419956,0.446626185469329,0.362153684522037,0.0286785311479825,0.239578901180244,-0.00561289773501104,0.0988979602701345
"Cnemoscopus rubrirostris",1,0,1,NA,-0.450876330971447,-0.444115128116752,-0.511841576636265,-0.2730757580898,-0.159107574236354,-0.112818508372496,-0.477912087171909,-0.275128948354803,0.54068646479091,0.108426215265975,-0.00692225629472623,-0.155014704224504,0.0616213574307007,-0.232769382108318
"Coccyzus melacoryphus",1,0,1,NA,0.316400265406715,0.0586142145273474,0.00481211187852609,0.186220096797968,1.17060440709145,0.046503330508756,0.205235723935165,1.73396696235072,-0.345368639308026,0.774596404409282,-0.617735786284811,-0.872491417979483,0.0127601968359592,0.189419593069783
"Coeligena bonapartei",3,16,NA,NA,-1.22037128284815,0.651721865961398,-0.934558230875639,-0.429036032802469,-0.67038850823327,-1.11164388289727,2.43034573725535,-1.82428292717698,-2.71998341411842,-0.149298307239478,0.596221206363797,-0.502855984163533,0.20319158984228,-0.0547857747752466
