"Species","HON_H","HON_M","HON_EXT","HON_NEW","weight_z","T_cul_z","Bill_w_z","Wing_l_z","Tail_l_z","Tars_z","HWI_z","Comp.1","Comp.2","Comp.3","Comp.4","Comp.5","Comp.6","Comp.7"
"Actitis macularius",2,0,1,NA,0.159886431085358,0.0981547246229507,-0.817136938031368,-0.0412815883333562,-0.473888746286694,0.0281200414070731,1.5064696498534,-0.406094717960776,-1.72091338068049,-0.387967575309956,-0.500879263930264,0.487987467701255,0.439174892087827,0.372703908244506
"Adelomyia melanogenys",2,NA,NA,NA,-1.4338410962146,-0.342439530728058,-0.840621196600222,-0.718063330893838,-0.809655329807057,-1.08713283076169,2.33275319281148,-2.20243534959422,-2.64531219602661,0.149209520512365,-0.270085175946604,-0.0459311815488618,-0.303974924572945,0.0706302264663485
"Amazilia tzacatl",1,22,NA,NA,-1.44941827200097,-0.105196470154438,-0.723199903755952,-0.670846000017525,-0.832548505956172,-1.10551611986337,2.43034573725535,-2.05521609704303,-2.81783394489335,0.121727116646717,-0.121486449642392,-0.188542355188174,-0.297317568508994,0.0368715302079832
"Amazona amazonica",0,1,NA,1,1.83299732616918,0.742100174751348,2.86989165727873,1.41530152779047,0.407498535454258,-0.143457323541967,0.250778911342303,3.36657430602429,-0.301925975379428,1.78648746903955,2.12464503097227,0.402833878641051,0.0639920068752926,-0.112438926970052
"Amazona farinosa",0,6,NA,1,2.23025726867152,1.09231612131241,3.33957682865581,1.9833403265146,1.07140064377861,0.193569643322219,0.276803589860668,4.57745065048024,-0.316611663281049,2.1079073944681,1.99813245647209,0.290319563025934,-0.0464665579473448,-0.237031110635237
"Amazona ochrocephala",2,32,NA,NA,2.02473754857916,0.809883906343811,3.17518701867383,1.56840014608639,0.737541824937342,-0.106690745338601,0.257285080971895,3.84711793343922,-0.259987938690276,2.09916648757546,2.1345041225067,0.335689039602764,-0.00981284782631495,-0.0954764657688371
"Anthracothorax nigricollis",1,0,1,NA,-1.16438521029096,0.0981547246229507,-0.88758971373793,-0.529194007388587,-0.775315565583383,-1.1790492762701,2.58649380836554,-1.85544441803075,-3.03558158510283,0.0861602815641733,-0.268373696283348,-0.170086789872196,0.0476909978566886,0.0492573548680127
"Aramides cajaneus",0,2,NA,1,1.88620728904807,1.54420766526216,-0.206546215241161,1.07905689882279,-0.286927807735583,2.40569209855806,-0.829245247169832,2.75666788759403,0.537335010992492,-2.07977053155579,0.00409805927677101,0.578046739676697,0.953833725415221,0.339161821383756
"Ardea alba",0,3,NA,1,2.48004159448746,5.78069088979109,1.36689910887207,3.94214414377738,1.19540534791966,7.22211384319897,0.50451952689636,9.13593735946811,-1.6888662436857,-4.56213798128326,-0.12514022131431,-0.586617802244537,-0.654896149455114,-0.0889359820711844
"Ardea cocoi",0,2,NA,1,3.00792757713198,6.9443116154617,2.94034443298529,5.19411882610386,1.9165403966168,9.96735168238362,0.485001018007586,12.4488842666316,-1.70508797657875,-5.27125970514969,0.331954201770435,-0.548248831507065,-2.07373768425764,-0.00317022243024917
"Arremon aurantiirostris",1,27,NA,NA,0.040620624406443,-0.449763772416124,0.0987491461539424,-0.437621002052708,-0.218248279288236,0.107780960847699,-0.848763756058606,-0.26717432596719,1.00456441133895,-0.039642828890446,0.26431227736415,0.133763996394914,-0.057073340803966,0.219653174196575
"Arremonops conirostris",7,8,NA,NA,0.0706715397323325,-0.336790886428686,0.00481211187852609,-0.423312719968977,-0.19535510313912,0.267102799728951,-1.05045501457593,-0.174792231503942,1.19103279728509,-0.243852656341478,0.191195894426219,0.066868804556048,-0.00513387261992315,0.20703153763952
"Atalotriccus pilaris",2,11,NA,NA,-1.18628431635844,-0.58533123560105,-0.652747128049389,-0.888331887690238,-0.847810623388916,-0.511123105575625,-1.01141799679839,-1.92515939313694,0.964436250981442,-0.574775524655723,0.198296039516109,-0.266451613608886,-0.129694161466268,-0.292376371954488
"Automolus ochrolaemus",1,1,NA,NA,0.156137211182024,-0.0826018929569502,-0.323967508085432,-0.228720083630234,-0.0484572228489616,-0.0147742998301869,-0.445381239023953,-0.141329107060087,0.455772883717947,-0.170887515112397,-0.179014291673811,-0.00755905395259536,0.331702465394083,0.120722307727108
"Baryphthengus martii",2,0,1,NA,1.22291485795391,1.43123477927472,1.2964463331655,0.678425000478318,3.2996697889592,0.542852136254194,-0.536467613838229,3.73176706289687,0.737488619650516,1.64079801003536,-1.10375909366146,-1.77782824526906,-0.0960674442468633,0.284463185441196
"Basileuterus rufifrons",0,29,NA,1,-0.865299398887922,-0.641817678594769,-0.535325835205119,-0.7466798950613,-0.306005454526513,-0.223118242982593,-0.848763756058606,-1.35503019938089,0.933533297892285,-0.278752329445663,-0.18136886945331,-0.199985717813037,-0.239665656007736,-0.0869608848351577
"Brotogeris jugularis",3,66,NA,NA,0.497938330261607,-0.161682913148157,0.709339868944149,0.106093717129074,-0.222063808646422,-0.713339285694137,1.14863032022589,0.273254091324002,-1.190071466935,1.02382142753132,0.684568021650157,0.442125598558274,0.171291459663953,0.256523537784641
"Buteo nitidus",0,10,NA,1,2.08864777148671,0.357992362394059,1.17902504032123,2.06060504976674,1.76964251632664,2.50373630710037,0.205235723935165,4.36193507937543,0.0794573922138187,0.407875081037913,-0.830947977453597,1.10280424325725,-0.469292585672036,0.199264719805065
"Buteo platypterus",0,1,NA,1,1.98706196372765,0.24501947640662,1.15554078175238,2.49557682511217,1.92607922001226,1.81742684730421,0.816815669116736,4.28405861295588,-0.624020058287426,0.988050520954574,-0.997964829582725,1.20584968820178,-0.321496213660619,-0.251296999162128
"Butorides striata",1,5,NA,NA,1.37389018732096,2.61745008214282,0.709339868944149,1.01037714482088,-0.269757925623746,1.42525001313497,0.283309759490259,2.98013023774884,-0.963606051151725,-1.38988240552349,0.985832965852957,-0.511412705317581,0.790592640257501,0.161087439994331
"Campephilus melanoleucos",0,1,NA,1,1.55473979202798,1.22223494019796,1.41386762600977,1.15489079386656,0.792867000631039,0.555107662321982,-0.159109775321941,3.04518543889452,0.0125369866316864,0.5468662555663,0.692041451843202,-0.150463752738898,0.409997916971512,-0.0307565766484351
"Camptostoma obsoletum",0,3,NA,1,-1.05412195379311,-0.799979718977182,-0.699715645187098,-0.729509956560823,-0.704728272456943,-0.603039551084039,-0.510442935319864,-1.87802742980182,0.509811823311334,-0.270647710419481,-0.0464178404230401,0.00631313953758166,-0.126719398249694,-0.251368304687011
"Campylorhamphus trochilirostris",0,1,NA,1,0.167329508631309,2.07518022940312,-0.417904542360848,-0.0684673242924454,0.268231713880472,-0.137329560508073,-0.601529310134141,0.854180427766347,0.0207796251215052,-0.93856457378218,-0.0183388235761659,-1.67095375605335,1.09112719987304,-0.178319347866024
"Campylorhynchus zonatus",2,7,NA,NA,0.0428072142396448,0.00212777153362837,-0.535325835205119,-0.356063794175441,0.0793630106502675,0.0832699087121219,-0.76418355087392,-0.225116024599477,0.780096159768015,-0.374685668272252,-0.397716470403102,-0.23814193208785,0.357555935570588,0.1144768471472
"Cantorchilus leucotis",2,5,NA,NA,-0.394290919818782,-0.291601732033711,-0.629262869480535,-0.589288792140258,-0.567369215562249,-0.106690745338601,-0.790208229392285,-1.03456402352682,0.76403397629691,-0.605885338489029,-0.0217712058974151,-0.0479390732286218,0.218695541996782,0.0055633363647489
"Cantorchilus nigricapillus",0,3,NA,1,-0.236696583858362,-0.269007154836223,-0.464873059498556,-0.536348148430453,-0.449087805458485,0.0710143826443331,-0.946356300502473,-0.736800744944534,0.96809696247171,-0.569909034282461,0.022382770081653,-0.0312528279476609,0.166636563900946,0.0683731889936786
"Capsiempis flaveola",0,1,NA,1,-1.09238158521679,-0.743493275983463,-0.511841576636265,-0.776727287437135,-0.559738156845878,-0.474356527372259,-0.744665041985147,-1.69900153627794,0.781412849116664,-0.236859284268071,0.0255821889476701,-0.154909832719743,-0.285763894521864,-0.227204823913648
"Cardellina canadensis",0,10,NA,1,-0.894929324367323,-0.619223101397281,-0.511841576636265,-0.583565479306765,-0.479612040323973,-0.278268110287642,0.101137009861706,-1.38019969598626,-0.105201391129262,-0.166685217895404,-0.154289195072349,0.0568839268256856,-0.327032534939174,-0.0359874272961716
"Catharus minimus",1,8,NA,NA,-0.0257109778471628,-0.427169195218637,-0.394420283791994,-0.0355582754998639,-0.164830868273633,0.383530297372942,0.419939321711674,-0.226622325383716,-0.375260488343631,-0.199455268189571,-0.41981951356922,0.52810162081263,-0.131633526641821,0.199817994820297
"Catharus ustulatus",0,47,NA,1,-0.0574476682512031,-0.545790725505446,-0.37093602522314,-0.0956530602515346,-0.182000750385469,0.359019245237365,0.485001018007586,-0.324416854492977,-0.406261108212075,-0.123613495104511,-0.411161355038811,0.588167074927623,-0.199300154114067,0.251298399617306
"Cercomacra nigricans",5,8,NA,NA,-0.512045725817313,-0.308547664931827,-0.323967508085432,-0.542071461263945,-0.218248279288236,-0.0454131149996584,-0.9268377916137,-0.761682966333598,0.966199103961685,-0.328299459678241,-0.0300881482428562,-0.245161821189445,-0.0863059971183029,-0.0559699640220991
"Cercomacroides tyrannina",0,12,NA,1,-0.525823607874485,-0.325493597829942,-0.300483249516577,-0.580703822890019,-0.332714160033814,-0.0821796932030242,-0.978887148650429,-0.84216348617308,1.0106789536894,-0.361866341718274,0.0850705925939122,-0.221602239583984,-0.0704006977284148,-0.0585889788630891
"Certhiaxis cinnamomeus",0,10,NA,1,-0.578607793679776,-0.461061061014868,-0.746684162324806,-0.629351981974705,-0.298374395810141,-0.321162451524902,-0.712134193837191,-1.2259529013672,0.733732096705342,-0.34568370022052,-0.326639437265318,-0.158105570444369,0.144452869862739,-0.0710226965781637
"Chalybura buffonii",2,12,NA,NA,-1.18628431635844,0.15464116761667,-0.864105455169076,-0.563533884389542,-0.708543801815129,-1.185177039304,2.71011103132777,-1.82601634435518,-3.16492290877852,0.134416496586766,-0.297066585944336,-0.244652001502335,0.0112210870511782,0.100197844426834
"Chiroxiphia lanceolata",0,7,NA,1,-0.430177330414443,-0.664412255792257,-0.488357318067411,-0.473391707262036,-0.555922627487692,-0.345673503660479,-0.861776095317788,-1.1557127405524,0.913647609941735,-0.26030517184927,0.0436350271442588,0.175116891858583,0.134994946497385,-0.165173199097383
"Chlorestes julie",1,1,NA,NA,-1.73248653088702,-0.449763772416124,-1.21636933370189,-0.861146151731149,-0.988985209641796,-1.20356032840568,0.393914643193309,-2.69917285825102,-0.688879148741733,-0.442153184119952,-0.214915688589301,-0.385391587393055,-0.00197682895349419,-0.491433042038218
"Chloroceryle americana",0,4,NA,1,0.0228962628116431,1.01888374542057,0.00481211187852609,-0.37895704550941,-0.382316041690231,-0.976833096151591,0.081618500972933,-0.171252781504749,-0.488515875739102,-0.0535072422879346,0.668785463908124,-0.902180348540591,0.849867422493417,-0.0185738568955239
"Chlorophanes spiza",2,0,1,NA,-0.410030369531234,-0.455412416715496,-0.394420283791994,-0.500577443221125,-0.565461450883156,-0.296651399389325,0.0230629743066122,-1.03863827589841,-0.0407830487581325,-0.160656274715792,0.0602480028873938,0.176709247930708,0.0221958599451045,0.0929185145562003
"Chlorophonia cyanocephala",0,1,NA,1,-0.640735902182191,-0.82257429617467,-0.488357318067411,-0.559241399764422,-0.763868977508825,-0.566272972880673,0.296322098749442,-1.54595140152,-0.289687394745332,0.00551810332712263,0.0603443819966188,0.406470847600224,-0.0756422259744899,0.0197695870131401
"Chlorostilbon gibsoni",0,3,NA,1,-1.91259801510546,-0.269007154836223,-1.0050110065822,-0.771003974603643,-0.948922151380843,-1.14841046110063,2.76866655799409,-2.58218389940264,-3.19028871120425,0.00706761895898766,-0.343282694107502,-0.177724948099361,-0.521685412937933,-0.0488578625489503
"Chrysolampis mosquitus",0,2,NA,1,-1.60628280633325,-0.206872067543132,-1.02849526515106,-0.706616705226853,-0.874519328896218,-1.23419914357515,2.84023442391959,-2.39750781636161,-3.25737295045196,0.109246704038739,-0.394467227379078,-0.113610016976074,-0.268265699068072,0.0344709921670024
"Chrysuronia goudoti",1,8,NA,NA,-1.58715605662463,-0.246412577638735,-0.934558230875639,-0.771003974603643,-0.916490151836263,-1.1790492762701,2.51492594244003,-2.3839199748766,-2.89605138744936,0.0650515667322311,-0.256844802223821,-0.132978748793549,-0.293500065179785,0.041054202829618
"Ciccaba virgata",0,1,NA,1,1.63315476754789,0.5105057584771,0.662371351806441,1.96473955980574,1.35947311032165,1.03307317896574,-0.230677641247444,3.25190683137441,0.246146421723123,0.492952812973503,-0.640254853060136,0.604239232376363,0.355144676177108,-0.541645675282186
"Claravis pretiosa",0,6,NA,1,0.555459730509874,-0.415871906619893,-0.699715645187098,0.107524545337447,-0.0331951054162179,-0.455973238270576,0.153186366898436,-0.262071114442826,-0.13235978800535,0.183280870683906,-0.590351378245343,0.545172109269154,0.822647719433633,0.0320235918247303
"Clibanornis rubiginosus",0,1,NA,1,0.148582485625823,0.137695234718554,-0.347451766654286,-0.25018250675583,-0.019840752662567,0.101653197813805,-0.87478843457697,-0.0160341860274539,0.850016960454678,-0.406344251729754,-0.138999202943615,-0.23415990315243,0.404806931789963,0.0532404695044179
"Cnemotriccus fuscatus",0,11,NA,1,-0.662635008249669,-0.574033947002306,-0.183061956672307,-0.523470694555095,-0.290743337093769,-0.33341797759269,-0.666591006430053,-0.999265689350209,0.73105711041754,0.00120830724778105,0.0927469993544962,-0.102071119121603,-0.225364657000257,-0.143214012295974
"Coccycua minuta",0,1,NA,1,0.139031583955346,-0.0261154499632312,-0.183061956672307,0.0374139631271649,1.33657993417254,0.0587588565765446,-0.634060158282097,0.673526618631096,0.81095049398106,0.540178541064023,-1.07798129735321,-0.579841970504568,0.0313414723110094,-0.0292697962164691
"Coereba flaveola",4,8,NA,NA,-0.894929324367323,-0.607925812798538,-0.605778610911681,-0.696600907768241,-0.834456270635265,-0.41920666006721,-0.334776355320903,-1.66191601301882,0.287754088145718,-0.416689710670406,0.116463874023651,0.0632767985045113,-0.0952373522974795,-0.120417084915766
"Colaptes punctigula",0,6,NA,1,0.483456105435703,0.0529655702279754,0.192686180429359,0.0688921837113732,-0.170554162310912,-0.155712849609756,-0.37381337309845,0.345642143495998,0.337792342058369,0.103062784787209,0.36016230003068,0.145568176190444,0.424119171456352,0.0236748571463398
"Colinus cristatus",18,2,NA,NA,1.06851170062781,-0.534493436906703,0.00481211187852609,-0.0369891037082369,-0.416655805913905,0.254847273661162,0.088124670602524,0.271096479951398,0.0848126795336613,0.0771900606831455,0.17156099096612,1.03772848333114,0.500883088966083,0.618597215641101
"Colonia colonus",3,1,NA,NA,-0.438389001046394,-0.653114967193513,-0.206546215241161,-0.321723917174486,1.56169616630551,-0.529506394677308,-0.354294864209676,-0.147807175587997,0.679259872666488,1.20994738404919,-1.31185653477567,-0.677196935777403,-0.354794494206274,-0.0516130234040471
"Columbina passerina",2,6,NA,NA,0.0600757663219152,-0.568385302702934,-0.864105455169076,-0.310277291507501,-0.347976277466558,-0.523378631643413,0.0686061617137504,-0.983020886845359,-0.0528920032311955,-0.0477923459755367,-0.481270422612663,0.412653135795318,0.605845603926135,0.0848116799583463
"Columbina talpacoti",0,62,NA,1,0.257954723743004,-0.551439369804819,-0.723199903755952,-0.235874224672099,-0.229694867362794,-0.449845475236682,-0.289233167913764,-0.701681111199323,0.351550250409148,0.000832789308583819,-0.417109233484419,0.403943764931154,0.667966735730935,0.0678166905277695
"Conirostrum leucogenys",2,5,NA,NA,-1.16438521029096,-0.726547343085348,-0.77016842089366,-0.708047533435226,-0.864980505500753,-0.590784025016251,-0.146097436062758,-1.99091613287562,0.0731448640899736,-0.377899023757805,-0.02473693386912,0.056268071002671,-0.166588700464568,-0.250351178266039
"Contopus cinereus",1,2,NA,NA,-0.78280301819538,-0.494952926811099,0.0282963704473801,-0.471960879053663,-0.332714160033814,-0.652061655355194,-0.0615172308780732,-1.04189520117056,0.049520535434531,0.321830495355271,0.283939267011051,-0.14848512767552,-0.308754186860518,-0.178860591916124
"Contopus virens",0,2,NA,1,-0.646151454118257,-0.545790725505446,0.0282963704473801,-0.31886226075774,-0.288835572414676,-0.584656261982356,0.432951660970857,-0.893304599534276,-0.442106399522412,0.441512702094509,0.159704518944698,0.0795744137441669,-0.332258878315245,-0.0986249640527674
"Coragyps atratus",0,11,NA,1,3.06170872656603,2.03563971930751,2.02445834879998,4.38999337299817,1.94897239616138,3.20842905599821,-0.65357866717087,7.35405140913333,0.3847053773486,-0.219958823799634,-0.135017513288075,1.09086844610302,0.163959925186966,-1.33317415676204
"Corapipo leucorrhoa",2,1,NA,NA,-0.776318289452274,-0.777385141779695,-0.699715645187098,-0.647952748683555,-0.817286388523428,-0.541761920745096,-0.360801033839267,-1.73040920573059,0.353653146465452,-0.307691691711445,0.013612054847829,0.219031977932605,0.0381704235315122,-0.144556056721654
"Coryphospingus pileatus",0,10,NA,1,-0.573653898814021,-0.681358188690372,-0.37093602522314,-0.566395540806288,-0.391854865085696,-0.406951133999422,-0.386825712357632,-1.18323456436625,0.455835630993029,0.000758571347311776,-0.0251142405788225,0.07945263978068,-0.0942374165878058,-0.0340658363616513
"Crotophaga ani",0,34,NA,1,0.917286124703694,0.374938295292174,0.873729678926129,0.58255951051732,1.96041898423594,0.738940553338811,0.0295691439362035,2.42877078306897,0.226145844504711,1.1154109660073,-0.796753206616295,-0.429971842647201,-0.351810164466133,0.339611420407334
"Crotophaga major",1,21,NA,NA,1.14230039448856,1.31261324898791,1.76613150454258,1.29225030187038,3.3263784944665,1.05758423110131,-0.0419987219892996,4.34765315554339,0.238017124196748,1.74703589615281,-0.970148070443521,-1.32943527487093,-0.698245260770958,0.0378760116115808
"Crotophaga sulcirostris",0,3,NA,1,0.694673035641608,0.165938456215414,0.779792644650712,0.372227763886473,1.61892910667829,0.616385292660925,-0.328270185691311,1.91974943852046,0.595808551359734,0.942554489672352,-0.591543594216504,-0.38118195433813,-0.362203939265063,0.269140203003439
