"Species","SAGU_H","SAGU_M","SAGU_EXT","SAGU_NEW","weight_z","T_cul_z","Bill_w_z","Wing_l_z","Tail_l_z","Tars_z","HWI_z","Comp.1","Comp.2","Comp.3","Comp.4","Comp.5","Comp.6","Comp.7"
"Aburria aburri",4,0,1,NA,2.8410618498965,0.742100174751348,0.732824127513004,3.34691960909417,4.05514460188002,2.5772694635071,-0.562492292356594,7.1569012988339,0.336091058553801,2.74244245343282,-0.0901277288743197,-0.682692166152823,-0.221239642032373,-0.499212957215706
"Accipiter striatus",0,1,NA,1,1.04628211937572,-0.31984495353057,0.263138956135921,1.12055091686561,1.07712393781589,1.60295514111791,0.413433152082083,2.60215659175757,0.155644561040217,1.39223289642342,0.507414133706575,0.455333713038341,-0.869690877738336,0.161423941563543
"Adelomyia melanogenys",0,16,NA,1,-1.4338410962146,-0.342439530728058,-0.840621196600222,-0.718063330893838,-0.809655329807057,-1.08713283076169,2.33275319281148,-2.44930053515938,-1.98304187910619,0.195226019972586,0.170902315122905,-0.033642549758888,-0.291418662042424,0.0613227148274381
"Aglaiocercus kingii",26,6,NA,NA,-1.44941827200097,-0.189926134645016,-0.864105455169076,-0.637936951224943,-0.611247803181388,-1.06874954166001,2.50841977281044,-2.28863401358142,-2.21176447810272,0.268313309516653,0.183404601263588,-0.21611206980243,-0.31253403126352,0.0359954566416643
"Amazilia tzacatl",0,1,NA,1,-1.44941827200097,-0.105196470154438,-0.723199903755952,-0.670846000017525,-0.832548505956172,-1.10551611986337,2.43034573725535,-2.31103737643004,-2.19697784779274,-0.0131752896046415,0.217206465923895,-0.0697832033056597,-0.2716754803827,0.0165352663478162
"Amazona mercenarius",4,0,1,NA,1.76911707248249,0.487911181279612,2.14187964164425,1.5841392563785,0.438022770319746,-0.180223901745333,0.524038035785133,3.18746334967712,-1.15583255319989,-0.599171696652629,-1.17519023869281,1.70861515704059,0.513200184583142,-0.0272740679222841
"Anabacerthia striaticollis",12,1,NA,NA,-0.208770626821609,-0.302899020632454,-0.558810093773973,-0.228720083630234,-0.0331951054162179,-0.229246006016487,-0.412850390875997,-0.375635207000657,0.501742455059073,0.15800236926634,0.0046002763485643,-0.260990663263821,0.268943478093119,-0.083025441734088
"Anisognathus somptuosus",16,6,NA,NA,0.23290934967144,-0.223818000441248,-0.0656406638280362,-0.162901986045071,-0.0942435751471927,0.046503330508756,-0.217665301988261,0.218087671397174,0.374469740159303,-0.0393757542765161,0.0309989160013099,0.176417872780465,0.0868906036713253,0.239435547959877
"Anthocephala berlepschi",0,7,NA,1,-1.60628280633325,-0.269007154836223,-1.14591655799533,-0.742387410436181,-0.86307274082166,-1.185177039304,2.6125184868839,-2.75876461100451,-2.25108499957037,0.336046941746461,0.363405440731179,-0.212215052507331,-0.216295428896917,0.00677362164479456
"Anthracothorax nigricollis",0,1,NA,1,-1.16438521029096,0.0981547246229507,-0.88758971373793,-0.529194007388587,-0.775315565583383,-1.1790492762701,2.58649380836554,-2.12356010118806,-2.4275139486718,0.113741725119126,0.356084763716868,-0.140120935645935,0.0694489421304268,0.0914250600932945
"Arremon brunneinucha",4,17,NA,NA,0.224372916924387,-0.252061221938107,-0.0186721466903282,-0.321723917174486,0.130872656985778,0.309997140966211,-0.991899487909612,0.462530891914609,1.13621420061656,-0.177406687983301,-0.0318193713654127,-0.105709915922012,-0.0418203757039512,0.231153064701673
