"","Species","Comp.1","Comp.2","Comp.3","Comp.4","Comp.5","Comp.6","Comp.7"
"1","Accipiter superciliosus",1.23548601408857,0.137743318145965,1.01411523051342,0.122046981911882,0.0167719355869188,-0.220125059244645,0.264891134761722
"2","Actitis macularius",-0.536610644025483,-1.22063450555275,0.702176215688955,0.803309330161258,-0.185054114722988,0.20029519102505,0.295916313780505
"3","Amaurolimnas concolor",0.669185689353144,0.231772213999317,0.828647834128363,1.41055241725075,-0.0015371742554945,0.354761265763333,0.318726633352302
"4","Amazilia tzacatl",-2.36970648787988,-2.31595658269603,-0.0563366264737395,0.175583469936262,-0.343912863109863,-0.31450855018677,-0.0470265048355478
"5","Amazona farinosa",4.11166542670842,-0.928571518765715,-0.875091981989707,-0.638408432362187,1.69760368764273,-0.336140483354084,-0.0306160406435374
"6","Amblycercus holosericeus",0.911975303975841,0.975260332546992,-0.110240404863071,0.00241862922351069,-0.332390579868733,0.232815416289291,0.315295272635545
"7","Androdon aequatorialis",-1.72955931740649,-2.55838029808361,-0.523630643204328,0.454922083871099,-0.680383862806403,0.233421992340823,-0.136299176430354
"8","Arremon aurantiirostris",-0.235913870801719,1.10286805567796,-0.0521055916480796,-0.0896662091337757,0.105740448340037,-0.126695982916724,0.210351873712663
"9","Arremonops conirostris",-0.105303530616111,1.31467939796702,-0.0353261705172135,0.0212111541650889,-0.0438957902183786,-0.0692845430362254,0.18051388783846
"10","Attila spadiceus",0.0505157382977288,0.751993133450649,-0.227975452615536,0.00497972172156873,0.102463377763377,-0.0562431738761435,0.128412469831673
"11","Automolus subulatus",-0.412144033945429,0.39435650513478,-0.123807971252309,-0.00451296087501291,-0.256399595915973,0.358605128229038,0.00319011185310884
"12","Baryphthengus martii",3.651356387662,-0.0229682856064584,-0.178750319439041,-1.96822984196491,-1.32750313950299,0.456325711227177,0.639279458320168
"13","Butorides striata",2.82914436365037,-0.504075827729386,-0.688953897361363,2.06424415556886,-0.574902425205333,0.371726934986155,-0.103946146204152
"14","Cacicus uropygialis",1.06699369204276,0.0994564996670096,0.220300494644775,-0.0711229475723377,-0.254723066044781,0.135469649467209,-0.0336049668872941
"15","Campephilus gayaquilensis",2.81712959051697,-0.206587908355467,-0.435028856640921,-0.0152046872256234,0.25512160996181,0.250388670012622,0.0821582960996514
"16","Campephilus haematogaster",2.83245264846797,0.249778761636753,-0.510536921112444,0.229160229090457,0.24143834508223,0.317044434217844,-0.105327889556377
"17","Camptostoma obsoletum",-1.86904386293607,0.738699349521068,-0.0342759383956215,-0.227600338616459,-0.118914481957155,-0.0658370894657756,-0.290093770677994
"18","Campylorhamphus pusillus",0.613507855693595,0.0995680237802696,-0.861423000525469,0.23075192868117,-1.13942423874522,1.19458029988568,-0.203776355078118
