"","Species","Comp.1","Comp.2","Comp.3","Comp.4","Comp.5","Comp.6","Comp.7"
"1","Adelomyia melanogenys",-2.56710250186925,-2.05230983714918,0.251982407332082,0.193600549722758,-0.0407308214820105,-0.401148406300548,0.15923151212223
"2","Aglaiocercus kingii",-2.36438691590246,-2.28471426410056,0.346778376210846,0.191377350331038,-0.281857983131491,-0.420598802764069,0.118343269110129
"3","Amazilia tzacatl",-2.42469277075835,-2.29837526412629,0.0545826479512368,0.25668801494465,-0.0469785094660188,-0.3888575534619,0.104309189074204
"4","Amblycercus holosericeus",1.78945320684426,0.684407999172527,-0.377394860044672,0.134266174668734,-0.307450447374,0.216213029655289,0.375696995107731
"5","Ampelion rubrocristatus",1.10975787760651,0.0399205195872187,0.555137932940191,0.0439665659705673,0.191393403981241,0.380378514168141,0.237772350337037
"6","Anabacerthia striaticollis",-0.0697849321422623,0.372254996583829,0.165487907322779,-0.0971190254315604,-0.242634513550965,0.357873621876762,-0.0904048128711318
"7","Anisognathus igniventris",0.360511066476484,0.667658629706058,0.200650453271785,-0.0830362876616074,0.154619060098704,-0.00345419185455098,0.131652569207057
"8","Anisognathus somptuosus",0.602371504994906,0.276118077391753,0.0763120872740061,0.0578734963811243,0.229756732851877,0.16088284492946,0.275456633958818
"9","Ara severus",6.78623162748798,-2.39820108466168,0.891021481556842,-3.18492408146745,0.10002702143906,-0.48047399256719,-0.285109758443509
"10","Arremon assimilis",0.818083053131001,1.03272358101943,-0.160804753502484,-0.165359892568458,-0.0607864776234557,-0.0121358191471937,0.167127524874431
"11","Arremon brunneinucha",0.868776883516093,1.05733002795405,-0.167156324449203,-0.0571310833379185,-0.0976969402947419,0.0284565425243489,0.291511580951831
"12","Asthenes fuliginosa",-0.211295884191007,1.04125541868246,0.322480038250659,-0.411757435830676,-1.09982743160104,-0.105763650369824,0.235338969519647
"13","Atlapetes albinucha",0.603861531280374,1.0384410308285,-0.257316674709336,-0.277354989327859,-0.0562968235806866,-0.172430570309155,0.274632529686049
"14","Atlapetes albofrenatus",0.241713325343841,0.939214481870186,-0.0352704990431466,-0.0774622403121123,-0.105535666613833,-0.103108803725593,0.268604379439956
"15","Atlapetes pallidinucha",0.513708029750128,1.05048196834706,0.00384547724086248,0.0941234621140304,-0.0802443065722246,-0.126390546594326,0.255859261798836
"16","Atlapetes schistaceus",0.203623901952979,0.947038215319065,0.107410916759625,-0.269793052986102,-0.179801952577889,-0.0639199967955645,0.160395034456976
"17","Aulacorhynchus albivitta",5.25121448303474,-1.18160421032245,-3.07781705421599,-0.883919780066984,0.621944650045727,-0.475667333268261,0.59345569514155
"18","Basileuterus rufifrons",-1.05299186893725,0.984444665700261,-0.34125150628899,-0.226583006394276,-0.302376834255382,-0.211452510986809,-0.114473232665588
"19","Basileuterus tristriatus",-0.909842265004599,0.794038955428752,-0.289661995818635,-0.0441474572059569,-0.144282350148356,-0.0890588850414305,-0.178868842660616
"20","Boissonneaua flavescens",-1.88273810400756,-2.25444794314918,0.539358472142609,0.168841216599517,-0.0625018315978489,-0.0818299162509214,0.125067028310776
"21","Bubulcus ibis",6.34455197256438,-0.372353000309569,0.478890406932537,4.02182698281026,0.249371613316283,-0.235279840814827,-0.659628089736035
"22","Buteo platypterus",6.38679303704526,-0.753314475975387,2.74687072795351,0.510943623590905,0.420307285575081,-0.383474432076149,-0.752525921167181
