Species;Period;Abundance;Region
Actitis macularius;HISTORICAL;5;BARBACOAS
Amaurolimnas concolor;HISTORICAL;1;BARBACOAS
Amazilia tzacatl;HISTORICAL;4;BARBACOAS
Amblycercus holosericeus;HISTORICAL;1;BARBACOAS
Androdon aequatorialis;HISTORICAL;10;BARBACOAS
Arremon aurantiirostris;HISTORICAL;3;BARBACOAS
Arremonops conirostris;HISTORICAL;4;BARBACOAS
Automolus subulatus;HISTORICAL;9;BARBACOAS
Baryphthengus martii;HISTORICAL;12;BARBACOAS
Butorides striata;HISTORICAL;2;BARBACOAS
Cacicus uropygialis;HISTORICAL;6;BARBACOAS
Campephilus haematogaster;HISTORICAL;1;BARBACOAS
Campylorhamphus pusillus;HISTORICAL;1;BARBACOAS
Cantorchilus nigricapillus;HISTORICAL;8;BARBACOAS
Capito quinticolor;HISTORICAL;1;BARBACOAS
Celeus loricatus;HISTORICAL;4;BARBACOAS
Ceratopipra mentalis;HISTORICAL;4;BARBACOAS
Cercomacroides tyrannina;HISTORICAL;5;BARBACOAS
Chalybura urochrysia;HISTORICAL;1;BARBACOAS
Chloroceryle americana;HISTORICAL;2;BARBACOAS
Chloroceryle inda;HISTORICAL;1;BARBACOAS
Chlorophanes spiza;HISTORICAL;1;BARBACOAS
Chlorothraupis olivacea;HISTORICAL;7;BARBACOAS
Colonia colonus;HISTORICAL;5;BARBACOAS
Cotinga nattererii;HISTORICAL;3;BARBACOAS
Crotophaga ani;HISTORICAL;2;BARBACOAS
Cryptoleucopteryx plumbea;HISTORICAL;1;BARBACOAS
Cryptopipo holochlora;HISTORICAL;2;BARBACOAS
Crypturellus berlepschi;HISTORICAL;1;BARBACOAS
Cyanerpes cyaneus;HISTORICAL;19;BARBACOAS
Cymbilaimus lineatus;HISTORICAL;6;BARBACOAS
Cyphorhinus phaeocephalus;HISTORICAL;1;BARBACOAS
Dacnis cayana;HISTORICAL;4;BARBACOAS
Dacnis venusta;HISTORICAL;2;BARBACOAS
Dendrocincla fuliginosa;HISTORICAL;1;BARBACOAS
Discosura conversii;HISTORICAL;7;BARBACOAS
Dryobates kirkii;HISTORICAL;6;BARBACOAS
Dysithamnus puncticeps;HISTORICAL;8;BARBACOAS
Elaenia flavogaster;HISTORICAL;2;BARBACOAS
Epinecrophylla fulviventris;HISTORICAL;3;BARBACOAS
Euphonia fulvicrissa;HISTORICAL;2;BARBACOAS
Euphonia minuta;HISTORICAL;1;BARBACOAS
Euphonia xanthogaster;HISTORICAL;2;BARBACOAS
Florisuga mellivora;HISTORICAL;8;BARBACOAS
Galbula ruficauda;HISTORICAL;5;BARBACOAS
Glaucis aeneus;HISTORICAL;2;BARBACOAS
