Species;Period;Abundance;Region
Adelomyia melanogenys;HISTORICAL;9;MIRAFLORES
Aglaiocercus kingii;HISTORICAL;1;MIRAFLORES
Ampelioides tschudii;HISTORICAL;1;MIRAFLORES
Anabacerthia striaticollis;HISTORICAL;11;MIRAFLORES
Anisognathus somptuosus;HISTORICAL;17;MIRAFLORES
Ara severus;HISTORICAL;2;MIRAFLORES
Arremon brunneinucha;HISTORICAL;11;MIRAFLORES
Atlapetes albinucha;HISTORICAL;2;MIRAFLORES
Aulacorhynchus albivitta;HISTORICAL;6;MIRAFLORES
Basileuterus culicivorus;HISTORICAL;1;MIRAFLORES
Basileuterus tristriatus;HISTORICAL;9;MIRAFLORES
Campephilus melanoleucos;HISTORICAL;1;MIRAFLORES
Camptostoma obsoletum;HISTORICAL;2;MIRAFLORES
Campylorhamphus pusillus;HISTORICAL;2;MIRAFLORES
Catharus aurantiirostris;HISTORICAL;3;MIRAFLORES
Catharus ustulatus;HISTORICAL;2;MIRAFLORES
Cercomacroides parkeri;HISTORICAL;2;MIRAFLORES
Chalcothraupis ruficervix;HISTORICAL;2;MIRAFLORES
Chalybura buffonii;HISTORICAL;1;MIRAFLORES
Chamaeza turdina;HISTORICAL;1;MIRAFLORES
Chlorophanes spiza;HISTORICAL;4;MIRAFLORES
Chlorospingus canigularis;HISTORICAL;12;MIRAFLORES
Chlorospingus flavopectus;HISTORICAL;3;MIRAFLORES
Chlorostilbon gibsoni;HISTORICAL;2;MIRAFLORES
Chlorostilbon melanorhynchus;HISTORICAL;8;MIRAFLORES
Chrysolampis mosquitus;HISTORICAL;1;MIRAFLORES
Chrysuronia grayi;HISTORICAL;1;MIRAFLORES
Coccyzus melacoryphus;HISTORICAL;1;MIRAFLORES
Coeligena coeligena;HISTORICAL;6;MIRAFLORES
Coereba flaveola;HISTORICAL;1;MIRAFLORES
Colaptes rubiginosus;HISTORICAL;4;MIRAFLORES
Colibri delphinae;HISTORICAL;1;MIRAFLORES
Columbina talpacoti;HISTORICAL;7;MIRAFLORES
Conopias cinchoneti;HISTORICAL;1;MIRAFLORES
Contopus fumigatus;HISTORICAL;1;MIRAFLORES
Crotophaga ani;HISTORICAL;2;MIRAFLORES
Cyanocorax yncas;HISTORICAL;5;MIRAFLORES
Cyclarhis nigrirostris;HISTORICAL;1;MIRAFLORES
Dendrocolaptes picumnus;HISTORICAL;2;MIRAFLORES
Diglossa albilatera;HISTORICAL;1;MIRAFLORES
Diglossa sittoides;HISTORICAL;1;MIRAFLORES
Doryfera ludovicae;HISTORICAL;1;MIRAFLORES
